PhraseID	Polarity
14_cell_neg_1	1
14_cell_neg_2	0
14_cell_neg_3	1
14_cell_neg_4	1
14_cell_neg_5	1
14_cell_neg_6	1
14_cell_neg_7	1
14_cell_neg_8	1
14_cell_neg_9	0
14_cell_neg_10	1
14_cell_neg_11	-1
14_cell_neg_12	0
14_cell_neg_13	1
14_cell_neg_14	1
14_cell_neg_15	0
14_cell_neg_16	1
14_cell_neg_17	1
14_cell_neg_18	-1
14_cell_neg_19	-1
14_cell_neg_20	0
14_cell_neg_21	1
14_cell_neg_22	1
14_cell_neg_23	0
14_cell_neg_24	0
14_cell_neg_25	0
14_cell_neg_26	0
14_cell_neg_27	1
14_cell_neg_28	0
14_cell_neg_29	0
14_cell_neg_30	1
14_cell_neg_31	0
14_cell_neg_32	1
14_cell_neg_33	-1
14_cell_neg_34	1
14_cell_neg_35	1
14_cell_neg_36	0
14_cell_neg_37	1
14_cell_neg_38	0
14_cell_neg_39	1
14_cell_neg_40	0
14_cell_neg_41	0
14_cell_neg_42	0
14_cell_neg_43	1
14_cell_neg_44	-1
14_cell_neg_45	1
14_cell_neg_46	1
14_cell_neg_47	-1
14_cell_neg_48	-1
14_cell_neg_49	-1
3_cell_pos_1	0
3_cell_pos_2	0
3_cell_pos_3	1
3_cell_pos_4	0
3_cell_pos_5	-1
3_cell_pos_6	1
3_cell_pos_7	1
3_cell_pos_8	1
3_cell_pos_9	0
3_cell_pos_10	1
3_cell_pos_11	1
3_cell_pos_12	1
3_cell_pos_13	1
3_cell_pos_14	0
3_cell_pos_15	1
3_cell_pos_16	0
3_cell_pos_17	-1
3_cell_pos_18	1
3_cell_pos_19	0
3_cell_pos_20	1
3_cell_pos_21	0
3_cell_pos_22	0
3_cell_pos_23	1
3_cell_pos_24	0
3_cell_pos_25	0
3_cell_pos_26	0
3_cell_pos_27	1
3_cell_pos_28	-1
3_cell_pos_29	1
3_cell_pos_30	1
3_cell_pos_31	-1
3_cell_pos_32	-1
3_cell_pos_33	1
3_cell_pos_34	-1
3_cell_pos_35	1
3_cell_pos_36	-1
3_cell_pos_37	0
3_cell_pos_38	-1
3_cell_pos_39	-1
3_cell_pos_40	1
3_cell_pos_41	0
3_cell_pos_42	1
3_cell_pos_43	0
3_cell_pos_44	0
3_cell_pos_45	1
3_cell_pos_46	1
3_cell_pos_47	0
3_cell_pos_48	-1
3_cell_pos_49	0
3_cell_pos_50	-1
3_cell_pos_51	1
3_cell_pos_52	1
3_cell_pos_53	0
3_cell_pos_54	0
3_cell_pos_55	-1
3_cell_pos_56	1
3_cell_pos_57	1
3_cell_pos_58	0
3_cell_pos_59	0
3_cell_pos_60	1
3_cell_pos_61	-1
3_cell_pos_62	1
3_cell_pos_63	0
3_cell_pos_64	1
3_cell_pos_65	0
3_cell_pos_66	0
3_cell_pos_67	0
3_cell_pos_68	0
3_cell_pos_69	-1
3_cell_pos_70	0
3_cell_pos_71	1
3_cell_pos_72	0
3_cell_pos_73	1
3_cell_pos_74	0
3_cell_pos_75	1
3_cell_pos_76	1
3_cell_pos_77	0
3_cell_pos_78	1
3_cell_pos_79	1
3_cell_pos_80	0
3_cell_pos_81	0
3_cell_pos_82	0
3_cell_pos_83	1
3_cell_pos_84	1
3_cell_pos_85	1
3_cell_pos_86	1
3_cell_pos_87	-1
3_cell_pos_88	0
3_cell_pos_89	1
3_cell_pos_90	1
3_cell_pos_91	1
3_cell_pos_92	1
3_cell_pos_93	0
3_cell_pos_94	-1
3_cell_pos_95	-1
3_cell_pos_96	0
3_cell_pos_97	1
3_cell_pos_98	1
3_cell_pos_99	1
3_cell_pos_100	1
3_cell_pos_101	1
3_cell_pos_102	-1
3_cell_pos_103	1
3_cell_pos_104	0
3_cell_pos_105	1
3_cell_pos_106	0
3_cell_pos_107	0
3_cell_pos_108	1
3_cell_pos_109	1
3_cell_pos_110	0
3_cell_pos_111	0
3_cell_pos_112	0
3_cell_pos_113	-1
3_cell_pos_114	1
3_cell_pos_115	0
3_cell_pos_116	-1
3_cell_pos_117	1
3_cell_pos_118	1
3_cell_pos_119	1
3_kitchen_pos_1	1
3_kitchen_pos_2	1
3_kitchen_pos_3	0
3_kitchen_pos_4	1
3_kitchen_pos_5	1
3_kitchen_pos_6	1
3_kitchen_pos_7	0
3_kitchen_pos_8	0
3_kitchen_pos_9	0
3_kitchen_pos_10	-1
3_kitchen_pos_11	1
3_kitchen_pos_12	0
3_kitchen_pos_13	1
3_kitchen_pos_14	-1
3_kitchen_pos_15	-1
3_kitchen_pos_16	-1
3_kitchen_pos_17	-1
3_kitchen_pos_18	1
3_kitchen_pos_19	0
3_kitchen_pos_20	1
3_kitchen_pos_21	0
3_kitchen_pos_22	-1
3_kitchen_pos_23	1
3_kitchen_pos_24	0
3_kitchen_pos_25	0
3_kitchen_pos_26	1
3_kitchen_pos_27	1
3_kitchen_pos_28	1
3_kitchen_pos_29	1
3_kitchen_pos_30	0
3_kitchen_pos_31	-1
3_kitchen_pos_32	0
3_kitchen_pos_33	0
3_kitchen_pos_34	1
3_kitchen_pos_35	0
3_kitchen_pos_36	0
3_kitchen_pos_37	1
3_kitchen_pos_38	-1
3_kitchen_pos_39	1
3_kitchen_pos_40	1
3_kitchen_pos_41	-1
3_kitchen_pos_42	-1
3_kitchen_pos_43	0
3_kitchen_pos_44	1
3_kitchen_pos_45	1
3_kitchen_pos_46	1
3_kitchen_pos_47	1
3_kitchen_pos_48	1
3_kitchen_pos_49	-1
3_kitchen_pos_50	-1
3_kitchen_pos_51	1
3_kitchen_pos_52	0
3_kitchen_pos_53	0
3_kitchen_pos_54	-1
3_kitchen_pos_55	1
3_kitchen_pos_56	0
3_kitchen_pos_57	-1
3_kitchen_pos_58	-1
3_kitchen_pos_59	-1
3_kitchen_pos_60	1
3_kitchen_pos_61	0
3_kitchen_pos_62	1
3_kitchen_pos_63	1
3_kitchen_pos_64	0
3_kitchen_pos_65	-1
3_kitchen_pos_66	1
3_kitchen_pos_67	0
3_kitchen_pos_68	-1
3_kitchen_pos_69	0
3_kitchen_pos_70	-1
3_kitchen_pos_71	-1
3_kitchen_pos_72	-1
3_kitchen_pos_73	0
3_kitchen_pos_74	-1
3_kitchen_pos_75	0
3_kitchen_pos_76	0
3_kitchen_pos_77	-1
3_kitchen_pos_78	1
3_kitchen_pos_79	1
3_kitchen_pos_80	0
3_kitchen_pos_81	0
3_kitchen_pos_82	1
3_kitchen_pos_83	1
3_kitchen_pos_84	0
3_kitchen_pos_85	0
3_kitchen_pos_86	0
3_kitchen_pos_87	-1
3_kitchen_pos_88	0
3_kitchen_pos_89	0
3_kitchen_pos_90	0
3_kitchen_pos_91	-1
3_kitchen_pos_92	0
3_kitchen_pos_93	-1
3_kitchen_pos_94	0
3_kitchen_pos_95	1
3_kitchen_pos_96	0
3_kitchen_pos_97	1
3_kitchen_pos_98	0
3_kitchen_pos_99	0
3_kitchen_pos_100	0
3_kitchen_pos_101	1
3_kitchen_pos_102	0
3_kitchen_pos_103	-1
3_kitchen_pos_104	1
3_kitchen_pos_105	0
3_kitchen_pos_106	1
3_kitchen_pos_107	0
3_kitchen_pos_108	1
3_kitchen_pos_109	-1
3_kitchen_pos_110	1
3_kitchen_pos_111	1
3_kitchen_pos_112	0
3_kitchen_pos_113	0
3_kitchen_pos_114	0
3_kitchen_pos_115	1
3_kitchen_pos_116	0
3_kitchen_pos_117	1
1_kitchen_neg_1	0
1_kitchen_neg_2	-1
1_kitchen_neg_3	-1
1_kitchen_neg_4	1
1_kitchen_neg_5	0
1_kitchen_neg_6	1
1_kitchen_neg_7	1
1_kitchen_neg_8	-1
1_kitchen_neg_9	-1
1_kitchen_neg_10	0
1_kitchen_neg_11	1
1_kitchen_neg_12	-1
1_kitchen_neg_13	1
1_kitchen_neg_14	1
1_kitchen_neg_15	1
1_kitchen_neg_16	-1
1_kitchen_neg_17	-1
1_kitchen_neg_18	0
1_kitchen_neg_19	0
1_kitchen_neg_20	0
1_kitchen_neg_21	1
1_kitchen_neg_22	1
1_kitchen_neg_23	0
1_kitchen_neg_24	1
1_kitchen_neg_25	1
1_kitchen_neg_26	1
1_kitchen_neg_27	-1
1_kitchen_neg_28	1
1_kitchen_neg_29	-1
1_kitchen_neg_30	1
1_kitchen_neg_31	0
1_kitchen_neg_32	0
1_kitchen_neg_33	-1
1_kitchen_neg_34	-1
1_kitchen_neg_35	0
1_kitchen_neg_36	1
1_kitchen_neg_37	0
1_kitchen_neg_38	0
1_kitchen_neg_39	0
1_kitchen_neg_40	1
1_kitchen_neg_41	-1
1_kitchen_neg_42	0
1_kitchen_neg_43	0
1_kitchen_neg_44	1
1_kitchen_neg_45	-1
1_kitchen_neg_46	1
1_kitchen_neg_47	0
1_kitchen_neg_48	1
1_kitchen_neg_49	-1
1_kitchen_neg_50	0
1_kitchen_neg_51	-1
1_kitchen_neg_52	1
1_kitchen_neg_53	-1
1_kitchen_neg_54	0
1_kitchen_neg_55	-1
1_kitchen_neg_56	0
1_kitchen_neg_57	0
1_kitchen_neg_58	0
1_kitchen_neg_59	0
1_kitchen_neg_60	0
1_kitchen_neg_61	-1
1_kitchen_neg_62	-1
1_kitchen_neg_63	0
1_kitchen_neg_64	0
1_kitchen_neg_65	1
1_kitchen_neg_66	0
1_kitchen_neg_67	0
1_kitchen_neg_68	1
1_kitchen_neg_69	0
1_kitchen_neg_70	-1
1_kitchen_neg_71	-1
1_kitchen_neg_72	1
1_kitchen_neg_73	0
1_kitchen_neg_74	1
1_kitchen_neg_75	1
1_kitchen_neg_76	-1
1_kitchen_neg_77	0
1_kitchen_neg_78	1
1_kitchen_neg_79	-1
1_kitchen_neg_80	-1
1_kitchen_neg_81	1
1_kitchen_neg_82	0
1_kitchen_neg_83	0
1_kitchen_neg_84	0
1_kitchen_neg_85	-1
1_kitchen_neg_86	1
1_kitchen_neg_87	0
1_kitchen_neg_88	-1
1_kitchen_neg_89	1
1_kitchen_neg_90	-1
1_kitchen_neg_91	0
1_kitchen_neg_92	0
1_kitchen_neg_93	-1
1_kitchen_neg_94	-1
1_kitchen_neg_95	-1
1_kitchen_neg_96	0
1_kitchen_neg_97	-1
1_kitchen_neg_98	1
1_kitchen_neg_99	-1
1_kitchen_neg_100	-1
1_kitchen_neg_101	0
1_kitchen_neg_102	1
1_kitchen_neg_103	0
1_kitchen_neg_104	0
1_kitchen_neg_105	-1
1_kitchen_neg_106	1
