18_cell_neg_1	18_cell_neg_2
20_cell_neg_29	20_cell_neg_30
20_cell_neg_33	20_cell_neg_34
4_cell_pos_22	4_cell_pos_23
4_cell_pos_37	4_cell_pos_38
4_cell_pos_72	4_cell_pos_73
4_cell_pos_86	4_cell_pos_87
4_cell_pos_114	4_cell_pos_115
5_cell_pos_33	5_cell_pos_34
5_cell_pos_53	5_cell_pos_54
5_cell_pos_65	5_cell_pos_66
5_cell_pos_81	5_cell_pos_82
5_cell_pos_121	5_cell_pos_122
5_cell_pos_126	5_cell_pos_127
3_gourmet_neg_3	3_gourmet_neg_4
3_gourmet_neg_5	3_gourmet_neg_6
12_gourmet_pos_15	12_gourmet_pos_16
12_gourmet_pos_34	12_gourmet_pos_35
7_gourmet_pos_17	7_gourmet_pos_18
7_gourmet_pos_36	7_gourmet_pos_37
12_kitchen_neg_5	12_kitchen_neg_6
12_kitchen_neg_20	12_kitchen_neg_21
11_kitchen_pos_1	11_kitchen_pos_2
11_kitchen_pos_16	11_kitchen_pos_17
18_kitchen_pos_13	18_kitchen_pos_14
18_kitchen_pos_39	18_kitchen_pos_40
