PhraseID	Text
18_cell_neg_1	 I  `  ve  previously  had  subscription  cell  phone  services  with  a  variety  of  providers  , 
18_cell_neg_2	 but  found 
18_cell_neg_3	 I  rarely  used  the  number  of  minutes 
18_cell_neg_4	 I  was  paying  for  . 
18_cell_neg_5	 A  prepaid  phone  service  seemed  like  the  way  to  go  , 
18_cell_neg_6	 and  STI  Mobile  sounded  like  a  good  alternative 
18_cell_neg_7	 because  the  price  was  competitive 
18_cell_neg_8	 and  minutes  do  n't  expire  . 
18_cell_neg_9	 I  signed  up 
18_cell_neg_10	 and  shortly  after  received  my  Samsung  phone  . 
18_cell_neg_11	 It  arrived  ,  however  , 
18_cell_neg_12	 defective  -  the  port  for  recharging  the  phone  was  damaged  . 
18_cell_neg_13	 Per  the  STI  Mobile  web  site  , 
18_cell_neg_14	 I  contacted 
18_cell_neg_15	 them  within  14  days  to  arrange  for  a  replacement  phone  . 
18_cell_neg_16	 This  resulted  in  a  number  of  email  exchanges  with  customer  service  . 
18_cell_neg_17	 In  the  first  one  ,  the  rep  told  me 
18_cell_neg_18	 that  I  was  mistaken  , 
18_cell_neg_19	 and  must  have  been  sent  the  wrong  charger  . 
18_cell_neg_20	 No  offer  was  made  to  replace  the  charger  ,  strangely  , 
18_cell_neg_21	 which  was  included  as  part  of  the  package  deal  . 
18_cell_neg_22	 After  additional  emails 
18_cell_neg_23	 where  I  reassured  her 
18_cell_neg_24	 that  I  did  in  fact  have  the  right  charger 
18_cell_neg_25	 -LRB-  I  took  the  phone  in  to  a  local  merchant  , 
18_cell_neg_26	 who  showed  me  the  charger 
18_cell_neg_27	 I  was  shipped 
18_cell_neg_28	 worked  with  an  identical  model  phone  - 
18_cell_neg_29	 it  was  the  port  on  the  shipped  phone 
18_cell_neg_30	 that  was  defective  -RRB-  . 
18_cell_neg_31	 At  this  point  ,  the  rep  apologized  and  told  me 
18_cell_neg_32	 I  would  have  to  contact  Samsung  for  a  replacement  phone  ! 
18_cell_neg_33	 This  entire  process  took  several  weeks  . 
18_cell_neg_34	 In  short  , 
18_cell_neg_35	 I  guess  you  get 
18_cell_neg_36	 what  you  pay  for  . 
18_cell_neg_37	 If  I  had  been  shipped  a  working  phone  STI  Mobile  probably  would  have  met  my  needs  , 
18_cell_neg_38	 but  I  was  turned  off  by  the  poor  customer  service 
18_cell_neg_39	 and  have  since  found  another  prepaid  phone  provider 
20_cell_neg_1	 After  reading  the  numerous  positive  reviews  for  this  phone  , 
20_cell_neg_2	 I  purchased  . 
20_cell_neg_3	 Here  are  the  main  issues  I  have  found  with  this  phone  : 
20_cell_neg_4	 1  -RRB-  The  buttons  are  too  small  , 
20_cell_neg_5	 particularly  the  main  control  button  . 
20_cell_neg_6	 You  have  to  used  the  side  of  your  fingers 
20_cell_neg_7	 to  ensure 
20_cell_neg_8	 that  you  do  not  hit  too  buttons  at  the  same  time  . 
20_cell_neg_9	 And  ,  believe 
20_cell_neg_10	 me  , 
20_cell_neg_11	 I  do  not  have  very  large  hands  . 
20_cell_neg_12	 2  -RRB-  If  you  have  quite  a  few  contacts  in  your  phone  , 
20_cell_neg_13	 you  will  be  irritated  by  the  delay 
20_cell_neg_14	 when  you  scroll  down  quickly  to  select  a  contact  . 
20_cell_neg_15	 You  will  notice  that  if  you  are  not  careful  , 
20_cell_neg_16	 you  will  dial  the  wrong  contact  due 
20_cell_neg_17	 to  the  delay 
20_cell_neg_18	 when  scrolling  and  selecting  quickly  ,  so  if  this  is  you  ,  be  aware  . 
20_cell_neg_19	 3  -RRB-  You 
20_cell_neg_20	 must  open  the  cover 
20_cell_neg_21	 and  look  inside  to  see  if  you  have  missed  a  call  or  have  a  message  . 
20_cell_neg_22	 VERY  INCONVENIENT  !  ! 
20_cell_neg_23	 There  is  no  indication  to  show  this  on  the  top  screen  ,  only  the  inside  screen  . 
20_cell_neg_24	 4  -RRB-  On  occasion  ,  the  display  on  the  outside  of  the  phone  stops 
20_cell_neg_25	 working  entirely  . 
20_cell_neg_26	 What  you  just  need  to  do  is  power  the  phone  down 
20_cell_neg_27	 and  they  back  up  again  . 
20_cell_neg_28	 Not  optimal  , 
20_cell_neg_29	 and  I  probably  just  got  a  bad  phone  , 
20_cell_neg_30	 but  I  am  just  waiting  for  the  situation  to  get  more  frequent  , 
20_cell_neg_31	 so  I  can  then  deal  with  the  likely  nightmare  of  having  to  get  a  replacement  phone  from  Motorola  . 
20_cell_neg_32	 NOTE  : 
20_cell_neg_33	 I  have  no  personal  vendetta  against  Motorola  , 
20_cell_neg_34	 but  wanted  to  provide  some  real  feedback  rather  than  all  just  rosey  stuff 
20_cell_neg_35	 I  bought  into  before  purchasing 
4_cell_pos_1	 There  are  many  good  reviews  on  8525  positive  features  and  most  are  fairly  accurate  . 
4_cell_pos_2	 Lots  of  good  features  in  the  8525  . 
4_cell_pos_3	 My  intent  is  to  document  some 
4_cell_pos_4	 of  the  shortcomings  of  the  8525 
4_cell_pos_5	 and  Windows  Mobile  OS  in  the  hope  that  MS  and  HTC  will  heed  and  correct  in  the  future  . 
4_cell_pos_6	 I  am  a  business  user 
4_cell_pos_7	 who  wanted  to  combine  my  HP  IPAQ  1945  and  my  Motorola  V550  Cell  phone  into  one  device  . 
4_cell_pos_8	 I  use  a  Motorola  H700  headset  with  my  old  devices  and  the  8525  . 
4_cell_pos_9	 My  overall  assessment  is  ; 
4_cell_pos_10	 Replacing  my  two  3  year 
4_cell_pos_11	 old  devices  resulted  in  me  accepting  some  compromises 
4_cell_pos_12	 that  I  do  n't  think  are  necessary  in  terms  of  functionality  and  ease  of  use  . 
4_cell_pos_13	 All  the  features  I  describe  below  were  in  the  earlier  Windows  Mobile  OS 
4_cell_pos_14	 used  by  my  IPAQ  1945  or  my  Motorola  flip  phone  . 
4_cell_pos_15	 If  readers  find  that  there  is  a  way  to  perform  any  of  the  deficiencies 
4_cell_pos_16	 I  describe  please  let  me  know  . 
4_cell_pos_17	 My  suggestions  in  rough  order  of  priority  : 
4_cell_pos_18	 1  -RRB-  Blue  tooth  headsets  . 
4_cell_pos_19	 Blue  tooth  audio  should  always  come  through  the  blue  tooth  headset  regardless  of  the  PDA  volume  setting  . 
4_cell_pos_20	 To  hear  my  voice  commands  repeated  , 
4_cell_pos_21	 I  have  to  turn  on  the  annoying  sound  of  the  PDA  , 
4_cell_pos_22	 so  when  I  voice  dial  via  my  Blue  tooth  headset  , 
4_cell_pos_23	 I  can  hear  my  voice  commands 
4_cell_pos_24	 repeated  back  . 
4_cell_pos_25	 I  am 
4_cell_pos_26	 referring  to  the  standard  voice  dial 
4_cell_pos_27	 that  comes  with  the  8525  . 
4_cell_pos_28	 One  quick  solution  would  be  to  tie  BT  headset  to  the  phone  volume  setting  rather  than  the  PDA  . 
4_cell_pos_29	 Even  nicer  would  be  an  upgrade 
4_cell_pos_30	" ""that  allows  full  audio  with  the  """"  VoiceCommand  """"  software"" "
4_cell_pos_31	 -LRB-  this  is  documented  in  many  other  reviews  -RRB-  . 
4_cell_pos_32	 Another  nice  feature  of  my  Motorola  cell  phone  was  as  soon  as  the  BT  was  detected  the  phone  volume 
4_cell_pos_33	 changed  from  vibrate 
4_cell_pos_34	 to  audio  if  it  was  set  to  vibrate  . 
4_cell_pos_35	 It  changed  back  to  the  original  audio 
4_cell_pos_36	 setting  after  turning  off  the  BT  headset  . 
4_cell_pos_37	 1a  -RRB-  If  I  request  voice  dial  via  my  blue  tooth  headset  the  screen  should  ALWAYS  display  the  voice  dial  page  . 
4_cell_pos_38	" ""Instead  the  initial  """"  Owner  Info  """"  page  stays  up"" "
4_cell_pos_39	 and  you  ca  n't  see  the  name  on  the  screen  unless  you  reach  down 
4_cell_pos_40	 and  tap  the  screen  . 
4_cell_pos_41	 Not  desirable 
4_cell_pos_42	 when  driving  . 
4_cell_pos_43	 If  you  did  n't  set  the  PDA  to  its  annoying  noise  level  you  ca  n't  hear  the  name 
4_cell_pos_44	 you  requested 
4_cell_pos_45	 either  . 
4_cell_pos_46	 2  -RRB-  Need 
4_cell_pos_47	 to  be  able  to  control  the  PDA  and  phone  volume  independently  for  Audio  ,  Vibrate  or  OFF  . 
4_cell_pos_48	 For  example  need  to  be  able  to  tie  turn  up  the  phone  volume  while  keeping  the  PDA  volume  setting  on  OFF  or  vibrate  . 
4_cell_pos_49	 3  -RRB-  Need 
4_cell_pos_50	 to  be  able 
4_cell_pos_51	 to  program  how  long  the  display  stays  on  . 
4_cell_pos_52	 I  am  constantly  groping  to  find  the  power  button  on  the  side  to  keep  the  display  on  as  it  turns  off 
4_cell_pos_53	 when  I  need 
4_cell_pos_54	 to  see  something  . 
4_cell_pos_55	 4  -RRB-  I  would  buy  a  non  Bluetooth  headset  if  one  was  available  for  long  drives 
4_cell_pos_56	 when  my  BT  headset  battery  is  dead  . 
4_cell_pos_57	 Only  solution  I  see  is  the  8525  stereo  headphones  and  turning  on  the  speaker 
4_cell_pos_58	 which  is  a  little  noisy  for  listeners 
4_cell_pos_59	 while  driving  on  the  freeway  . 
4_cell_pos_60	 5  -RRB- 
4_cell_pos_61	 Provide  a  built  in  way  to  make  the  PTT  and  Comm  Manager  , 
4_cell_pos_62	 and  IE  Quick  key  buttons  programmable  . 
4_cell_pos_63	 I  would  use  them  for  many  other  functions  ;  such  as  PTT  bringing  up  the  volume  control 
4_cell_pos_64	 so  I  can  change  it  from  vibrate  to  audio  to  speaker 
