1_kitchen_pos_1	negative
1_kitchen_pos_2	negative
1_kitchen_pos_3	negative
1_kitchen_pos_4	negative
1_kitchen_pos_5	negative
1_kitchen_pos_6	positive
1_kitchen_pos_7	positive
1_kitchen_pos_8	positive
1_kitchen_pos_9	positive
1_kitchen_pos_10	positive
1_kitchen_pos_11	positive
1_kitchen_pos_12	positive
1_kitchen_pos_13	positive
1_kitchen_pos_14	positive
1_kitchen_pos_15	positive
1_kitchen_pos_16	positive
1_kitchen_pos_17	positive
1_kitchen_pos_18	positive
1_kitchen_pos_19	positive
1_kitchen_pos_20	positive
1_kitchen_pos_21	positive
1_kitchen_pos_22	positive
1_kitchen_pos_23	positive
1_kitchen_pos_24	positive
1_kitchen_pos_25	positive
1_kitchen_pos_26	positive
1_kitchen_pos_27	positive
1_kitchen_pos_28	positive
1_kitchen_pos_29	positive
1_kitchen_pos_30	positive
1_kitchen_pos_31	positive
1_kitchen_pos_32	positive
1_kitchen_pos_33	positive
1_kitchen_pos_34	positive
1_kitchen_pos_35	positive
1_kitchen_pos_36	positive
1_kitchen_pos_37	positive
1_kitchen_pos_38	negative
1_kitchen_pos_39	negative
1_kitchen_pos_40	positive
1_kitchen_pos_41	positive
1_kitchen_pos_42	positive
1_kitchen_pos_43	positive
1_kitchen_pos_44	positive
1_kitchen_pos_45	positive
1_kitchen_pos_46	positive
1_kitchen_pos_47	positive
1_kitchen_pos_48	positive
1_kitchen_pos_49	positive
1_kitchen_pos_50	positive
1_kitchen_pos_51	positive
1_kitchen_pos_52	positive
1_kitchen_pos_53	positive
1_kitchen_pos_54	positive
1_kitchen_pos_55	negative
1_kitchen_pos_56	negative
1_kitchen_pos_57	negative
1_kitchen_pos_58	negative
1_kitchen_pos_59	negative
1_kitchen_pos_60	negative
1_kitchen_pos_61	negative
1_kitchen_pos_62	negative
1_kitchen_pos_63	positive
1_kitchen_pos_64	positive
1_kitchen_pos_65	positive
1_kitchen_pos_66	positive
1_kitchen_pos_67	negative
1_kitchen_pos_68	negative
1_kitchen_pos_69	negative
1_kitchen_pos_70	negative
1_kitchen_pos_71	negative
1_kitchen_pos_72	negative
1_kitchen_pos_73	negative
1_kitchen_pos_74	negative
1_kitchen_pos_75	negative
1_kitchen_pos_76	negative
1_kitchen_pos_77	negative
1_kitchen_pos_78	negative
1_kitchen_pos_79	negative
1_kitchen_pos_80	negative
1_kitchen_pos_81	negative
1_kitchen_pos_82	negative
1_kitchen_pos_83	negative
1_kitchen_pos_84	negative
1_kitchen_pos_85	negative
1_kitchen_pos_86	negative
1_kitchen_pos_87	negative
1_kitchen_pos_88	negative
1_kitchen_pos_89	negative
1_kitchen_pos_90	negative
1_kitchen_pos_91	negative
1_kitchen_pos_92	negative
1_kitchen_pos_93	negative
1_kitchen_pos_94	negative
1_kitchen_pos_95	negative
1_kitchen_pos_96	negative
1_kitchen_pos_97	negative
1_kitchen_pos_98	negative
1_kitchen_pos_99	negative
1_kitchen_pos_100	negative
1_kitchen_pos_101	negative
1_kitchen_pos_102	negative
1_kitchen_pos_103	negative
1_kitchen_pos_104	negative
1_kitchen_pos_105	negative
1_kitchen_pos_106	negative
1_kitchen_pos_107	negative
1_kitchen_pos_108	negative
1_kitchen_pos_109	negative
1_kitchen_pos_110	negative
1_kitchen_pos_111	negative
1_kitchen_pos_112	negative
1_kitchen_pos_113	negative
1_kitchen_pos_114	positive
1_kitchen_pos_115	negative
1_kitchen_pos_116	negative
1_kitchen_pos_117	negative
1_kitchen_pos_118	negative
1_kitchen_pos_119	negative
1_kitchen_pos_120	negative
1_kitchen_pos_121	negative
1_kitchen_pos_122	negative
1_kitchen_pos_123	negative
1_kitchen_pos_124	negative
1_kitchen_pos_125	negative
1_kitchen_pos_126	negative
1_kitchen_pos_127	negative
1_kitchen_pos_128	positive
1_kitchen_pos_129	negative
1_kitchen_pos_130	negative
1_kitchen_pos_131	negative
1_kitchen_pos_132	negative
1_kitchen_pos_133	negative
1_kitchen_pos_134	negative
1_kitchen_pos_135	negative
1_kitchen_pos_136	negative
1_kitchen_pos_137	negative
1_kitchen_pos_138	negative
1_kitchen_pos_139	negative
1_kitchen_pos_140	negative
1_kitchen_pos_141	negative
1_kitchen_pos_142	negative
1_kitchen_pos_143	positive
1_kitchen_pos_144	positive
1_kitchen_pos_145	negative
1_kitchen_pos_146	negative
1_kitchen_pos_147	negative
1_kitchen_pos_148	negative
1_kitchen_pos_149	positive
1_kitchen_pos_150	positive
1_kitchen_pos_151	negative
1_kitchen_pos_152	negative
1_kitchen_pos_153	negative
1_kitchen_pos_154	negative
1_kitchen_pos_155	negative
1_kitchen_pos_156	negative
1_kitchen_pos_157	negative
1_kitchen_pos_158	negative
1_kitchen_pos_159	negative
1_kitchen_pos_160	negative
1_kitchen_pos_161	negative
1_kitchen_pos_162	positive
1_kitchen_pos_163	positive
1_kitchen_pos_164	positive
1_kitchen_pos_165	positive
1_kitchen_pos_166	positive
1_kitchen_pos_167	positive
1_kitchen_pos_168	negative
