15_cell_neg_1	15_cell_neg_2
15_cell_neg_23	15_cell_neg_24
7_cell_neg_16	7_cell_neg_17
7_cell_neg_48	7_cell_neg_49
18_cell_pos_12	18_cell_pos_13
18_cell_pos_13	18_cell_pos_14
18_cell_pos_15	18_cell_pos_16
18_cell_pos_23	18_cell_pos_24
18_cell_pos_26	18_cell_pos_27
18_cell_pos_60	18_cell_pos_61
1_cell_pos_57	1_cell_pos_58
1_cell_pos_61	1_cell_pos_62
1_cell_pos_77	1_cell_pos_78
1_cell_pos_99	1_cell_pos_100
1_cell_pos_102	1_cell_pos_103
1_cell_pos_126	1_cell_pos_127
14_gourmet_neg_13	14_gourmet_neg_14
14_gourmet_neg_15	14_gourmet_neg_16
15_gourmet_neg_13	15_gourmet_neg_14
15_gourmet_neg_15	15_gourmet_neg_16
1_gourmet_pos_13	1_gourmet_pos_14
1_gourmet_pos_15	1_gourmet_pos_16
1_gourmet_pos_19	1_gourmet_pos_20
18_kitchen_neg_44	18_kitchen_neg_45
6_kitchen_neg_19	6_kitchen_neg_20
6_kitchen_neg_20	6_kitchen_neg_21
6_kitchen_neg_57	6_kitchen_neg_58
13_kitchen_pos_8	13_kitchen_pos_9
13_kitchen_pos_28	13_kitchen_pos_29
13_kitchen_pos_54	13_kitchen_pos_55
