17_cell_neg_3	17_cell_neg_4
17_cell_neg_4	17_cell_neg_5
17_cell_neg_5	17_cell_neg_6
17_cell_neg_11	17_cell_neg_12
17_cell_neg_15	17_cell_neg_16
17_cell_neg_16	17_cell_neg_17
17_cell_neg_17	17_cell_neg_18
17_cell_neg_18	17_cell_neg_19
17_cell_neg_19	17_cell_neg_20
17_cell_neg_20	17_cell_neg_21
17_cell_neg_21	17_cell_neg_22
17_cell_neg_22	17_cell_neg_23
17_cell_neg_23	17_cell_neg_24
17_cell_neg_24	17_cell_neg_25
17_cell_neg_25	17_cell_neg_26
17_cell_neg_30	17_cell_neg_31
17_cell_neg_31	17_cell_neg_32
17_cell_neg_32	17_cell_neg_33
17_cell_neg_33	17_cell_neg_34
17_cell_neg_34	17_cell_neg_35
17_cell_neg_35	17_cell_neg_36
17_cell_neg_36	17_cell_neg_37
17_cell_neg_37	17_cell_neg_38
17_cell_neg_38	17_cell_neg_39
17_cell_neg_39	17_cell_neg_40
17_cell_neg_40	17_cell_neg_41
17_cell_neg_41	17_cell_neg_42
17_cell_neg_42	17_cell_neg_43
17_cell_neg_43	17_cell_neg_44
17_cell_neg_44	17_cell_neg_45
17_cell_neg_45	17_cell_neg_46
17_cell_neg_46	17_cell_neg_47
17_cell_neg_47	17_cell_neg_48
3_cell_neg_4	3_cell_neg_5
3_cell_neg_23	3_cell_neg_24
3_cell_neg_24	3_cell_neg_25
3_cell_neg_25	3_cell_neg_26
3_cell_neg_28	3_cell_neg_29
3_cell_neg_46	3_cell_neg_47
3_cell_neg_47	3_cell_neg_48
3_cell_neg_50	3_cell_neg_51
3_cell_neg_51	3_cell_neg_52
3_cell_neg_52	3_cell_neg_53
3_cell_neg_53	3_cell_neg_54
3_cell_neg_58	3_cell_neg_59
10_cell_pos_5	10_cell_pos_6
10_cell_pos_23	10_cell_pos_24
10_cell_pos_24	10_cell_pos_25
10_cell_pos_46	10_cell_pos_47
10_cell_pos_47	10_cell_pos_48
10_cell_pos_48	10_cell_pos_49
10_cell_pos_49	10_cell_pos_50
10_cell_pos_50	10_cell_pos_51
10_cell_pos_51	10_cell_pos_52
10_cell_pos_52	10_cell_pos_53
10_cell_pos_53	10_cell_pos_54
10_cell_pos_54	10_cell_pos_55
12_cell_pos_1	12_cell_pos_2
12_cell_pos_4	12_cell_pos_5
12_cell_pos_5	12_cell_pos_6
12_cell_pos_12	12_cell_pos_13
12_cell_pos_36	12_cell_pos_37
12_cell_pos_37	12_cell_pos_38
12_cell_pos_38	12_cell_pos_39
12_cell_pos_39	12_cell_pos_40
12_cell_pos_40	12_cell_pos_41
12_cell_pos_41	12_cell_pos_42
12_cell_pos_45	12_cell_pos_46
12_cell_pos_46	12_cell_pos_47
12_cell_pos_49	12_cell_pos_50
12_cell_pos_50	12_cell_pos_51
12_cell_pos_51	12_cell_pos_52
12_cell_pos_52	12_cell_pos_53
12_cell_pos_53	12_cell_pos_54
12_cell_pos_54	12_cell_pos_55
12_cell_pos_55	12_cell_pos_56
12_cell_pos_56	12_cell_pos_57
12_cell_pos_57	12_cell_pos_58
12_cell_pos_58	12_cell_pos_59
12_cell_pos_59	12_cell_pos_60
12_cell_pos_60	12_cell_pos_61
12_cell_pos_61	12_cell_pos_62
12_cell_pos_62	12_cell_pos_63
12_cell_pos_63	12_cell_pos_64
12_cell_pos_64	12_cell_pos_65
12_cell_pos_65	12_cell_pos_66
12_cell_pos_66	12_cell_pos_67
12_cell_pos_67	12_cell_pos_68
12_cell_pos_68	12_cell_pos_69
12_cell_pos_76	12_cell_pos_77
12_cell_pos_77	12_cell_pos_78
12_cell_pos_78	12_cell_pos_79
12_cell_pos_79	12_cell_pos_80
12_cell_pos_80	12_cell_pos_81
12_cell_pos_81	12_cell_pos_82
12_cell_pos_82	12_cell_pos_83
12_cell_pos_83	12_cell_pos_84
