6_kitchen_neg_1	6_kitchen_neg_0
6_kitchen_neg_2	6_kitchen_neg_1
6_kitchen_neg_3	6_kitchen_neg_2
6_kitchen_neg_4	6_kitchen_neg_3
6_kitchen_neg_5	6_kitchen_neg_4
6_kitchen_neg_6	6_kitchen_neg_5
6_kitchen_neg_7	6_kitchen_neg_6
6_kitchen_neg_8	6_kitchen_neg_7
6_kitchen_neg_9	6_kitchen_neg_8
6_kitchen_neg_10	6_kitchen_neg_9
6_kitchen_neg_11	6_kitchen_neg_10
6_kitchen_neg_12	6_kitchen_neg_11
6_kitchen_neg_13	6_kitchen_neg_12
6_kitchen_neg_14	6_kitchen_neg_13
6_kitchen_neg_15	6_kitchen_neg_14
6_kitchen_neg_16	6_kitchen_neg_15
6_kitchen_neg_17	6_kitchen_neg_16
6_kitchen_neg_18	6_kitchen_neg_17
6_kitchen_neg_19	6_kitchen_neg_18
6_kitchen_neg_20	6_kitchen_neg_19
6_kitchen_neg_21	6_kitchen_neg_20
6_kitchen_neg_22	6_kitchen_neg_21
6_kitchen_neg_23	6_kitchen_neg_22
6_kitchen_neg_24	6_kitchen_neg_23
6_kitchen_neg_25	6_kitchen_neg_24
6_kitchen_neg_26	6_kitchen_neg_25
6_kitchen_neg_27	6_kitchen_neg_26
6_kitchen_neg_28	6_kitchen_neg_27
6_kitchen_neg_29	6_kitchen_neg_28
6_kitchen_neg_30	6_kitchen_neg_29
6_kitchen_neg_31	6_kitchen_neg_30
6_kitchen_neg_32	6_kitchen_neg_31
6_kitchen_neg_33	6_kitchen_neg_32
6_kitchen_neg_34	6_kitchen_neg_33
6_kitchen_neg_35	6_kitchen_neg_34
6_kitchen_neg_36	6_kitchen_neg_35
6_kitchen_neg_37	6_kitchen_neg_36
6_kitchen_neg_38	6_kitchen_neg_37
6_kitchen_neg_39	6_kitchen_neg_38
6_kitchen_neg_40	6_kitchen_neg_39
6_kitchen_neg_41	6_kitchen_neg_40
6_kitchen_neg_42	6_kitchen_neg_41
6_kitchen_neg_43	6_kitchen_neg_42
6_kitchen_neg_44	6_kitchen_neg_43
6_kitchen_neg_45	6_kitchen_neg_44
6_kitchen_neg_46	6_kitchen_neg_45
6_kitchen_neg_47	6_kitchen_neg_46
6_kitchen_neg_48	6_kitchen_neg_47
6_kitchen_neg_49	6_kitchen_neg_48
6_kitchen_neg_50	6_kitchen_neg_49
6_kitchen_neg_51	6_kitchen_neg_50
6_kitchen_neg_52	6_kitchen_neg_51
6_kitchen_neg_53	6_kitchen_neg_52
6_kitchen_neg_54	6_kitchen_neg_53
6_kitchen_neg_55	6_kitchen_neg_54
6_kitchen_neg_56	6_kitchen_neg_55
6_kitchen_neg_57	6_kitchen_neg_56
6_kitchen_neg_58	6_kitchen_neg_57
6_kitchen_neg_59	6_kitchen_neg_58
6_kitchen_neg_60	6_kitchen_neg_59
6_kitchen_neg_61	6_kitchen_neg_60
6_kitchen_neg_62	6_kitchen_neg_61
6_kitchen_neg_63	6_kitchen_neg_62
6_kitchen_neg_64	6_kitchen_neg_63
