12_cell_neg_14	12_cell_neg_15
12_cell_neg_17	12_cell_neg_18
12_cell_neg_21	12_cell_neg_22
12_cell_neg_32	12_cell_neg_33
12_cell_neg_33	12_cell_neg_34
12_cell_neg_34	12_cell_neg_35
12_cell_neg_35	12_cell_neg_36
12_cell_neg_36	12_cell_neg_37
1_cell_neg_9	1_cell_neg_10
1_cell_neg_12	1_cell_neg_13
1_cell_neg_13	1_cell_neg_14
1_cell_neg_14	1_cell_neg_15
1_cell_neg_29	1_cell_neg_30
1_cell_neg_30	1_cell_neg_31
1_cell_neg_31	1_cell_neg_32
1_cell_neg_32	1_cell_neg_33
1_cell_neg_36	1_cell_neg_37
1_cell_neg_37	1_cell_neg_38
1_cell_neg_38	1_cell_neg_39
1_cell_neg_39	1_cell_neg_40
1_cell_neg_40	1_cell_neg_41
1_cell_neg_47	1_cell_neg_48
1_cell_neg_52	1_cell_neg_53
1_cell_neg_53	1_cell_neg_54
1_cell_neg_54	1_cell_neg_55
1_cell_neg_55	1_cell_neg_56
1_cell_neg_56	1_cell_neg_57
1_cell_neg_57	1_cell_neg_58
1_cell_neg_75	1_cell_neg_76
1_cell_neg_93	1_cell_neg_94
1_cell_neg_94	1_cell_neg_95
1_cell_neg_95	1_cell_neg_96
1_cell_neg_96	1_cell_neg_97
1_cell_neg_122	1_cell_neg_123
1_cell_neg_123	1_cell_neg_124
1_cell_neg_124	1_cell_neg_125
1_cell_neg_130	1_cell_neg_131
1_cell_neg_131	1_cell_neg_132
1_cell_neg_132	1_cell_neg_133
1_cell_neg_133	1_cell_neg_134
1_cell_neg_134	1_cell_neg_135
1_cell_neg_135	1_cell_neg_136
1_cell_neg_136	1_cell_neg_137
1_cell_neg_137	1_cell_neg_138
1_cell_neg_138	1_cell_neg_139
1_cell_neg_139	1_cell_neg_140
1_cell_neg_140	1_cell_neg_141
1_cell_neg_141	1_cell_neg_142
1_cell_neg_142	1_cell_neg_143
1_cell_neg_143	1_cell_neg_144
1_cell_neg_144	1_cell_neg_145
1_cell_neg_145	1_cell_neg_146
1_cell_neg_146	1_cell_neg_147
1_cell_neg_147	1_cell_neg_148
1_cell_neg_148	1_cell_neg_149
1_cell_neg_149	1_cell_neg_150
1_cell_neg_150	1_cell_neg_151
1_cell_neg_151	1_cell_neg_152
1_cell_neg_152	1_cell_neg_153
1_cell_neg_153	1_cell_neg_154
1_cell_neg_154	1_cell_neg_155
1_cell_neg_155	1_cell_neg_156
1_cell_neg_156	1_cell_neg_157
1_cell_neg_157	1_cell_neg_158
1_cell_neg_158	1_cell_neg_159
1_cell_neg_159	1_cell_neg_160
1_cell_neg_160	1_cell_neg_161
1_cell_neg_161	1_cell_neg_162
1_cell_neg_162	1_cell_neg_163
1_cell_neg_163	1_cell_neg_164
1_cell_neg_164	1_cell_neg_165
1_cell_neg_165	1_cell_neg_166
1_cell_neg_166	1_cell_neg_167
1_cell_neg_170	1_cell_neg_171
1_cell_neg_171	1_cell_neg_172
1_cell_neg_172	1_cell_neg_173
1_cell_neg_176	1_cell_neg_177
1_cell_neg_177	1_cell_neg_178
1_cell_neg_188	1_cell_neg_189
1_cell_neg_189	1_cell_neg_190
1_cell_neg_205	1_cell_neg_206
1_cell_neg_208	1_cell_neg_209
1_cell_neg_209	1_cell_neg_210
1_cell_neg_210	1_cell_neg_211
1_cell_neg_211	1_cell_neg_212
1_cell_neg_212	1_cell_neg_213
1_cell_neg_213	1_cell_neg_214
1_cell_neg_214	1_cell_neg_215
1_cell_neg_215	1_cell_neg_216
1_cell_neg_216	1_cell_neg_217
1_cell_neg_217	1_cell_neg_218
1_cell_neg_218	1_cell_neg_219
1_cell_neg_219	1_cell_neg_220
1_cell_neg_220	1_cell_neg_221
1_cell_neg_221	1_cell_neg_222
1_cell_neg_222	1_cell_neg_223
1_cell_neg_223	1_cell_neg_224
1_cell_neg_224	1_cell_neg_225
1_cell_neg_225	1_cell_neg_226
1_cell_neg_226	1_cell_neg_227
1_cell_neg_227	1_cell_neg_228
1_cell_neg_228	1_cell_neg_229
1_cell_neg_229	1_cell_neg_230
1_cell_neg_230	1_cell_neg_231
1_cell_neg_231	1_cell_neg_232
1_cell_neg_232	1_cell_neg_233
1_cell_neg_239	1_cell_neg_240
1_cell_neg_248	1_cell_neg_249
1_cell_neg_249	1_cell_neg_250
13_cell_pos_5	13_cell_pos_6
13_cell_pos_8	13_cell_pos_9
13_cell_pos_9	13_cell_pos_10
13_cell_pos_24	13_cell_pos_25
13_cell_pos_25	13_cell_pos_26
13_cell_pos_33	13_cell_pos_34
13_cell_pos_47	13_cell_pos_48
13_cell_pos_48	13_cell_pos_49
13_cell_pos_49	13_cell_pos_50
13_cell_pos_65	13_cell_pos_66
13_cell_pos_66	13_cell_pos_67
13_cell_pos_67	13_cell_pos_68
13_cell_pos_70	13_cell_pos_71
13_cell_pos_78	13_cell_pos_79
13_cell_pos_79	13_cell_pos_80
13_cell_pos_80	13_cell_pos_81
13_cell_pos_81	13_cell_pos_82
13_cell_pos_82	13_cell_pos_83
13_cell_pos_83	13_cell_pos_84
13_cell_pos_84	13_cell_pos_85
13_cell_pos_85	13_cell_pos_86
13_cell_pos_86	13_cell_pos_87
13_cell_pos_87	13_cell_pos_88
13_cell_pos_88	13_cell_pos_89
13_cell_pos_89	13_cell_pos_90
13_cell_pos_90	13_cell_pos_91
13_cell_pos_91	13_cell_pos_92
17_cell_pos_7	17_cell_pos_8
17_cell_pos_8	17_cell_pos_9
17_cell_pos_9	17_cell_pos_10
17_cell_pos_10	17_cell_pos_11
17_cell_pos_13	17_cell_pos_14
17_cell_pos_14	17_cell_pos_15
17_cell_pos_15	17_cell_pos_16
17_cell_pos_16	17_cell_pos_17
17_cell_pos_24	17_cell_pos_25
17_cell_pos_27	17_cell_pos_28
17_cell_pos_28	17_cell_pos_29
17_cell_pos_58	17_cell_pos_59
17_cell_pos_59	17_cell_pos_60
17_cell_pos_60	17_cell_pos_61
17_cell_pos_70	17_cell_pos_71
17_cell_pos_71	17_cell_pos_72
17_cell_pos_72	17_cell_pos_73
17_cell_pos_73	17_cell_pos_74
12_gourmet_neg_9	12_gourmet_neg_10
12_gourmet_neg_10	12_gourmet_neg_11
12_gourmet_neg_11	12_gourmet_neg_12
12_gourmet_neg_12	12_gourmet_neg_13
12_gourmet_neg_16	12_gourmet_neg_17
12_gourmet_neg_20	12_gourmet_neg_21
5_gourmet_neg_8	5_gourmet_neg_9
5_gourmet_neg_12	5_gourmet_neg_13
16_gourmet_pos_5	16_gourmet_pos_6
16_gourmet_pos_14	16_gourmet_pos_15
16_gourmet_pos_15	16_gourmet_pos_16
16_gourmet_pos_16	16_gourmet_pos_17
16_gourmet_pos_17	16_gourmet_pos_18
16_gourmet_pos_18	16_gourmet_pos_19
16_gourmet_pos_19	16_gourmet_pos_20
16_gourmet_pos_20	16_gourmet_pos_21
16_gourmet_pos_21	16_gourmet_pos_22
16_gourmet_pos_29	16_gourmet_pos_30
16_gourmet_pos_30	16_gourmet_pos_31
16_gourmet_pos_34	16_gourmet_pos_35
16_gourmet_pos_35	16_gourmet_pos_36
16_gourmet_pos_36	16_gourmet_pos_37
17_gourmet_pos_5	17_gourmet_pos_6
17_gourmet_pos_14	17_gourmet_pos_15
17_gourmet_pos_15	17_gourmet_pos_16
17_gourmet_pos_16	17_gourmet_pos_17
17_gourmet_pos_17	17_gourmet_pos_18
17_gourmet_pos_18	17_gourmet_pos_19
17_gourmet_pos_19	17_gourmet_pos_20
17_gourmet_pos_20	17_gourmet_pos_21
17_gourmet_pos_21	17_gourmet_pos_22
17_gourmet_pos_29	17_gourmet_pos_30
17_gourmet_pos_30	17_gourmet_pos_31
17_gourmet_pos_34	17_gourmet_pos_35
17_gourmet_pos_35	17_gourmet_pos_36
17_gourmet_pos_36	17_gourmet_pos_37
17_kitchen_neg_1	17_kitchen_neg_2
17_kitchen_neg_2	17_kitchen_neg_3
17_kitchen_neg_11	17_kitchen_neg_12
17_kitchen_neg_15	17_kitchen_neg_16
17_kitchen_neg_16	17_kitchen_neg_17
17_kitchen_neg_17	17_kitchen_neg_18
17_kitchen_neg_18	17_kitchen_neg_19
17_kitchen_neg_19	17_kitchen_neg_20
17_kitchen_neg_20	17_kitchen_neg_21
17_kitchen_neg_21	17_kitchen_neg_22
17_kitchen_neg_22	17_kitchen_neg_23
17_kitchen_neg_23	17_kitchen_neg_24
17_kitchen_neg_24	17_kitchen_neg_25
17_kitchen_neg_25	17_kitchen_neg_26
17_kitchen_neg_26	17_kitchen_neg_27
17_kitchen_neg_27	17_kitchen_neg_28
17_kitchen_neg_28	17_kitchen_neg_29
17_kitchen_neg_29	17_kitchen_neg_30
17_kitchen_neg_30	17_kitchen_neg_31
17_kitchen_neg_31	17_kitchen_neg_32
17_kitchen_neg_32	17_kitchen_neg_33
17_kitchen_neg_33	17_kitchen_neg_34
17_kitchen_neg_34	17_kitchen_neg_35
17_kitchen_neg_35	17_kitchen_neg_36
17_kitchen_neg_36	17_kitchen_neg_37
17_kitchen_neg_37	17_kitchen_neg_38
17_kitchen_neg_38	17_kitchen_neg_39
17_kitchen_neg_39	17_kitchen_neg_40
17_kitchen_neg_40	17_kitchen_neg_41
17_kitchen_neg_41	17_kitchen_neg_42
17_kitchen_neg_42	17_kitchen_neg_43
17_kitchen_neg_43	17_kitchen_neg_44
17_kitchen_neg_44	17_kitchen_neg_45
17_kitchen_neg_45	17_kitchen_neg_46
3_kitchen_neg_2	3_kitchen_neg_3
3_kitchen_neg_6	3_kitchen_neg_7
3_kitchen_neg_7	3_kitchen_neg_8
3_kitchen_neg_8	3_kitchen_neg_9
3_kitchen_neg_9	3_kitchen_neg_10
3_kitchen_neg_12	3_kitchen_neg_13
3_kitchen_neg_13	3_kitchen_neg_14
3_kitchen_neg_14	3_kitchen_neg_15
3_kitchen_neg_21	3_kitchen_neg_22
3_kitchen_neg_34	3_kitchen_neg_35
3_kitchen_neg_35	3_kitchen_neg_36
3_kitchen_neg_36	3_kitchen_neg_37
3_kitchen_neg_37	3_kitchen_neg_38
3_kitchen_neg_38	3_kitchen_neg_39
3_kitchen_neg_39	3_kitchen_neg_40
3_kitchen_neg_48	3_kitchen_neg_49
3_kitchen_neg_49	3_kitchen_neg_50
3_kitchen_neg_50	3_kitchen_neg_51
3_kitchen_neg_51	3_kitchen_neg_52
3_kitchen_neg_52	3_kitchen_neg_53
3_kitchen_neg_53	3_kitchen_neg_54
3_kitchen_neg_54	3_kitchen_neg_55
3_kitchen_neg_55	3_kitchen_neg_56
3_kitchen_neg_60	3_kitchen_neg_61
3_kitchen_neg_61	3_kitchen_neg_62
3_kitchen_neg_69	3_kitchen_neg_70
3_kitchen_neg_70	3_kitchen_neg_71
3_kitchen_neg_71	3_kitchen_neg_72
3_kitchen_neg_72	3_kitchen_neg_73
3_kitchen_neg_73	3_kitchen_neg_74
3_kitchen_neg_74	3_kitchen_neg_75
3_kitchen_neg_75	3_kitchen_neg_76
3_kitchen_neg_76	3_kitchen_neg_77
3_kitchen_neg_77	3_kitchen_neg_78
3_kitchen_neg_78	3_kitchen_neg_79
3_kitchen_neg_79	3_kitchen_neg_80
3_kitchen_neg_80	3_kitchen_neg_81
3_kitchen_neg_81	3_kitchen_neg_82
