3_kitchen_neg_1	3_kitchen_neg_0
3_kitchen_neg_2	3_kitchen_neg_1
3_kitchen_neg_3	3_kitchen_neg_2
3_kitchen_neg_4	3_kitchen_neg_3
3_kitchen_neg_5	3_kitchen_neg_4
3_kitchen_neg_6	3_kitchen_neg_5
3_kitchen_neg_7	3_kitchen_neg_6
3_kitchen_neg_8	3_kitchen_neg_7
3_kitchen_neg_9	3_kitchen_neg_8
3_kitchen_neg_10	3_kitchen_neg_9
3_kitchen_neg_11	3_kitchen_neg_10
3_kitchen_neg_12	3_kitchen_neg_11
3_kitchen_neg_13	3_kitchen_neg_12
3_kitchen_neg_14	3_kitchen_neg_13
3_kitchen_neg_15	3_kitchen_neg_14
3_kitchen_neg_16	3_kitchen_neg_15
3_kitchen_neg_17	3_kitchen_neg_16
3_kitchen_neg_18	3_kitchen_neg_17
3_kitchen_neg_19	3_kitchen_neg_18
3_kitchen_neg_20	3_kitchen_neg_19
3_kitchen_neg_21	3_kitchen_neg_20
3_kitchen_neg_22	3_kitchen_neg_21
3_kitchen_neg_23	3_kitchen_neg_22
3_kitchen_neg_24	3_kitchen_neg_23
3_kitchen_neg_25	3_kitchen_neg_24
3_kitchen_neg_26	3_kitchen_neg_25
3_kitchen_neg_27	3_kitchen_neg_26
3_kitchen_neg_28	3_kitchen_neg_27
3_kitchen_neg_29	3_kitchen_neg_28
3_kitchen_neg_30	3_kitchen_neg_29
3_kitchen_neg_31	3_kitchen_neg_30
3_kitchen_neg_32	3_kitchen_neg_31
3_kitchen_neg_33	3_kitchen_neg_32
3_kitchen_neg_34	3_kitchen_neg_33
3_kitchen_neg_35	3_kitchen_neg_34
3_kitchen_neg_36	3_kitchen_neg_35
3_kitchen_neg_37	3_kitchen_neg_36
3_kitchen_neg_38	3_kitchen_neg_37
3_kitchen_neg_39	3_kitchen_neg_38
3_kitchen_neg_40	3_kitchen_neg_39
3_kitchen_neg_41	3_kitchen_neg_40
3_kitchen_neg_42	3_kitchen_neg_41
3_kitchen_neg_43	3_kitchen_neg_42
3_kitchen_neg_44	3_kitchen_neg_43
3_kitchen_neg_45	3_kitchen_neg_44
3_kitchen_neg_46	3_kitchen_neg_45
3_kitchen_neg_47	3_kitchen_neg_46
3_kitchen_neg_48	3_kitchen_neg_47
3_kitchen_neg_49	3_kitchen_neg_48
3_kitchen_neg_50	3_kitchen_neg_49
3_kitchen_neg_51	3_kitchen_neg_50
3_kitchen_neg_52	3_kitchen_neg_51
3_kitchen_neg_53	3_kitchen_neg_52
3_kitchen_neg_54	3_kitchen_neg_53
3_kitchen_neg_55	3_kitchen_neg_54
3_kitchen_neg_56	3_kitchen_neg_55
3_kitchen_neg_57	3_kitchen_neg_56
3_kitchen_neg_58	3_kitchen_neg_57
3_kitchen_neg_59	3_kitchen_neg_58
3_kitchen_neg_60	3_kitchen_neg_59
3_kitchen_neg_61	3_kitchen_neg_60
3_kitchen_neg_62	3_kitchen_neg_61
3_kitchen_neg_63	3_kitchen_neg_62
3_kitchen_neg_64	3_kitchen_neg_63
3_kitchen_neg_65	3_kitchen_neg_64
3_kitchen_neg_66	3_kitchen_neg_65
3_kitchen_neg_67	3_kitchen_neg_66
3_kitchen_neg_68	3_kitchen_neg_67
3_kitchen_neg_69	3_kitchen_neg_68
3_kitchen_neg_70	3_kitchen_neg_69
3_kitchen_neg_71	3_kitchen_neg_70
3_kitchen_neg_72	3_kitchen_neg_71
3_kitchen_neg_73	3_kitchen_neg_72
3_kitchen_neg_74	3_kitchen_neg_73
3_kitchen_neg_75	3_kitchen_neg_74
3_kitchen_neg_76	3_kitchen_neg_75
3_kitchen_neg_77	3_kitchen_neg_76
3_kitchen_neg_78	3_kitchen_neg_77
3_kitchen_neg_79	3_kitchen_neg_78
3_kitchen_neg_80	3_kitchen_neg_79
3_kitchen_neg_81	3_kitchen_neg_80
3_kitchen_neg_82	3_kitchen_neg_81
3_kitchen_neg_83	3_kitchen_neg_82
3_kitchen_neg_84	3_kitchen_neg_83
