negative	0.125	0.21875	Here  are  the  main  issues  I  have  found  with  this  phone  : 
negative	0.25	0.1875	1  -RRB-  The  buttons  are  too  small  , 
negative	0.0001	0.25	particularly  the  main  control  button  . 
negative	0.0001	0.25	You  have  to  used  the  side  of  your  fingers 
negative	0.0001	0.0001	to  ensure 
negative	0.4375	0.125	that  you  do  not  hit  too  buttons  at  the  same  time  . 
negative	0.0001	0.125	And  ,  believe 
negative	0.0001	0.0001	me  , 
negative	0.3333333333333333	0.25	I  do  not  have  very  large  hands  . 
negative	0.625	0.3125	2  -RRB-  If  you  have  quite  a  few  contacts  in  your  phone  , 
negative	0.125	0.25	you  will  be  irritated  by  the  delay 
negative	0.0001	0.375	when  you  scroll  down  quickly  to  select  a  contact  . 
negative	0.375	0.375	You  will  notice  that  if  you  are  not  careful  , 
negative	0.75	0.25	you  will  dial  the  wrong  contact  due 
negative	0.0001	0.0001	to  the  delay 
negative	0.125	0.3333333333333333	when  scrolling  and  selecting  quickly  ,  so  if  this  is  you  ,  be  aware  . 
negative	0.0001	0.0001	3  -RRB-  You 
negative	0.0001	0.0001	must  open  the  cover 
negative	0.25	0.25	and  look  inside  to  see  if  you  have  missed  a  call  or  have  a  message  . 
negative	0.0001	0.0001	VERY  INCONVENIENT  !  ! 
negative	0.125	0.25	There  is  no  indication  to  show  this  on  the  top  screen  ,  only  the  inside  screen  . 
negative	0.0001	0.0001	4  -RRB-  On  occasion  ,  the  display  on  the  outside  of  the  phone  stops 
negative	0.0001	0.5	working  entirely  . 
negative	0.1875	0.25	What  you  just  need  to  do  is  power  the  phone  down 
negative	0.0001	0.375	and  they  back  up  again  . 
negative	0.625	0.0001	Not  optimal  , 
negative	0.625	0.125	and  I  probably  just  got  a  bad  phone  , 
negative	0.125	0.1875	but  I  am  just  waiting  for  the  situation  to  get  more  frequent  , 
negative	0.25	0.25	so  I  can  then  deal  with  the  likely  nightmare  of  having  to  get  a  replacement  phone  from  Motorola  . 
negative	0.0001	0.0001	NOTE  : 
negative	0.0001	0.25	I  have  no  personal  vendetta  against  Motorola  , 
negative	0.5	0.375	but  wanted  to  provide  some  real  feedback  rather  than  all  just  rosey  stuff 
negative	0.0001	0.0001	I  bought  into  before  purchasing 
negative	0.0001	0.125	Well  I  read  through  just  about  every  review  prior  to  purchasing  this  phone 
negative	0.125	0.25	and  was  almost  thinking  twice  about  it 
negative	0.0001	0.125	after  reading  some  of  the  reviews  here  , 
positive	0.0001	0.0001	but  I  decided  to  take  the  plunge 
positive	0.0001	0.0001	and  go  for  it  . 
positive	0.625	0.125	Well  I  'm  glad 
positive	0.0001	0.0001	I  did  . 
positive	0.125	0.25	All  I  can  say  is  this  phone 
positive	0.125	0.25	has  been  a  pleasure 
positive	0.0001	0.125	to  use  from  the  get-go  . 
negative	0.125	0.25	It  has  its  flaws 
positive	0.0001	0.0001	but  what  phone  does  n't  ? 
positive	0.1875	0.225	The  question  is  whether  you  `  re  going  go  flip  out  over  an  alarm  clock  or  volume  strip  or  is  it  a  trivial  issue  for  you  . 
positive	0.5	0.25	Most  of  the  gripes  others  have  had  just  seem  little  to  me  . 
positive	0.125	0.0001	Let  's  talk  about  the  pros  and  cons  : 
positive	0.0001	0.0001	Pros  : 
positive	0.125	0.3125	1  .  Call  quality  is  excellent  . 
positive	0.0001	0.0001	No  static 
positive	0.0001	0.0001	what  so  ever  . 
positive	0.0001	0.0001	No  dropped  calls  . 
positive	0.0001	0.5	My  area  has  good  T-mobile  coverage 
positive	0.75	0.0001	so  I  ca  n't  complain  . 
positive	0.0001	0.0001	As  a  phone 
negative	0.0001	0.0001	it  does 
positive	0.0001	0.0001	what  it  's  supposed  to  do  . 
positive	0.0001	0.4375	Make  good  quality  calls  . 
positive	0.0001	0.0001	It  also  pairs  with  my  bluetooth  headset 
positive	0.0001	0.0001	-LRB-  Plantronics  510  -RRB- 
positive	0.0001	0.5	really  well  . 
positive	0.1875	0.375	Speaker  phone  is  of  good  quality  too  . 
positive	0.0001	0.0001	2  .  Internet  works  great  . 
positive	0.0001	0.25	I  have  the  $  5.99  plan 
negative	0.125	0.25	and  yes  EDGE  is  n't  the  fastest 
positive	0.0001	0.125	but  it  gets  the  job 
positive	0.0001	0.0001	done  . 
positive	0.0001	0.0001	It  does  n't  matter 
positive	0.0001	0.5	where  I  'm  at  I  can  check  my  email  , 
positive	0.0001	0.4375	finds  restaurants  or  directions  ,  or  just  surf  the  web 
positive	0.0001	0.125	when  I  'm  bored  . 
positive	0.0001	0.625	It  really  came  in  handy 
