9_cell_neg_1	9_cell_neg_2
9_cell_neg_2	9_cell_neg_3
9_cell_neg_3	9_cell_neg_4
9_cell_neg_4	9_cell_neg_5
9_cell_neg_5	9_cell_neg_6
9_cell_neg_6	9_cell_neg_7
9_cell_neg_7	9_cell_neg_8
9_cell_neg_8	9_cell_neg_9
9_cell_neg_9	9_cell_neg_10
9_cell_neg_10	9_cell_neg_11
9_cell_neg_11	9_cell_neg_12
9_cell_neg_12	9_cell_neg_13
9_cell_neg_13	9_cell_neg_14
9_cell_neg_14	9_cell_neg_15
9_cell_neg_15	9_cell_neg_16
9_cell_neg_16	9_cell_neg_17
9_cell_neg_17	9_cell_neg_18
9_cell_neg_18	9_cell_neg_19
9_cell_neg_19	9_cell_neg_20
9_cell_neg_20	9_cell_neg_21
9_cell_neg_21	9_cell_neg_22
9_cell_neg_22	9_cell_neg_23
9_cell_neg_23	9_cell_neg_24
9_cell_neg_24	9_cell_neg_25
9_cell_neg_26	9_cell_neg_27
9_cell_neg_27	9_cell_neg_28
9_cell_neg_28	9_cell_neg_29
9_cell_neg_29	9_cell_neg_30
9_cell_neg_30	9_cell_neg_31
9_cell_neg_31	9_cell_neg_32
9_cell_neg_32	9_cell_neg_33
9_cell_neg_33	9_cell_neg_34
9_cell_neg_34	9_cell_neg_35
9_cell_neg_35	9_cell_neg_36
9_cell_neg_36	9_cell_neg_37
9_cell_neg_37	9_cell_neg_38
9_cell_neg_38	9_cell_neg_39
9_cell_neg_39	9_cell_neg_40
9_cell_neg_40	9_cell_neg_41
9_cell_neg_41	9_cell_neg_42
9_cell_neg_42	9_cell_neg_43
9_cell_neg_43	9_cell_neg_44
9_cell_neg_44	9_cell_neg_45
9_cell_neg_45	9_cell_neg_46
9_cell_neg_46	9_cell_neg_47
9_cell_neg_47	9_cell_neg_48
9_cell_neg_48	9_cell_neg_49
9_cell_neg_50	9_cell_neg_51
9_cell_neg_51	9_cell_neg_52
9_cell_neg_52	9_cell_neg_53
9_cell_neg_53	9_cell_neg_54
9_cell_neg_54	9_cell_neg_55
9_cell_neg_55	9_cell_neg_56
9_cell_neg_56	9_cell_neg_57
9_cell_neg_57	9_cell_neg_58
9_cell_neg_58	9_cell_neg_59
9_cell_neg_59	9_cell_neg_60
9_cell_neg_60	9_cell_neg_61
9_cell_neg_61	9_cell_neg_62
9_cell_neg_62	9_cell_neg_63
9_cell_neg_63	9_cell_neg_64
9_cell_neg_65	9_cell_neg_66
9_cell_neg_66	9_cell_neg_67
9_cell_neg_67	9_cell_neg_68
9_cell_neg_68	9_cell_neg_69
9_cell_neg_69	9_cell_neg_70
9_cell_neg_70	9_cell_neg_71
9_cell_neg_71	9_cell_neg_72
