8_kitchen_neg_1	8_kitchen_neg_0
8_kitchen_neg_2	8_kitchen_neg_1
8_kitchen_neg_3	8_kitchen_neg_2
8_kitchen_neg_4	8_kitchen_neg_3
8_kitchen_neg_5	8_kitchen_neg_4
8_kitchen_neg_6	8_kitchen_neg_5
8_kitchen_neg_7	8_kitchen_neg_6
8_kitchen_neg_8	8_kitchen_neg_7
8_kitchen_neg_9	8_kitchen_neg_8
8_kitchen_neg_10	8_kitchen_neg_9
8_kitchen_neg_11	8_kitchen_neg_10
8_kitchen_neg_12	8_kitchen_neg_11
8_kitchen_neg_13	8_kitchen_neg_12
8_kitchen_neg_14	8_kitchen_neg_13
8_kitchen_neg_15	8_kitchen_neg_14
8_kitchen_neg_16	8_kitchen_neg_15
8_kitchen_neg_17	8_kitchen_neg_16
8_kitchen_neg_18	8_kitchen_neg_17
8_kitchen_neg_19	8_kitchen_neg_18
8_kitchen_neg_20	8_kitchen_neg_19
8_kitchen_neg_21	8_kitchen_neg_20
8_kitchen_neg_22	8_kitchen_neg_21
8_kitchen_neg_23	8_kitchen_neg_22
8_kitchen_neg_24	8_kitchen_neg_23
8_kitchen_neg_25	8_kitchen_neg_24
8_kitchen_neg_26	8_kitchen_neg_25
8_kitchen_neg_27	8_kitchen_neg_26
8_kitchen_neg_28	8_kitchen_neg_27
8_kitchen_neg_29	8_kitchen_neg_28
8_kitchen_neg_30	8_kitchen_neg_29
8_kitchen_neg_31	8_kitchen_neg_30
8_kitchen_neg_32	8_kitchen_neg_31
8_kitchen_neg_33	8_kitchen_neg_32
8_kitchen_neg_34	8_kitchen_neg_33
8_kitchen_neg_35	8_kitchen_neg_34
8_kitchen_neg_36	8_kitchen_neg_35
8_kitchen_neg_37	8_kitchen_neg_36
8_kitchen_neg_38	8_kitchen_neg_37
8_kitchen_neg_39	8_kitchen_neg_38
8_kitchen_neg_40	8_kitchen_neg_39
8_kitchen_neg_41	8_kitchen_neg_40
8_kitchen_neg_42	8_kitchen_neg_41
8_kitchen_neg_43	8_kitchen_neg_42
8_kitchen_neg_44	8_kitchen_neg_43
