16_gourmet_neg_1	16_gourmet_neg_0
16_gourmet_neg_2	16_gourmet_neg_1
16_gourmet_neg_3	16_gourmet_neg_2
16_gourmet_neg_4	16_gourmet_neg_3
16_gourmet_neg_5	16_gourmet_neg_4
16_gourmet_neg_6	16_gourmet_neg_5
16_gourmet_neg_7	16_gourmet_neg_6
16_gourmet_neg_8	16_gourmet_neg_7
16_gourmet_neg_9	16_gourmet_neg_8
16_gourmet_neg_10	16_gourmet_neg_9
16_gourmet_neg_11	16_gourmet_neg_10
16_gourmet_neg_12	16_gourmet_neg_11
16_gourmet_neg_13	16_gourmet_neg_12
16_gourmet_neg_14	16_gourmet_neg_13
16_gourmet_neg_15	16_gourmet_neg_14
16_gourmet_neg_16	16_gourmet_neg_15
16_gourmet_neg_17	16_gourmet_neg_16
