12_kitchen_neg_1	12_kitchen_neg_0
12_kitchen_neg_2	12_kitchen_neg_1
12_kitchen_neg_3	12_kitchen_neg_2
12_kitchen_neg_4	12_kitchen_neg_3
12_kitchen_neg_5	12_kitchen_neg_4
12_kitchen_neg_6	12_kitchen_neg_5
12_kitchen_neg_7	12_kitchen_neg_6
12_kitchen_neg_8	12_kitchen_neg_7
12_kitchen_neg_9	12_kitchen_neg_8
12_kitchen_neg_10	12_kitchen_neg_9
12_kitchen_neg_11	12_kitchen_neg_10
12_kitchen_neg_12	12_kitchen_neg_11
12_kitchen_neg_13	12_kitchen_neg_12
12_kitchen_neg_14	12_kitchen_neg_13
12_kitchen_neg_15	12_kitchen_neg_14
12_kitchen_neg_16	12_kitchen_neg_15
12_kitchen_neg_17	12_kitchen_neg_16
12_kitchen_neg_18	12_kitchen_neg_17
12_kitchen_neg_19	12_kitchen_neg_18
12_kitchen_neg_20	12_kitchen_neg_19
12_kitchen_neg_21	12_kitchen_neg_20
12_kitchen_neg_22	12_kitchen_neg_21
12_kitchen_neg_23	12_kitchen_neg_22
12_kitchen_neg_24	12_kitchen_neg_23
12_kitchen_neg_25	12_kitchen_neg_24
12_kitchen_neg_26	12_kitchen_neg_25
12_kitchen_neg_27	12_kitchen_neg_26
12_kitchen_neg_28	12_kitchen_neg_27
12_kitchen_neg_29	12_kitchen_neg_28
12_kitchen_neg_30	12_kitchen_neg_29
12_kitchen_neg_31	12_kitchen_neg_30
12_kitchen_neg_32	12_kitchen_neg_31
12_kitchen_neg_33	12_kitchen_neg_32
12_kitchen_neg_34	12_kitchen_neg_33
12_kitchen_neg_35	12_kitchen_neg_34
12_kitchen_neg_36	12_kitchen_neg_35
12_kitchen_neg_37	12_kitchen_neg_36
12_kitchen_neg_38	12_kitchen_neg_37
12_kitchen_neg_39	12_kitchen_neg_38
12_kitchen_neg_40	12_kitchen_neg_39
12_kitchen_neg_41	12_kitchen_neg_40
