PhraseIDs	Text
8_cell_neg_1	I  reluctantly  bought  this  phone 
8_cell_neg_2	because  my  Kyocera  Slider  suddenly  died  on  me  conveniently 
8_cell_neg_3	3  months  after  VM  's  warranty  was  up 
8_cell_neg_4	and  i  had  just  purchased  a  $  20  phone 
8_cell_neg_5	card  +  had  airtime  credits 
8_cell_neg_6	which  were  not  refundable  . 
8_cell_neg_7	Now  i  am  not  a  teen 
8_cell_neg_8	and  my  phone  and  things  do  not  receive  harsh  treatment  . 
8_cell_neg_9	My  kyocera  slider  actually  looked  like  new 
8_cell_neg_10	when  it  died  with  no  scratches  what-so-ever  so  i  was  pretty  upset  . 
8_cell_neg_11	After  multiple  calls  and  2  emails  to  VM 
8_cell_neg_12	it  was  pretty  clear  they  were  n't  going  to  do  anything  to  help  . 
8_cell_neg_13	I  was  offered  a  replacement  slider  at  $  20  . 
8_cell_neg_14	Obviously  I  did  n't  want  the  same  one 
8_cell_neg_15	that  could  possibly  die  on  me 
8_cell_neg_16	after  a  couple  of  months  so  like  i  was  saying 
8_cell_neg_17	I  had  no  other  recourse 
8_cell_neg_18	but  to  purchase  this  Audiovox  8610  . 
8_cell_neg_19	By  the  way  AFTER 
8_cell_neg_20	I  PURCHASED  THE  PHONE  AT  A  LOCAL  STORE  IN  TOWN 
8_cell_neg_21	-LRB- 
8_cell_neg_22	when  i  called  to  activate  the  phone  -RRB- 
8_cell_neg_23	they  have  the  nerve 
8_cell_neg_24	to  tell  me  that  I  could  `  ve  purchased  the  same  8610  from  them  at  a  discount  price  of  $  24.99 
8_cell_neg_25	because  the  slider  died  . 
8_cell_neg_26	The  f  !  @  %  ng  idiots  ! 
8_cell_neg_27	HELLO  COULD  YA  NOT  HAVE  TOLD  ME  SOONER  ?  ?  ? 
8_cell_neg_28	and  after  i  spent 
8_cell_neg_29	$  50  +  tax  . 
8_cell_neg_30	sheesh  ! 
8_cell_neg_31	Anyway  back  to  the  phone  review  .  . 
8_cell_neg_32	the  ringer  is  indeed  low 
8_cell_neg_33	as  others  have  reported  here  . 
8_cell_neg_34	Its  so  low  that  if  its  in  my  purse  i  ca  n't  even  hear  it  ! 
8_cell_neg_35	WTF  ?  ?  ? 
8_cell_neg_36	Also  the  battery  life  sucks  ,  no  sooner  does  the  thing  ring  and  the  batteries  at  half  . 
8_cell_neg_37	It  also  doesnt  get  good  service  with  the  VM\/Sprint  network  , 
8_cell_neg_38	my  slider  had  xcellent  service  w\/it 
8_cell_neg_39	despite  everything 
8_cell_neg_40	and  rarely  if  ever  dropped  calls  . 
8_cell_neg_41	So  I  `  ve  had  it  5  days  and  I  'm  considering 
8_cell_neg_42	attempting  to  bring  it  back 
8_cell_neg_43	where  I  purchased  it  from  . 
8_cell_neg_44	However  i  do  n't  want  to  buy  an  expensive  phone  from  VM 
8_cell_neg_45	because  I  'm  seriously  reconsidering  continuing  w\/them  . 
8_cell_neg_46	The  way  I  see 
8_cell_neg_47	it  VM  leaves  alot  to  be  desired  with  the  quality  of  phones 
8_cell_neg_48	they  sell  + 
8_cell_neg_49	they  are  expensive  . 
8_cell_neg_50	I  am  a  lite  user 
8_cell_neg_51	but  if  you  talk  slightly  more  than  usual  you  end  up 
8_cell_neg_52	feeling  it  wallet  -  wise  . 
8_cell_neg_53	Prior  to  these  issues 
8_cell_neg_54	I  was  a  happy  VM  customer  but  not  anymore  . 
9_cell_pos_1	Note  : 
9_cell_pos_2	I  am 
9_cell_pos_3	transitioning  from  using  the  Sony  Ericsson  P910i  smartphone 
9_cell_pos_4	so  my  review  is  based  on  how  well  the  w710i  's  features  work  in  comparison  . 
9_cell_pos_5	I  purchased  this 
9_cell_pos_6	because  I  go  to  remote  areas 
9_cell_pos_7	and  the  P910i  needs  heavy  bandwidth  in  order  for  the  phone  to  function  . 
9_cell_pos_8	My  son  's  Z500  would  work  in  areas 
9_cell_pos_9	my  p910i  would  not  . 
9_cell_pos_10	Review  is  based  on  1  week  of  usage  . 
9_cell_pos_11	I  `  ve  also  purchased  the  z710i  for  my  son 
9_cell_pos_12	and  will  review  that  one  later  . 
9_cell_pos_13	Strengths  : 
9_cell_pos_14	\*  Improved  picture  quality  of  2.0  megapixels  vs  .  1.3 
9_cell_pos_15	\*  Excellent  voice  quality  with  headsets 
9_cell_pos_16	-LRB-  wired  or  bluetooth  -RRB- 
9_cell_pos_17	\*  Text  ,  SMS  ,  MMS 
9_cell_pos_18	\*  shortcut  buttons 
9_cell_pos_19	to  quickly  use  4  of  your  most  used  features 
9_cell_pos_20	\*  Battery  life  is  outstanding 
9_cell_pos_21	\*  mp3  player 
9_cell_pos_22	\*  RSS  reader 
9_cell_pos_23	\*  Bluetooth  synchronization  of  files 
9_cell_pos_24	\*  Ability  to  set  up  phone  in  non-english  languages 
9_cell_pos_25	\*  Ability  to  buy  an  international  SIM  card 
9_cell_pos_26	to  avoid  extra  fees 
9_cell_pos_27	\*  Sync  cord  charges  the  battery 
9_cell_pos_28	\*  Can  double  as  a  modem  via  bluetooth  or  usb  cable 
9_cell_pos_29	-LRB-  if  you  do  n't  have  unlimited  internet  package  be  very  careful 
9_cell_pos_30	as  they  charge  big  $  $  $  -RRB- 
9_cell_pos_31	\*  FM  radio  -  reception  is  so-so  in  the  downtown  area 
9_cell_pos_32	\*  standard  or  flight  mode  option 
9_cell_pos_33	to  use  while  on  airplane 
9_cell_pos_34	\*  Edge  technology  -  my  p10i  did  not  have  this  . 
9_cell_pos_35	I  can  download  email  extremely  quickly  now  !  !  ! 
9_cell_pos_36	\*  step  counter  &  calories  expended 
9_cell_pos_37	Neutral  : 
9_cell_pos_38	\*  The  international  charger  with  an  adapter  for  US  outlets  . 
9_cell_pos_39	It  is  very  wobbly  in  the  outlet  . 
9_cell_pos_40	I  `  ll  invest  in  a  US  version  . 
9_cell_pos_41	\*  Inability  to  sync  with  any  computer 
9_cell_pos_42	using  Windows  Vista 
9_cell_pos_43	-LRB-  I  'm  sure  a  workaround  is  coming  -RRB- 
9_cell_pos_44	\*  I  have  n't  used  the  armband  yet 
9_cell_pos_45	but  it  may  improve  the  stepcounter  's  accuracy  . 
9_cell_pos_46	\*  Others  have  warned  about  holdling  the  phone 
9_cell_pos_47	and  interferring  with  the  antenna  , 
9_cell_pos_48	I  have  n't  had  a  problem  with  this  . 
9_cell_pos_49	\*  Over-the-ear  earbuds  do  n't  fall  out  ! 
9_cell_pos_50	Weaknesses  : 
9_cell_pos_51	\*  Since  I  have  other  Sony  phones  , 
9_cell_pos_52	I  am 
9_cell_pos_53	disappointed 
9_cell_pos_54	that  they  have  changed  the  shape  of  the  connection  for  the  sync  and  charger  . 
9_cell_pos_55	Translation  , 
9_cell_pos_56	you  can  no  longer  use  the  current  chargers  of  the  previous  generation  phones  . 
9_cell_pos_57	\*  There  is  no  way  to  charge  the  phone 
9_cell_pos_58	and  use  the  wired  headset  . 
9_cell_pos_59	You  either  listen  to  the  radio  or  charge  the  phone  . 
9_cell_pos_60	\*  You  can  not  use  the  standard  over-the-counter  headsets 
9_cell_pos_61	because  there  is  no  outlet  for  it  . 
9_cell_pos_62	\*  Need  to  switch  settings 
9_cell_pos_63	to  view  more  than  one  email  account 
9_cell_pos_64	\*  Yet  another  memory  card  format  -LRB-  micro  -RRB-  another  adapter 
9_cell_pos_65	needed 
9_cell_pos_66	\*  Memory  card  only  512mb 
9_cell_pos_67	-LRB-  can  purchase  1  or  2gb  -RRB- 
9_cell_pos_68	\*  picture  caller  id  only  works 
9_cell_pos_69	after  you  open  the  phone 
9_cell_pos_70	-LRB-  edit  March  21,2007  - 
9_cell_pos_71	if  you  have  answer  on  open  set  -RRB- 
9_cell_pos_72	I  purchased  my  W710i  from  an  internet  company  for  $  254.00 
9_cell_pos_73	and  it  was  shipped  directly  from  Hong  Kong  in  2  business  days  . 
9_cell_pos_74	I  'm  unsure  if  I  can  provide  their  name  here  . 
9_cell_pos_75	Overall  : 
9_cell_pos_76	Sony  has  always  produced  quality  products  . 
9_cell_pos_77	I  love  this  phone 
9_cell_pos_78	and  it  is  a  very  good  comparison  to  a  SmartPhone  . 
9_cell_pos_79	I  do  miss  using  my  styllus  . 
9_cell_pos_80	If  you  do  n't  need  the  bells  and  whistles  of  a  smartphone  ,  go  for  the  Z710i  as  it  is  a  bit  cheaper  but  a  great  contender  . 
9_cell_pos_81	If  I  could  rate  it  more  than  5  stars  , 
9_cell_pos_82	I  would  even  though  I  have  n't  tried  all  of  the  features  of  this  phone  . 
9_cell_pos_83	Buy  it  without  hesitation  ! 
9_cell_pos_84	ADDENDUM  March  5  ,  2007 
9_cell_pos_85	I  dropped  the  phone  on  a  tiled  bathroom  floor  . 
9_cell_pos_86	When  it  hit  ,  the  clip  ,  battery  cover  and  battery 
9_cell_pos_87	scattered  in  different  directions  on  the  floor  . 
9_cell_pos_88	Amazingly  ,  the  phone  still  operates  . 
9_cell_pos_89	The  damage  is  a  barely  noticeable  mark  on  the  upper  left  of  the  phone  . 
9_cell_pos_90	A  mark  like  that 
9_cell_pos_91	could  happen  in  my  purse  ! 
9_cell_pos_92	I  am  really  impressed  now 
9_cell_pos_93	but  hope  I  never  do  that  again  ! 
4_kitchen_pos_1	What  an  awesome  product  ! 
4_kitchen_pos_2	Heavy-duty  and  sturdy  , 
4_kitchen_pos_3	you  'd  never  know 
4_kitchen_pos_4	"it  was  an  ""  assemble-at-home  ""  item  . "
4_kitchen_pos_5	It  's  a  quality  piece  of  furniture  . 
4_kitchen_pos_6	It  's  on  wheels  , 
4_kitchen_pos_7	which  is  a  good  thing 
4_kitchen_pos_8	because  it  is  surprisingly  heavy  . 
4_kitchen_pos_9	Let  's  start  at  the  top  : 
4_kitchen_pos_10	The  butcher  block  top  . 
4_kitchen_pos_11	It  's  three  inches  thick 
4_kitchen_pos_12	and  , 
4_kitchen_pos_13	as  such  , 
4_kitchen_pos_14	it  is  the  heaviest  part  of  the  entire  kitchen  cart  . 
4_kitchen_pos_15	It  is  made  of  fine  ,  high-quality  Asian  hardwoods  . 
4_kitchen_pos_16	The  finish  is  oiled  and  the  manufacturer  recommends  seasoning  it  regularly  with  mineral  oil  . 
4_kitchen_pos_17	The  next  is  the  cart  itself  . 
4_kitchen_pos_18	Immediately  under  the  butcher  block  top  , 
4_kitchen_pos_19	"there  is  a  2  "" "
4_kitchen_pos_20	deep  drawer  . 
4_kitchen_pos_21	It  's  large  and  deep  enough 
4_kitchen_pos_22	to  accommodate  a  standard  utensil  holder  or  other  items  of  your  choice  . 
4_kitchen_pos_23	The  pull  handle  on  the  drawer 
4_kitchen_pos_24	is  fashioned  out  of  brushed  chrome  . 
4_kitchen_pos_25	Beneath  the  drawer  , 
4_kitchen_pos_26	there  is  a  shelf  . 
4_kitchen_pos_27	Surrounding  the  shelf  on  three  sides  are  brushed  chrome  rods  , 
4_kitchen_pos_28	adding  a  modern  look  . 
4_kitchen_pos_29	Matching  the  brushed  chrome  are  three  hooks  on  the  right  side  of  the  cart  ,  perfect  for  hanging  larger  utensils  or  pot  holders  . 
4_kitchen_pos_30	Below  the  shelf  is  a  cabinet  with  two  doors  . 
4_kitchen_pos_31	The  pull  handles  for  the  doors  also  have  a  brushed  chrome  finish  . 
4_kitchen_pos_32	The  cabinet  is  large  enough 
4_kitchen_pos_33	to  hold  an  entire  set  of  dinnerware 
4_kitchen_pos_34	-LRB-  as  in  my  case 
4_kitchen_pos_35	where  I  have  eight  place  settings 
4_kitchen_pos_36	that  include  dinner  and  luncheon  plates  ,  fruit  and  soup  bowls  ,  and  more  -RRB-  . 
4_kitchen_pos_37	Finally  ,  heavy-duty  ,  professional  grade  caster  wheels  support  the  whole  thing  . 
4_kitchen_pos_38	The  two  in  the  front  are  locking  . 
4_kitchen_pos_39	To  prevent  stubbed  toes  ,  the  wheels  can  easily  be  rotated  and  tucked  under  the  unit  . 
4_kitchen_pos_40	The  easy  to  follow  directions  for  assembly 
4_kitchen_pos_41	-LRB- 
4_kitchen_pos_42	which  are  diagrammed  and  in  English  -RRB- 
4_kitchen_pos_43	call 
4_kitchen_pos_44	only  for  a  Philips  screwdriver  . 
4_kitchen_pos_45	A  hex  wrench  is  included  for  the  18  hex  bolts  . 
4_kitchen_pos_46	I  used  an  electric  screwdriver  for  both  the  Philips  screws 
4_kitchen_pos_47	-LRB-  14  in  all  -RRB- 
4_kitchen_pos_48	and  the  hex  bolts 
4_kitchen_pos_49	-LRB- 
4_kitchen_pos_50	after  I  found 
4_kitchen_pos_51	the  right  sized  hex  tip  for  my  screwdriver  -RRB-  . 
4_kitchen_pos_52	I  can  happily  report 
4_kitchen_pos_53	that  all  pieces  fit  together  easily 
4_kitchen_pos_54	-LRB-  no  struggling  to  match  up  this  piece  with  that  piece  -RRB- 
4_kitchen_pos_55	and  all  holes  are  pre-drilled  . 
4_kitchen_pos_56	The  drawer  requires  assembly  also  . 
4_kitchen_pos_57	The  runners  for  the  drawer  are  already  attached  ! 
4_kitchen_pos_58	You  must  put  together  the  front  ,  sides  and  back  of  the  drawer  with  screws 
4_kitchen_pos_59	-LRB-  again  ,  all  holes  are  pre-drilled  -RRB-  . 
4_kitchen_pos_60	A  word  of  advice 
4_kitchen_pos_61	regarding 
4_kitchen_pos_62	assembling  the  drawer  : 
4_kitchen_pos_63	Follow  the  directions 
4_kitchen_pos_64	where  it  says 
4_kitchen_pos_65	to  put  the  screws  in  only  halfway 
4_kitchen_pos_66	before  trying  to  attach  the  bottom  of  the  drawer  . 
4_kitchen_pos_67	I  made  the  mistake  of  tightening  the  screws  too  much  and  had  trouble 
4_kitchen_pos_68	sliding  the  bottom  into  the  assembled  front  ,  back  and  sides  . 
4_kitchen_pos_69	It  's  a  snug  fit  . 
4_kitchen_pos_70	Once  I  loosened  the  screws  enough  ,  the  bottom  easily  popped  into  place 
4_kitchen_pos_71	and  I  was  able  to  sock  it  in  securely  by  tightening  the  screws  . 
4_kitchen_pos_72	I  have  only  one  other  thing 
4_kitchen_pos_73	to  mention  regarding  the  assembly  of  the  entire  cart  : 
4_kitchen_pos_74	Once  the  body  of  the  cart  is  assembled  and  the  unit  is  standing  upright  , 
4_kitchen_pos_75	you 
4_kitchen_pos_76	must  lift  the  butcher  block 
4_kitchen_pos_77	and  set  it  down  on  the  top  of  the  cart  . 
4_kitchen_pos_78	At  this  point  , 
4_kitchen_pos_79	you  have  already  placed  four  cam  lock  screws  on  the  top  of  the  cart 
4_kitchen_pos_80	and  they  `  re  pointing  upward  . 
4_kitchen_pos_81	These  screws  will  fit  into  four  pre-drilled  holes  on  the  bottom  of  the  butcher  block  . 
4_kitchen_pos_82	You  must  align  the  screws  on  the  cart  with  the  holes  on  the  butcher  block  as  you  place  the  butcher  block  on  top  of  the  cart  . 
4_kitchen_pos_83	Because  the  butcher  block  is  so  heavy  , 
