18_kitchen_neg_1	18_kitchen_neg_0
18_kitchen_neg_2	18_kitchen_neg_1
18_kitchen_neg_3	18_kitchen_neg_2
18_kitchen_neg_4	18_kitchen_neg_3
18_kitchen_neg_5	18_kitchen_neg_4
18_kitchen_neg_6	18_kitchen_neg_5
18_kitchen_neg_7	18_kitchen_neg_6
18_kitchen_neg_8	18_kitchen_neg_7
18_kitchen_neg_9	18_kitchen_neg_8
18_kitchen_neg_10	18_kitchen_neg_9
18_kitchen_neg_11	18_kitchen_neg_10
18_kitchen_neg_12	18_kitchen_neg_11
18_kitchen_neg_13	18_kitchen_neg_12
18_kitchen_neg_14	18_kitchen_neg_13
18_kitchen_neg_15	18_kitchen_neg_14
18_kitchen_neg_16	18_kitchen_neg_15
18_kitchen_neg_17	18_kitchen_neg_16
18_kitchen_neg_18	18_kitchen_neg_17
18_kitchen_neg_19	18_kitchen_neg_18
18_kitchen_neg_20	18_kitchen_neg_19
18_kitchen_neg_21	18_kitchen_neg_20
18_kitchen_neg_22	18_kitchen_neg_21
18_kitchen_neg_23	18_kitchen_neg_22
18_kitchen_neg_24	18_kitchen_neg_23
18_kitchen_neg_25	18_kitchen_neg_24
18_kitchen_neg_26	18_kitchen_neg_25
18_kitchen_neg_27	18_kitchen_neg_26
18_kitchen_neg_28	18_kitchen_neg_27
18_kitchen_neg_29	18_kitchen_neg_28
18_kitchen_neg_30	18_kitchen_neg_29
18_kitchen_neg_31	18_kitchen_neg_30
18_kitchen_neg_32	18_kitchen_neg_31
18_kitchen_neg_33	18_kitchen_neg_32
18_kitchen_neg_34	18_kitchen_neg_33
18_kitchen_neg_35	18_kitchen_neg_34
18_kitchen_neg_36	18_kitchen_neg_35
18_kitchen_neg_37	18_kitchen_neg_36
18_kitchen_neg_38	18_kitchen_neg_37
18_kitchen_neg_39	18_kitchen_neg_38
18_kitchen_neg_40	18_kitchen_neg_39
18_kitchen_neg_41	18_kitchen_neg_40
18_kitchen_neg_42	18_kitchen_neg_41
18_kitchen_neg_43	18_kitchen_neg_42
18_kitchen_neg_44	18_kitchen_neg_43
18_kitchen_neg_45	18_kitchen_neg_44
18_kitchen_neg_46	18_kitchen_neg_45
18_kitchen_neg_47	18_kitchen_neg_46
18_kitchen_neg_48	18_kitchen_neg_47
18_kitchen_neg_49	18_kitchen_neg_48
18_kitchen_neg_50	18_kitchen_neg_49
18_kitchen_neg_51	18_kitchen_neg_50
18_kitchen_neg_52	18_kitchen_neg_51
18_kitchen_neg_53	18_kitchen_neg_52
18_kitchen_neg_54	18_kitchen_neg_53
