PhraseIDs	Polarity
14_cell_neg_1	positive
14_cell_neg_2	positive
14_cell_neg_3	positive
14_cell_neg_4	negative
14_cell_neg_5	negative
14_cell_neg_6	negative
14_cell_neg_7	negative
14_cell_neg_8	negative
14_cell_neg_9	negative
14_cell_neg_10	negative
14_cell_neg_11	negative
14_cell_neg_12	negative
14_cell_neg_13	negative
14_cell_neg_14	negative
14_cell_neg_15	negative
14_cell_neg_16	negative
14_cell_neg_17	positive
14_cell_neg_18	positive
14_cell_neg_19	negative
14_cell_neg_20	negative
14_cell_neg_21	negative
14_cell_neg_22	negative
14_cell_neg_23	negative
14_cell_neg_24	negative
14_cell_neg_25	negative
14_cell_neg_26	negative
14_cell_neg_27	negative
14_cell_neg_28	negative
14_cell_neg_29	negative
14_cell_neg_30	negative
14_cell_neg_31	negative
14_cell_neg_32	negative
14_cell_neg_33	negative
14_cell_neg_34	negative
14_cell_neg_35	negative
14_cell_neg_36	negative
14_cell_neg_37	negative
14_cell_neg_38	negative
14_cell_neg_39	negative
14_cell_neg_40	positive
14_cell_neg_41	positive
14_cell_neg_42	positive
14_cell_neg_43	negative
14_cell_neg_44	negative
14_cell_neg_45	negative
14_cell_neg_46	negative
14_cell_neg_47	negative
14_cell_neg_48	negative
14_cell_neg_49	negative
4_cell_neg_1	negative
4_cell_neg_2	negative
4_cell_neg_3	negative
4_cell_neg_4	negative
4_cell_neg_5	negative
4_cell_neg_6	negative
4_cell_neg_7	negative
4_cell_neg_8	negative
4_cell_neg_9	negative
4_cell_neg_10	negative
4_cell_neg_11	negative
4_cell_neg_12	negative
4_cell_neg_13	negative
4_cell_neg_14	negative
4_cell_neg_15	negative
4_cell_neg_16	negative
4_cell_neg_17	negative
4_cell_neg_18	negative
4_cell_neg_19	negative
4_cell_neg_20	negative
4_cell_neg_21	negative
4_cell_neg_22	negative
4_cell_neg_23	negative
4_cell_neg_24	negative
4_cell_neg_25	negative
4_cell_neg_26	negative
4_cell_neg_27	negative
4_cell_neg_28	negative
4_cell_neg_29	negative
4_cell_neg_30	negative
4_cell_neg_31	negative
4_cell_neg_32	negative
4_cell_neg_33	negative
4_cell_neg_34	negative
4_cell_neg_35	negative
4_cell_neg_36	negative
4_cell_neg_37	negative
4_cell_neg_38	negative
4_cell_neg_39	negative
4_cell_neg_40	negative
4_cell_neg_41	negative
4_cell_neg_42	negative
4_cell_neg_43	negative
4_cell_neg_44	negative
4_cell_neg_45	negative
4_cell_neg_46	negative
4_cell_neg_47	negative
4_cell_neg_48	negative
4_cell_neg_49	negative
4_cell_neg_50	negative
4_cell_neg_51	negative
4_cell_neg_52	negative
4_cell_neg_53	positive
4_cell_neg_54	negative
4_cell_neg_55	negative
4_cell_neg_56	negative
4_cell_neg_57	negative
4_cell_neg_58	negative
4_cell_neg_59	negative
4_cell_neg_60	negative
4_cell_neg_61	negative
4_cell_neg_62	negative
4_cell_neg_63	negative
4_cell_neg_64	negative
4_cell_neg_65	positive
4_cell_neg_66	negative
4_cell_neg_67	negative
3_cell_pos_1	positive
3_cell_pos_2	negative
3_cell_pos_3	negative
3_cell_pos_4	negative
3_cell_pos_5	negative
3_cell_pos_6	negative
3_cell_pos_7	negative
3_cell_pos_8	negative
3_cell_pos_9	negative
3_cell_pos_10	negative
3_cell_pos_11	negative
3_cell_pos_12	negative
3_cell_pos_13	negative
3_cell_pos_14	negative
3_cell_pos_15	negative
3_cell_pos_16	negative
3_cell_pos_17	negative
3_cell_pos_18	negative
3_cell_pos_19	negative
3_cell_pos_20	negative
3_cell_pos_21	negative
3_cell_pos_22	negative
3_cell_pos_23	negative
3_cell_pos_24	negative
3_cell_pos_25	negative
3_cell_pos_26	negative
3_cell_pos_27	negative
3_cell_pos_28	negative
3_cell_pos_29	negative
3_cell_pos_30	negative
3_cell_pos_31	negative
3_cell_pos_32	positive
3_cell_pos_33	positive
3_cell_pos_34	positive
3_cell_pos_35	positive
3_cell_pos_36	negative
3_cell_pos_37	negative
3_cell_pos_38	negative
3_cell_pos_39	negative
3_cell_pos_40	positive
3_cell_pos_41	positive
3_cell_pos_42	positive
3_cell_pos_43	positive
3_cell_pos_44	positive
3_cell_pos_45	negative
3_cell_pos_46	negative
3_cell_pos_47	positive
3_cell_pos_48	negative
3_cell_pos_49	negative
3_cell_pos_50	negative
3_cell_pos_51	negative
3_cell_pos_52	negative
3_cell_pos_53	negative
3_cell_pos_54	negative
3_cell_pos_55	negative
3_cell_pos_56	negative
3_cell_pos_57	negative
3_cell_pos_58	negative
3_cell_pos_59	negative
3_cell_pos_60	negative
3_cell_pos_61	negative
3_cell_pos_62	negative
3_cell_pos_63	positive
3_cell_pos_64	positive
3_cell_pos_65	positive
3_cell_pos_66	positive
3_cell_pos_67	positive
3_cell_pos_68	positive
3_cell_pos_69	positive
3_cell_pos_70	positive
3_cell_pos_71	positive
3_cell_pos_72	positive
3_cell_pos_73	positive
3_cell_pos_74	positive
3_cell_pos_75	positive
3_cell_pos_76	positive
3_cell_pos_77	positive
3_cell_pos_78	positive
3_cell_pos_79	positive
3_cell_pos_80	negative
3_cell_pos_81	positive
3_cell_pos_82	positive
3_cell_pos_83	positive
3_cell_pos_84	positive
3_cell_pos_85	positive
3_cell_pos_86	positive
3_cell_pos_87	positive
3_cell_pos_88	positive
3_cell_pos_89	positive
3_cell_pos_90	positive
3_cell_pos_91	positive
3_cell_pos_92	positive
3_cell_pos_93	positive
3_cell_pos_94	negative
3_cell_pos_95	negative
3_cell_pos_96	negative
3_cell_pos_97	negative
3_cell_pos_98	negative
3_cell_pos_99	negative
3_cell_pos_100	negative
3_cell_pos_101	negative
3_cell_pos_102	negative
3_cell_pos_103	negative
3_cell_pos_104	negative
3_cell_pos_105	negative
3_cell_pos_106	negative
3_cell_pos_107	negative
3_cell_pos_108	negative
3_cell_pos_109	negative
3_cell_pos_110	negative
3_cell_pos_111	negative
3_cell_pos_112	negative
3_cell_pos_113	negative
3_cell_pos_114	negative
3_cell_pos_115	negative
3_cell_pos_116	negative
3_cell_pos_117	negative
3_cell_pos_118	negative
3_cell_pos_119	negative
8_cell_pos_1	positive
8_cell_pos_2	positive
8_cell_pos_3	positive
8_cell_pos_4	positive
