18_cell_neg_5	18_cell_neg_6
18_cell_neg_6	18_cell_neg_7
18_cell_neg_7	18_cell_neg_8
18_cell_neg_8	18_cell_neg_9
18_cell_neg_9	18_cell_neg_10
18_cell_neg_13	18_cell_neg_14
18_cell_neg_14	18_cell_neg_15
18_cell_neg_15	18_cell_neg_16
18_cell_neg_16	18_cell_neg_17
18_cell_neg_17	18_cell_neg_18
18_cell_neg_18	18_cell_neg_19
18_cell_neg_34	18_cell_neg_35
18_cell_neg_35	18_cell_neg_36
18_cell_neg_36	18_cell_neg_37
18_cell_neg_37	18_cell_neg_38
18_cell_neg_38	18_cell_neg_39
20_cell_neg_6	20_cell_neg_7
20_cell_neg_7	20_cell_neg_8
20_cell_neg_8	20_cell_neg_9
20_cell_neg_9	20_cell_neg_10
20_cell_neg_10	20_cell_neg_11
20_cell_neg_11	20_cell_neg_12
20_cell_neg_12	20_cell_neg_13
20_cell_neg_13	20_cell_neg_14
20_cell_neg_14	20_cell_neg_15
20_cell_neg_15	20_cell_neg_16
20_cell_neg_16	20_cell_neg_17
20_cell_neg_17	20_cell_neg_18
20_cell_neg_18	20_cell_neg_19
20_cell_neg_19	20_cell_neg_20
20_cell_neg_20	20_cell_neg_21
20_cell_neg_24	20_cell_neg_25
20_cell_neg_25	20_cell_neg_26
20_cell_neg_26	20_cell_neg_27
20_cell_neg_27	20_cell_neg_28
20_cell_neg_28	20_cell_neg_29
20_cell_neg_29	20_cell_neg_30
20_cell_neg_30	20_cell_neg_31
20_cell_neg_31	20_cell_neg_32
20_cell_neg_32	20_cell_neg_33
20_cell_neg_33	20_cell_neg_34
20_cell_neg_34	20_cell_neg_35
4_cell_pos_3	4_cell_pos_4
4_cell_pos_4	4_cell_pos_5
4_cell_pos_30	4_cell_pos_31
4_cell_pos_31	4_cell_pos_32
4_cell_pos_32	4_cell_pos_33
4_cell_pos_33	4_cell_pos_34
4_cell_pos_34	4_cell_pos_35
4_cell_pos_35	4_cell_pos_36
4_cell_pos_36	4_cell_pos_37
4_cell_pos_37	4_cell_pos_38
4_cell_pos_38	4_cell_pos_39
4_cell_pos_39	4_cell_pos_40
4_cell_pos_40	4_cell_pos_41
4_cell_pos_41	4_cell_pos_42
4_cell_pos_42	4_cell_pos_43
4_cell_pos_43	4_cell_pos_44
4_cell_pos_44	4_cell_pos_45
4_cell_pos_45	4_cell_pos_46
4_cell_pos_46	4_cell_pos_47
4_cell_pos_47	4_cell_pos_48
4_cell_pos_48	4_cell_pos_49
4_cell_pos_60	4_cell_pos_61
4_cell_pos_61	4_cell_pos_62
4_cell_pos_66	4_cell_pos_67
4_cell_pos_67	4_cell_pos_68
4_cell_pos_68	4_cell_pos_69
4_cell_pos_69	4_cell_pos_70
4_cell_pos_70	4_cell_pos_71
4_cell_pos_71	4_cell_pos_72
4_cell_pos_72	4_cell_pos_73
4_cell_pos_73	4_cell_pos_74
4_cell_pos_74	4_cell_pos_75
4_cell_pos_75	4_cell_pos_76
4_cell_pos_76	4_cell_pos_77
4_cell_pos_77	4_cell_pos_78
4_cell_pos_78	4_cell_pos_79
4_cell_pos_79	4_cell_pos_80
4_cell_pos_80	4_cell_pos_81
4_cell_pos_81	4_cell_pos_82
4_cell_pos_82	4_cell_pos_83
4_cell_pos_83	4_cell_pos_84
4_cell_pos_84	4_cell_pos_85
4_cell_pos_85	4_cell_pos_86
4_cell_pos_86	4_cell_pos_87
4_cell_pos_87	4_cell_pos_88
4_cell_pos_88	4_cell_pos_89
4_cell_pos_89	4_cell_pos_90
4_cell_pos_90	4_cell_pos_91
4_cell_pos_91	4_cell_pos_92
4_cell_pos_92	4_cell_pos_93
4_cell_pos_107	4_cell_pos_108
4_cell_pos_108	4_cell_pos_109
4_cell_pos_109	4_cell_pos_110
4_cell_pos_110	4_cell_pos_111
5_cell_pos_1	5_cell_pos_2
5_cell_pos_2	5_cell_pos_3
5_cell_pos_3	5_cell_pos_4
5_cell_pos_4	5_cell_pos_5
5_cell_pos_20	5_cell_pos_21
5_cell_pos_21	5_cell_pos_22
5_cell_pos_22	5_cell_pos_23
5_cell_pos_23	5_cell_pos_24
5_cell_pos_24	5_cell_pos_25
5_cell_pos_25	5_cell_pos_26
5_cell_pos_26	5_cell_pos_27
5_cell_pos_27	5_cell_pos_28
5_cell_pos_28	5_cell_pos_29
5_cell_pos_29	5_cell_pos_30
5_cell_pos_30	5_cell_pos_31
5_cell_pos_31	5_cell_pos_32
5_cell_pos_32	5_cell_pos_33
5_cell_pos_33	5_cell_pos_34
5_cell_pos_34	5_cell_pos_35
5_cell_pos_35	5_cell_pos_36
5_cell_pos_36	5_cell_pos_37
5_cell_pos_37	5_cell_pos_38
5_cell_pos_38	5_cell_pos_39
5_cell_pos_39	5_cell_pos_40
5_cell_pos_40	5_cell_pos_41
5_cell_pos_41	5_cell_pos_42
5_cell_pos_56	5_cell_pos_57
5_cell_pos_57	5_cell_pos_58
5_cell_pos_62	5_cell_pos_63
5_cell_pos_67	5_cell_pos_68
5_cell_pos_68	5_cell_pos_69
5_cell_pos_72	5_cell_pos_73
5_cell_pos_75	5_cell_pos_76
5_cell_pos_76	5_cell_pos_77
5_cell_pos_77	5_cell_pos_78
5_cell_pos_78	5_cell_pos_79
5_cell_pos_79	5_cell_pos_80
5_cell_pos_89	5_cell_pos_90
5_cell_pos_90	5_cell_pos_91
5_cell_pos_91	5_cell_pos_92
5_cell_pos_92	5_cell_pos_93
5_cell_pos_93	5_cell_pos_94
5_cell_pos_94	5_cell_pos_95
5_cell_pos_110	5_cell_pos_111
5_cell_pos_113	5_cell_pos_114
5_cell_pos_114	5_cell_pos_115
5_cell_pos_127	5_cell_pos_128
5_cell_pos_128	5_cell_pos_129
5_cell_pos_137	5_cell_pos_138
5_cell_pos_138	5_cell_pos_139
5_cell_pos_139	5_cell_pos_140
5_cell_pos_140	5_cell_pos_141
19_gourmet_neg_1	19_gourmet_neg_2
19_gourmet_neg_2	19_gourmet_neg_3
19_gourmet_neg_3	19_gourmet_neg_4
19_gourmet_neg_4	19_gourmet_neg_5
19_gourmet_neg_5	19_gourmet_neg_6
19_gourmet_neg_11	19_gourmet_neg_12
3_gourmet_neg_21	3_gourmet_neg_22
3_gourmet_neg_22	3_gourmet_neg_23
3_gourmet_neg_23	3_gourmet_neg_24
3_gourmet_neg_30	3_gourmet_neg_31
3_gourmet_neg_31	3_gourmet_neg_32
3_gourmet_neg_32	3_gourmet_neg_33
3_gourmet_neg_39	3_gourmet_neg_40
3_gourmet_neg_40	3_gourmet_neg_41
3_gourmet_neg_54	3_gourmet_neg_55
12_gourmet_pos_7	12_gourmet_pos_8
12_gourmet_pos_20	12_gourmet_pos_21
12_gourmet_pos_21	12_gourmet_pos_22
12_gourmet_pos_26	12_gourmet_pos_27
12_gourmet_pos_36	12_gourmet_pos_37
12_gourmet_pos_37	12_gourmet_pos_38
12_gourmet_pos_38	12_gourmet_pos_39
12_gourmet_pos_39	12_gourmet_pos_40
7_gourmet_pos_7	7_gourmet_pos_8
7_gourmet_pos_22	7_gourmet_pos_23
7_gourmet_pos_23	7_gourmet_pos_24
7_gourmet_pos_28	7_gourmet_pos_29
7_gourmet_pos_38	7_gourmet_pos_39
7_gourmet_pos_39	7_gourmet_pos_40
7_gourmet_pos_40	7_gourmet_pos_41
7_gourmet_pos_41	7_gourmet_pos_42
12_kitchen_neg_1	12_kitchen_neg_2
12_kitchen_neg_9	12_kitchen_neg_10
12_kitchen_neg_26	12_kitchen_neg_27
12_kitchen_neg_27	12_kitchen_neg_28
12_kitchen_neg_28	12_kitchen_neg_29
12_kitchen_neg_29	12_kitchen_neg_30
12_kitchen_neg_30	12_kitchen_neg_31
12_kitchen_neg_31	12_kitchen_neg_32
12_kitchen_neg_32	12_kitchen_neg_33
12_kitchen_neg_33	12_kitchen_neg_34
12_kitchen_neg_34	12_kitchen_neg_35
12_kitchen_neg_35	12_kitchen_neg_36
12_kitchen_neg_36	12_kitchen_neg_37
12_kitchen_neg_37	12_kitchen_neg_38
12_kitchen_neg_38	12_kitchen_neg_39
7_kitchen_neg_11	7_kitchen_neg_12
