4_kitchen_pos_1	4_kitchen_pos_0
4_kitchen_pos_2	4_kitchen_pos_1
4_kitchen_pos_3	4_kitchen_pos_2
4_kitchen_pos_4	4_kitchen_pos_3
4_kitchen_pos_5	4_kitchen_pos_4
4_kitchen_pos_6	4_kitchen_pos_5
4_kitchen_pos_7	4_kitchen_pos_6
4_kitchen_pos_8	4_kitchen_pos_7
4_kitchen_pos_9	4_kitchen_pos_8
4_kitchen_pos_10	4_kitchen_pos_9
4_kitchen_pos_11	4_kitchen_pos_10
4_kitchen_pos_12	4_kitchen_pos_11
4_kitchen_pos_13	4_kitchen_pos_12
4_kitchen_pos_14	4_kitchen_pos_13
4_kitchen_pos_15	4_kitchen_pos_14
4_kitchen_pos_16	4_kitchen_pos_15
4_kitchen_pos_17	4_kitchen_pos_16
4_kitchen_pos_18	4_kitchen_pos_17
4_kitchen_pos_19	4_kitchen_pos_18
4_kitchen_pos_20	4_kitchen_pos_19
4_kitchen_pos_21	4_kitchen_pos_20
4_kitchen_pos_22	4_kitchen_pos_21
4_kitchen_pos_23	4_kitchen_pos_22
4_kitchen_pos_24	4_kitchen_pos_23
4_kitchen_pos_25	4_kitchen_pos_24
4_kitchen_pos_26	4_kitchen_pos_25
4_kitchen_pos_27	4_kitchen_pos_26
4_kitchen_pos_28	4_kitchen_pos_27
4_kitchen_pos_29	4_kitchen_pos_28
4_kitchen_pos_30	4_kitchen_pos_29
4_kitchen_pos_31	4_kitchen_pos_30
4_kitchen_pos_32	4_kitchen_pos_31
4_kitchen_pos_33	4_kitchen_pos_32
4_kitchen_pos_34	4_kitchen_pos_33
4_kitchen_pos_35	4_kitchen_pos_34
4_kitchen_pos_36	4_kitchen_pos_35
4_kitchen_pos_37	4_kitchen_pos_36
4_kitchen_pos_38	4_kitchen_pos_37
4_kitchen_pos_39	4_kitchen_pos_38
4_kitchen_pos_40	4_kitchen_pos_39
4_kitchen_pos_41	4_kitchen_pos_40
4_kitchen_pos_42	4_kitchen_pos_41
4_kitchen_pos_43	4_kitchen_pos_42
4_kitchen_pos_44	4_kitchen_pos_43
4_kitchen_pos_45	4_kitchen_pos_44
4_kitchen_pos_46	4_kitchen_pos_45
4_kitchen_pos_47	4_kitchen_pos_46
4_kitchen_pos_48	4_kitchen_pos_47
4_kitchen_pos_49	4_kitchen_pos_48
4_kitchen_pos_50	4_kitchen_pos_49
4_kitchen_pos_51	4_kitchen_pos_50
4_kitchen_pos_52	4_kitchen_pos_51
4_kitchen_pos_53	4_kitchen_pos_52
4_kitchen_pos_54	4_kitchen_pos_53
4_kitchen_pos_55	4_kitchen_pos_54
4_kitchen_pos_56	4_kitchen_pos_55
4_kitchen_pos_57	4_kitchen_pos_56
4_kitchen_pos_58	4_kitchen_pos_57
4_kitchen_pos_59	4_kitchen_pos_58
4_kitchen_pos_60	4_kitchen_pos_59
4_kitchen_pos_61	4_kitchen_pos_60
4_kitchen_pos_62	4_kitchen_pos_61
4_kitchen_pos_63	4_kitchen_pos_62
4_kitchen_pos_64	4_kitchen_pos_63
4_kitchen_pos_65	4_kitchen_pos_64
4_kitchen_pos_66	4_kitchen_pos_65
4_kitchen_pos_67	4_kitchen_pos_66
4_kitchen_pos_68	4_kitchen_pos_67
4_kitchen_pos_69	4_kitchen_pos_68
4_kitchen_pos_70	4_kitchen_pos_69
4_kitchen_pos_71	4_kitchen_pos_70
4_kitchen_pos_72	4_kitchen_pos_71
4_kitchen_pos_73	4_kitchen_pos_72
4_kitchen_pos_74	4_kitchen_pos_73
4_kitchen_pos_75	4_kitchen_pos_74
4_kitchen_pos_76	4_kitchen_pos_75
4_kitchen_pos_77	4_kitchen_pos_76
4_kitchen_pos_78	4_kitchen_pos_77
4_kitchen_pos_79	4_kitchen_pos_78
4_kitchen_pos_80	4_kitchen_pos_79
4_kitchen_pos_81	4_kitchen_pos_80
4_kitchen_pos_82	4_kitchen_pos_81
4_kitchen_pos_83	4_kitchen_pos_82
4_kitchen_pos_84	4_kitchen_pos_83
4_kitchen_pos_85	4_kitchen_pos_84
4_kitchen_pos_86	4_kitchen_pos_85
4_kitchen_pos_87	4_kitchen_pos_86
4_kitchen_pos_88	4_kitchen_pos_87
4_kitchen_pos_89	4_kitchen_pos_88
