19_gourmet_pos_1	19_gourmet_pos_2
19_gourmet_pos_2	19_gourmet_pos_3
19_gourmet_pos_3	19_gourmet_pos_4
19_gourmet_pos_4	19_gourmet_pos_5
19_gourmet_pos_5	19_gourmet_pos_6
19_gourmet_pos_6	19_gourmet_pos_7
19_gourmet_pos_7	19_gourmet_pos_8
19_gourmet_pos_8	19_gourmet_pos_9
19_gourmet_pos_9	19_gourmet_pos_10
19_gourmet_pos_10	19_gourmet_pos_11
19_gourmet_pos_11	19_gourmet_pos_12
19_gourmet_pos_12	19_gourmet_pos_13
19_gourmet_pos_13	19_gourmet_pos_14
19_gourmet_pos_14	19_gourmet_pos_15
19_gourmet_pos_15	19_gourmet_pos_16
19_gourmet_pos_16	19_gourmet_pos_17
19_gourmet_pos_17	19_gourmet_pos_18
19_gourmet_pos_18	19_gourmet_pos_19
19_gourmet_pos_19	19_gourmet_pos_20
19_gourmet_pos_20	19_gourmet_pos_21
19_gourmet_pos_21	19_gourmet_pos_22
19_gourmet_pos_22	19_gourmet_pos_23
19_gourmet_pos_23	19_gourmet_pos_24
19_gourmet_pos_24	19_gourmet_pos_25
19_gourmet_pos_25	19_gourmet_pos_26
19_gourmet_pos_26	19_gourmet_pos_27
19_gourmet_pos_27	19_gourmet_pos_28
19_gourmet_pos_28	19_gourmet_pos_29
19_gourmet_pos_29	19_gourmet_pos_30
19_gourmet_pos_30	19_gourmet_pos_31
19_gourmet_pos_31	19_gourmet_pos_32
19_gourmet_pos_32	19_gourmet_pos_33
19_gourmet_pos_33	19_gourmet_pos_34
19_gourmet_pos_34	19_gourmet_pos_35
19_gourmet_pos_35	19_gourmet_pos_36
19_gourmet_pos_36	19_gourmet_pos_37
19_gourmet_pos_37	19_gourmet_pos_38
19_gourmet_pos_38	19_gourmet_pos_39
19_gourmet_pos_39	19_gourmet_pos_40
19_gourmet_pos_40	19_gourmet_pos_41
