8_kitchen_pos_1	8_kitchen_pos_2
8_kitchen_pos_2	8_kitchen_pos_3
8_kitchen_pos_3	8_kitchen_pos_4
8_kitchen_pos_4	8_kitchen_pos_5
8_kitchen_pos_5	8_kitchen_pos_6
8_kitchen_pos_6	8_kitchen_pos_7
8_kitchen_pos_7	8_kitchen_pos_8
8_kitchen_pos_8	8_kitchen_pos_9
8_kitchen_pos_9	8_kitchen_pos_10
8_kitchen_pos_10	8_kitchen_pos_11
8_kitchen_pos_11	8_kitchen_pos_12
8_kitchen_pos_12	8_kitchen_pos_13
8_kitchen_pos_13	8_kitchen_pos_14
8_kitchen_pos_14	8_kitchen_pos_15
8_kitchen_pos_15	8_kitchen_pos_16
8_kitchen_pos_16	8_kitchen_pos_17
8_kitchen_pos_17	8_kitchen_pos_18
8_kitchen_pos_18	8_kitchen_pos_19
8_kitchen_pos_19	8_kitchen_pos_20
8_kitchen_pos_20	8_kitchen_pos_21
8_kitchen_pos_21	8_kitchen_pos_22
8_kitchen_pos_22	8_kitchen_pos_23
8_kitchen_pos_23	8_kitchen_pos_24
8_kitchen_pos_24	8_kitchen_pos_25
8_kitchen_pos_25	8_kitchen_pos_26
8_kitchen_pos_26	8_kitchen_pos_27
8_kitchen_pos_27	8_kitchen_pos_28
8_kitchen_pos_28	8_kitchen_pos_29
8_kitchen_pos_29	8_kitchen_pos_30
8_kitchen_pos_30	8_kitchen_pos_31
8_kitchen_pos_31	8_kitchen_pos_32
8_kitchen_pos_32	8_kitchen_pos_33
8_kitchen_pos_33	8_kitchen_pos_34
8_kitchen_pos_34	8_kitchen_pos_35
8_kitchen_pos_35	8_kitchen_pos_36
8_kitchen_pos_36	8_kitchen_pos_37
8_kitchen_pos_37	8_kitchen_pos_38
8_kitchen_pos_38	8_kitchen_pos_39
8_kitchen_pos_39	8_kitchen_pos_40
8_kitchen_pos_40	8_kitchen_pos_41
8_kitchen_pos_41	8_kitchen_pos_42
8_kitchen_pos_42	8_kitchen_pos_43
8_kitchen_pos_43	8_kitchen_pos_44
8_kitchen_pos_44	8_kitchen_pos_45
8_kitchen_pos_45	8_kitchen_pos_46
8_kitchen_pos_46	8_kitchen_pos_47
8_kitchen_pos_47	8_kitchen_pos_48
8_kitchen_pos_48	8_kitchen_pos_49
8_kitchen_pos_49	8_kitchen_pos_50
8_kitchen_pos_50	8_kitchen_pos_51
8_kitchen_pos_51	8_kitchen_pos_52
8_kitchen_pos_52	8_kitchen_pos_53
8_kitchen_pos_53	8_kitchen_pos_54
8_kitchen_pos_54	8_kitchen_pos_55
8_kitchen_pos_55	8_kitchen_pos_56
8_kitchen_pos_56	8_kitchen_pos_57
8_kitchen_pos_57	8_kitchen_pos_58
8_kitchen_pos_58	8_kitchen_pos_59
8_kitchen_pos_59	8_kitchen_pos_60
8_kitchen_pos_60	8_kitchen_pos_61
8_kitchen_pos_61	8_kitchen_pos_62
8_kitchen_pos_62	8_kitchen_pos_63
8_kitchen_pos_63	8_kitchen_pos_64
8_kitchen_pos_64	8_kitchen_pos_65
8_kitchen_pos_65	8_kitchen_pos_66
8_kitchen_pos_66	8_kitchen_pos_67
8_kitchen_pos_67	8_kitchen_pos_68
8_kitchen_pos_68	8_kitchen_pos_69
8_kitchen_pos_69	8_kitchen_pos_70
8_kitchen_pos_70	8_kitchen_pos_71
8_kitchen_pos_71	8_kitchen_pos_72
