15_cell_neg_4	15_cell_neg_5
15_cell_neg_5	15_cell_neg_6
15_cell_neg_6	15_cell_neg_7
15_cell_neg_7	15_cell_neg_8
15_cell_neg_8	15_cell_neg_9
15_cell_neg_9	15_cell_neg_10
15_cell_neg_10	15_cell_neg_11
15_cell_neg_11	15_cell_neg_12
15_cell_neg_12	15_cell_neg_13
15_cell_neg_13	15_cell_neg_14
15_cell_neg_14	15_cell_neg_15
15_cell_neg_15	15_cell_neg_16
15_cell_neg_16	15_cell_neg_17
15_cell_neg_17	15_cell_neg_18
15_cell_neg_18	15_cell_neg_19
15_cell_neg_19	15_cell_neg_20
15_cell_neg_20	15_cell_neg_21
15_cell_neg_21	15_cell_neg_22
15_cell_neg_22	15_cell_neg_23
15_cell_neg_23	15_cell_neg_24
15_cell_neg_24	15_cell_neg_25
15_cell_neg_25	15_cell_neg_26
15_cell_neg_26	15_cell_neg_27
15_cell_neg_27	15_cell_neg_28
15_cell_neg_28	15_cell_neg_29
15_cell_neg_29	15_cell_neg_30
15_cell_neg_30	15_cell_neg_31
15_cell_neg_31	15_cell_neg_32
15_cell_neg_32	15_cell_neg_33
15_cell_neg_33	15_cell_neg_34
15_cell_neg_34	15_cell_neg_35
15_cell_neg_35	15_cell_neg_36
15_cell_neg_36	15_cell_neg_37
7_cell_neg_8	7_cell_neg_9
7_cell_neg_9	7_cell_neg_10
7_cell_neg_51	7_cell_neg_52
7_cell_neg_52	7_cell_neg_53
7_cell_neg_53	7_cell_neg_54
18_cell_pos_1	18_cell_pos_2
18_cell_pos_2	18_cell_pos_3
18_cell_pos_3	18_cell_pos_4
18_cell_pos_10	18_cell_pos_11
18_cell_pos_11	18_cell_pos_12
18_cell_pos_12	18_cell_pos_13
18_cell_pos_13	18_cell_pos_14
18_cell_pos_14	18_cell_pos_15
18_cell_pos_15	18_cell_pos_16
18_cell_pos_16	18_cell_pos_17
18_cell_pos_17	18_cell_pos_18
18_cell_pos_18	18_cell_pos_19
18_cell_pos_19	18_cell_pos_20
18_cell_pos_20	18_cell_pos_21
18_cell_pos_21	18_cell_pos_22
18_cell_pos_22	18_cell_pos_23
