11_kitchen_neg_1	11_kitchen_neg_0
11_kitchen_neg_2	11_kitchen_neg_1
11_kitchen_neg_3	11_kitchen_neg_2
11_kitchen_neg_4	11_kitchen_neg_3
11_kitchen_neg_5	11_kitchen_neg_4
11_kitchen_neg_6	11_kitchen_neg_5
11_kitchen_neg_7	11_kitchen_neg_6
11_kitchen_neg_8	11_kitchen_neg_7
11_kitchen_neg_9	11_kitchen_neg_8
11_kitchen_neg_10	11_kitchen_neg_9
11_kitchen_neg_11	11_kitchen_neg_10
11_kitchen_neg_12	11_kitchen_neg_11
11_kitchen_neg_13	11_kitchen_neg_12
11_kitchen_neg_14	11_kitchen_neg_13
11_kitchen_neg_15	11_kitchen_neg_14
11_kitchen_neg_16	11_kitchen_neg_15
11_kitchen_neg_17	11_kitchen_neg_16
11_kitchen_neg_18	11_kitchen_neg_17
11_kitchen_neg_19	11_kitchen_neg_18
11_kitchen_neg_20	11_kitchen_neg_19
11_kitchen_neg_21	11_kitchen_neg_20
11_kitchen_neg_22	11_kitchen_neg_21
11_kitchen_neg_23	11_kitchen_neg_22
11_kitchen_neg_24	11_kitchen_neg_23
11_kitchen_neg_25	11_kitchen_neg_24
11_kitchen_neg_26	11_kitchen_neg_25
11_kitchen_neg_27	11_kitchen_neg_26
11_kitchen_neg_28	11_kitchen_neg_27
11_kitchen_neg_29	11_kitchen_neg_28
11_kitchen_neg_30	11_kitchen_neg_29
11_kitchen_neg_31	11_kitchen_neg_30
11_kitchen_neg_32	11_kitchen_neg_31
11_kitchen_neg_33	11_kitchen_neg_32
11_kitchen_neg_34	11_kitchen_neg_33
11_kitchen_neg_35	11_kitchen_neg_34
11_kitchen_neg_36	11_kitchen_neg_35
11_kitchen_neg_37	11_kitchen_neg_36
11_kitchen_neg_38	11_kitchen_neg_37
11_kitchen_neg_39	11_kitchen_neg_38
11_kitchen_neg_40	11_kitchen_neg_39
11_kitchen_neg_41	11_kitchen_neg_40
11_kitchen_neg_42	11_kitchen_neg_41
11_kitchen_neg_43	11_kitchen_neg_42
11_kitchen_neg_44	11_kitchen_neg_43
11_kitchen_neg_45	11_kitchen_neg_44
11_kitchen_neg_46	11_kitchen_neg_45
11_kitchen_neg_47	11_kitchen_neg_46
11_kitchen_neg_48	11_kitchen_neg_47
11_kitchen_neg_49	11_kitchen_neg_48
11_kitchen_neg_50	11_kitchen_neg_49
