8_cell_neg_1	8_cell_neg_0
8_cell_neg_2	8_cell_neg_1
8_cell_neg_3	8_cell_neg_2
8_cell_neg_4	8_cell_neg_3
8_cell_neg_5	8_cell_neg_4
8_cell_neg_6	8_cell_neg_5
8_cell_neg_7	8_cell_neg_6
8_cell_neg_8	8_cell_neg_7
8_cell_neg_9	8_cell_neg_8
8_cell_neg_10	8_cell_neg_9
8_cell_neg_11	8_cell_neg_10
8_cell_neg_12	8_cell_neg_11
8_cell_neg_13	8_cell_neg_12
8_cell_neg_14	8_cell_neg_13
8_cell_neg_15	8_cell_neg_14
8_cell_neg_16	8_cell_neg_15
8_cell_neg_17	8_cell_neg_16
8_cell_neg_18	8_cell_neg_17
8_cell_neg_19	8_cell_neg_18
8_cell_neg_20	8_cell_neg_19
8_cell_neg_21	8_cell_neg_20
8_cell_neg_22	8_cell_neg_21
8_cell_neg_23	8_cell_neg_22
8_cell_neg_24	8_cell_neg_23
8_cell_neg_25	8_cell_neg_24
8_cell_neg_26	8_cell_neg_25
8_cell_neg_27	8_cell_neg_26
8_cell_neg_28	8_cell_neg_27
8_cell_neg_29	8_cell_neg_28
8_cell_neg_30	8_cell_neg_29
8_cell_neg_31	8_cell_neg_30
8_cell_neg_32	8_cell_neg_31
8_cell_neg_33	8_cell_neg_32
8_cell_neg_34	8_cell_neg_33
8_cell_neg_35	8_cell_neg_34
8_cell_neg_36	8_cell_neg_35
8_cell_neg_37	8_cell_neg_36
8_cell_neg_38	8_cell_neg_37
8_cell_neg_39	8_cell_neg_38
8_cell_neg_40	8_cell_neg_39
8_cell_neg_41	8_cell_neg_40
8_cell_neg_42	8_cell_neg_41
8_cell_neg_43	8_cell_neg_42
8_cell_neg_44	8_cell_neg_43
8_cell_neg_45	8_cell_neg_44
8_cell_neg_46	8_cell_neg_45
8_cell_neg_47	8_cell_neg_46
8_cell_neg_48	8_cell_neg_47
8_cell_neg_49	8_cell_neg_48
8_cell_neg_50	8_cell_neg_49
8_cell_neg_51	8_cell_neg_50
8_cell_neg_52	8_cell_neg_51
8_cell_neg_53	8_cell_neg_52
8_cell_neg_54	8_cell_neg_53
