16_cell_neg_1	16_cell_neg_0
16_cell_neg_2	16_cell_neg_1
16_cell_neg_3	16_cell_neg_2
16_cell_neg_4	16_cell_neg_3
16_cell_neg_5	16_cell_neg_4
16_cell_neg_6	16_cell_neg_5
16_cell_neg_7	16_cell_neg_6
16_cell_neg_8	16_cell_neg_7
16_cell_neg_9	16_cell_neg_8
16_cell_neg_10	16_cell_neg_9
16_cell_neg_11	16_cell_neg_10
16_cell_neg_12	16_cell_neg_11
16_cell_neg_13	16_cell_neg_12
16_cell_neg_14	16_cell_neg_13
16_cell_neg_15	16_cell_neg_14
16_cell_neg_16	16_cell_neg_15
16_cell_neg_17	16_cell_neg_16
16_cell_neg_18	16_cell_neg_17
16_cell_neg_19	16_cell_neg_18
16_cell_neg_20	16_cell_neg_19
16_cell_neg_21	16_cell_neg_20
16_cell_neg_22	16_cell_neg_21
16_cell_neg_23	16_cell_neg_22
16_cell_neg_24	16_cell_neg_23
16_cell_neg_25	16_cell_neg_24
16_cell_neg_26	16_cell_neg_25
16_cell_neg_27	16_cell_neg_26
16_cell_neg_28	16_cell_neg_27
16_cell_neg_29	16_cell_neg_28
16_cell_neg_30	16_cell_neg_29
16_cell_neg_31	16_cell_neg_30
16_cell_neg_32	16_cell_neg_31
16_cell_neg_33	16_cell_neg_32
16_cell_neg_34	16_cell_neg_33
16_cell_neg_35	16_cell_neg_34
16_cell_neg_36	16_cell_neg_35
16_cell_neg_37	16_cell_neg_36
16_cell_neg_38	16_cell_neg_37
16_cell_neg_39	16_cell_neg_38
16_cell_neg_40	16_cell_neg_39
16_cell_neg_41	16_cell_neg_40
