6_cell_neg_1	6_cell_neg_0
6_cell_neg_2	6_cell_neg_1
6_cell_neg_3	6_cell_neg_2
6_cell_neg_4	6_cell_neg_3
6_cell_neg_5	6_cell_neg_4
6_cell_neg_6	6_cell_neg_5
6_cell_neg_7	6_cell_neg_6
6_cell_neg_8	6_cell_neg_7
6_cell_neg_9	6_cell_neg_8
6_cell_neg_10	6_cell_neg_9
6_cell_neg_11	6_cell_neg_10
6_cell_neg_12	6_cell_neg_11
6_cell_neg_13	6_cell_neg_12
6_cell_neg_14	6_cell_neg_13
6_cell_neg_15	6_cell_neg_14
6_cell_neg_16	6_cell_neg_15
6_cell_neg_17	6_cell_neg_16
6_cell_neg_18	6_cell_neg_17
6_cell_neg_19	6_cell_neg_18
6_cell_neg_20	6_cell_neg_19
6_cell_neg_21	6_cell_neg_20
6_cell_neg_22	6_cell_neg_21
6_cell_neg_23	6_cell_neg_22
6_cell_neg_24	6_cell_neg_23
6_cell_neg_25	6_cell_neg_24
6_cell_neg_26	6_cell_neg_25
6_cell_neg_27	6_cell_neg_26
6_cell_neg_28	6_cell_neg_27
6_cell_neg_29	6_cell_neg_28
6_cell_neg_30	6_cell_neg_29
6_cell_neg_31	6_cell_neg_30
6_cell_neg_32	6_cell_neg_31
6_cell_neg_33	6_cell_neg_32
6_cell_neg_34	6_cell_neg_33
6_cell_neg_35	6_cell_neg_34
6_cell_neg_36	6_cell_neg_35
6_cell_neg_37	6_cell_neg_36
6_cell_neg_38	6_cell_neg_37
6_cell_neg_39	6_cell_neg_38
6_cell_neg_40	6_cell_neg_39
6_cell_neg_41	6_cell_neg_40
6_cell_neg_42	6_cell_neg_41
6_cell_neg_43	6_cell_neg_42
6_cell_neg_44	6_cell_neg_43
6_cell_neg_45	6_cell_neg_44
6_cell_neg_46	6_cell_neg_45
6_cell_neg_47	6_cell_neg_46
6_cell_neg_48	6_cell_neg_47
6_cell_neg_49	6_cell_neg_48
6_cell_neg_50	6_cell_neg_49
6_cell_neg_51	6_cell_neg_50
6_cell_neg_52	6_cell_neg_51
6_cell_neg_53	6_cell_neg_52
6_cell_neg_54	6_cell_neg_53
6_cell_neg_55	6_cell_neg_54
6_cell_neg_56	6_cell_neg_55
6_cell_neg_57	6_cell_neg_56
6_cell_neg_58	6_cell_neg_57
6_cell_neg_59	6_cell_neg_58
6_cell_neg_60	6_cell_neg_59
6_cell_neg_61	6_cell_neg_60
6_cell_neg_62	6_cell_neg_61
6_cell_neg_63	6_cell_neg_62
6_cell_neg_64	6_cell_neg_63
6_cell_neg_65	6_cell_neg_64
6_cell_neg_66	6_cell_neg_65
6_cell_neg_67	6_cell_neg_66
6_cell_neg_68	6_cell_neg_67
6_cell_neg_69	6_cell_neg_68
6_cell_neg_70	6_cell_neg_69
6_cell_neg_71	6_cell_neg_70
6_cell_neg_72	6_cell_neg_71
6_cell_neg_73	6_cell_neg_72
