19_kitchen_pos_1	19_kitchen_pos_2
19_kitchen_pos_2	19_kitchen_pos_3
19_kitchen_pos_3	19_kitchen_pos_4
19_kitchen_pos_4	19_kitchen_pos_5
19_kitchen_pos_5	19_kitchen_pos_6
19_kitchen_pos_6	19_kitchen_pos_7
19_kitchen_pos_7	19_kitchen_pos_8
19_kitchen_pos_8	19_kitchen_pos_9
19_kitchen_pos_9	19_kitchen_pos_10
19_kitchen_pos_10	19_kitchen_pos_11
19_kitchen_pos_11	19_kitchen_pos_12
19_kitchen_pos_12	19_kitchen_pos_13
19_kitchen_pos_13	19_kitchen_pos_14
19_kitchen_pos_14	19_kitchen_pos_15
19_kitchen_pos_15	19_kitchen_pos_16
19_kitchen_pos_16	19_kitchen_pos_17
19_kitchen_pos_17	19_kitchen_pos_18
19_kitchen_pos_18	19_kitchen_pos_19
19_kitchen_pos_19	19_kitchen_pos_20
19_kitchen_pos_20	19_kitchen_pos_21
19_kitchen_pos_21	19_kitchen_pos_22
19_kitchen_pos_22	19_kitchen_pos_23
19_kitchen_pos_24	19_kitchen_pos_25
19_kitchen_pos_25	19_kitchen_pos_26
19_kitchen_pos_26	19_kitchen_pos_27
19_kitchen_pos_27	19_kitchen_pos_28
19_kitchen_pos_28	19_kitchen_pos_29
19_kitchen_pos_29	19_kitchen_pos_30
19_kitchen_pos_30	19_kitchen_pos_31
19_kitchen_pos_31	19_kitchen_pos_32
19_kitchen_pos_32	19_kitchen_pos_33
19_kitchen_pos_33	19_kitchen_pos_34
19_kitchen_pos_34	19_kitchen_pos_35
19_kitchen_pos_35	19_kitchen_pos_36
19_kitchen_pos_36	19_kitchen_pos_37
19_kitchen_pos_38	19_kitchen_pos_39
19_kitchen_pos_39	19_kitchen_pos_40
19_kitchen_pos_40	19_kitchen_pos_41
19_kitchen_pos_41	19_kitchen_pos_42
19_kitchen_pos_42	19_kitchen_pos_43
19_kitchen_pos_43	19_kitchen_pos_44
19_kitchen_pos_44	19_kitchen_pos_45
19_kitchen_pos_45	19_kitchen_pos_46
19_kitchen_pos_46	19_kitchen_pos_47
19_kitchen_pos_47	19_kitchen_pos_48
19_kitchen_pos_48	19_kitchen_pos_49
19_kitchen_pos_49	19_kitchen_pos_50
19_kitchen_pos_50	19_kitchen_pos_51
19_kitchen_pos_51	19_kitchen_pos_52
19_kitchen_pos_52	19_kitchen_pos_53
19_kitchen_pos_53	19_kitchen_pos_54
19_kitchen_pos_54	19_kitchen_pos_55
19_kitchen_pos_55	19_kitchen_pos_56
19_kitchen_pos_56	19_kitchen_pos_57
19_kitchen_pos_57	19_kitchen_pos_58
19_kitchen_pos_58	19_kitchen_pos_59
19_kitchen_pos_59	19_kitchen_pos_60
19_kitchen_pos_60	19_kitchen_pos_61
19_kitchen_pos_61	19_kitchen_pos_62
19_kitchen_pos_62	19_kitchen_pos_63
19_kitchen_pos_63	19_kitchen_pos_64
19_kitchen_pos_64	19_kitchen_pos_65
19_kitchen_pos_65	19_kitchen_pos_66
19_kitchen_pos_67	19_kitchen_pos_68
