1_s3044 1_s3039
1_s3039 1_s3040
1_s3040 1_s3042
1_s3042 1_s3036
1_s3036 1_s3033
1_s3033 1_s3034
1_s3034 1_s3031
1_s3028 1_s3026
1_s3026 1_s3023
1_s3023 1_s3024
1_s3024 1_s3019
1_s3019 1_s3014
1_s3014 1_s3015
1_s3015 1_s3017
1_s3017 1_s3012
1_s3012 1_s3010
1_s3010 1_s3005
1_s3005 1_s3006
1_s3006 1_s3008
1_s3008 1_s3003
1_s3003 1_s3001
1_s3001 1_s2998
1_s2998 1_s2993
1_s2993 1_s2994
1_s2994 1_s2996
1_s2996 1_s2988
1_s2988 1_s2989
1_s2989 1_s2986
1_s2986 1_s2983
1_s2983 1_s2984
1_s2984 1_s2980
1_s2980 1_s2975
1_s2975 1_s2976
1_s2976 1_s2978
1_s2978 1_s2973
1_s2973 1_s2971
1_s2971 1_s2968
1_s2968 1_s2969
1_s3031 1_s3028

10_s5042 10_s5038
10_s5038 10_s5033
10_s5033 10_s5034
10_s5034 10_s5036
10_s5036 10_s5030
10_s5031 10_s5026
10_s5026 10_s5024
10_s5024 10_s5021
10_s5021 10_s5022
10_s5022 10_s5019
10_s5016 10_s5017
10_s5017 10_s5011
10_s5011 10_s5012
10_s5012 10_s5003
10_s5003 10_s5000
10_s5000 10_s5001
10_s5001 10_s5005
10_s5005 10_s5007
10_s5007 10_s5009
10_s5009 10_s4998
10_s4998 10_s4996
10_s4996 10_s4994
10_s4994 10_s4989
10_s4989 10_s4986
10_s4986 10_s4987
10_s4987 10_s4991
10_s4982 10_s4983
10_s4983 10_s4980
10_s4980 10_s4978
10_s4978 10_s4976
10_s4976 10_s4974
10_s4974 10_s4972
10_s4972 10_s4970
10_s4970 10_s4968
10_s4968 10_s4966
10_s4964 10_s4962
10_s4962 10_s4959
10_s4959 10_s4960
10_s5030 10_s5031
10_s5019 10_s5016
10_s4991 10_s4982
10_s4966 10_s4964

100_s5038 100_s5036
100_s5036 100_s5034
100_s5034 100_s5029
100_s5029 100_s5027
100_s5027 100_s5025
100_s5025 100_s5024
100_s5024 100_s5031
100_s5031 100_s5019
100_s5019 100_s5016
100_s5016 100_s5017
100_s5017 100_s5021
100_s5021 100_s5014
100_s5014 100_s5011
100_s5011 100_s5009
100_s5009 100_s5007
100_s5007 100_s5004
100_s5004 100_s5005
100_s5005 100_s5002
100_s5002 100_s5000
100_s5000 100_s4997
