12_cell_neg_1	0.375	0.001	0.001
12_cell_neg_2	0.001	0.001	0.25
12_cell_neg_3	0.125	0.1875	0.001
12_cell_neg_4	0.001	0.125	0.001
12_cell_neg_5	0.001	0.25	0.001
12_cell_neg_6	0.001	0.001	0.25
12_cell_neg_7	0.625	0.001	0.001
12_cell_neg_8	0.5625	0.375	0.001
12_cell_neg_9	0.125	0.25	0.001
12_cell_neg_10	0.001	0.625	0.001
12_cell_neg_11	0.001	0.1875	0.001
12_cell_neg_12	0.3541666666666667	0.16666666666666666	0.001
12_cell_neg_13	0.125	0.4375	0.001
12_cell_neg_14	0.25	0.001	0.001
12_cell_neg_15	0.001	0.5	0.001
12_cell_neg_16	0.001	0.001	0.25
12_cell_neg_17	0.001	0.001	0.25
12_cell_neg_18	0.125	0.001	0.001
12_cell_neg_19	0.25	0.001	0.001
12_cell_neg_20	0.001	0.001	0.25
12_cell_neg_21	0.625	0.25	0.001
12_cell_neg_22	0.001	0.125	0.001
12_cell_neg_23	0.125	0.001	0.001
12_cell_neg_24	0.001	0.001	0.25
12_cell_neg_25	0.625	0.001	0.001
12_cell_neg_26	0.001	0.001	0.25
12_cell_neg_27	0.125	0.25	0.001
12_cell_neg_28	0.125	0.1875	0.001
12_cell_neg_29	0.125	0.16666666666666666	0.001
12_cell_neg_30	0.375	0.125	0.001
12_cell_neg_31	0.6875	0.1875	0.001
12_cell_neg_32	0.125	0.25	0.001
12_cell_neg_33	0.001	0.25	0.001
12_cell_neg_34	0.125	0.001	0.001
12_cell_neg_35	0.001	0.001	0.25
12_cell_neg_36	0.001	0.001	0.25
12_cell_neg_37	0.5	0.001	0.001
12_cell_neg_38	0.375	0.001	0.001
12_cell_neg_39	0.3125	0.175	0.001
1_cell_neg_1	0.25	0.25	0.001
1_cell_neg_2	0.001	0.001	0.25
1_cell_neg_3	0.16666666666666666	0.3333333333333333	0.001
1_cell_neg_4	0.125	0.16666666666666666	0.001
1_cell_neg_5	0.001	0.001	0.25
1_cell_neg_6	0.1875	0.4375	0.001
1_cell_neg_7	0.001	0.001	0.25
1_cell_neg_8	0.001	0.001	0.25
1_cell_neg_9	0.125	0.001	0.001
1_cell_neg_10	0.3333333333333333	0.1875	0.001
1_cell_neg_11	0.125	0.25	0.001
1_cell_neg_12	0.001	0.3125	0.001
1_cell_neg_13	0.001	0.25	0.001
1_cell_neg_14	0.001	0.001	0.25
1_cell_neg_15	0.001	0.001	0.25
1_cell_neg_16	0.125	0.3125	0.001
1_cell_neg_17	0.1875	0.4375	0.001
1_cell_neg_18	0.125	0.25	0.001
1_cell_neg_19	0.375	0.25	0.001
1_cell_neg_20	0.125	0.25	0.001
1_cell_neg_21	0.375	0.001	0.001
1_cell_neg_22	0.125	0.25	0.001
1_cell_neg_23	0.1875	0.25	0.001
1_cell_neg_24	0.001	0.001	0.25
1_cell_neg_25	0.375	0.001	0.001
1_cell_neg_26	0.21875	0.325	0.001
1_cell_neg_27	0.16666666666666666	0.4	0.001
1_cell_neg_28	0.001	0.001	0.25
1_cell_neg_29	0.001	0.001	0.25
1_cell_neg_30	0.001	0.001	0.25
1_cell_neg_31	0.001	0.75	0.001
1_cell_neg_32	0.001	0.001	0.25
1_cell_neg_33	0.125	0.001	0.001
1_cell_neg_34	0.125	0.3125	0.001
1_cell_neg_35	0.25	0.3333333333333333	0.001
1_cell_neg_36	0.001	0.25	0.001
1_cell_neg_37	0.001	0.001	0.25
1_cell_neg_38	0.125	0.125	0.001
1_cell_neg_39	0.001	0.125	0.001
1_cell_neg_40	0.125	0.001	0.001
1_cell_neg_41	0.001	0.001	0.25
1_cell_neg_42	0.125	0.25	0.001
1_cell_neg_43	0.001	0.001	0.25
1_cell_neg_44	0.001	0.125	0.001
1_cell_neg_45	0.15625	0.20833333333333334	0.001
1_cell_neg_46	0.75	0.125	0.001
1_cell_neg_47	0.375	0.001	0.001
1_cell_neg_48	0.001	0.375	0.001
1_cell_neg_49	0.375	0.1875	0.001
1_cell_neg_50	0.125	0.25	0.001
1_cell_neg_51	0.5	0.125	0.001
1_cell_neg_52	0.3125	0.3125	0.001
1_cell_neg_53	0.001	0.25	0.001
1_cell_neg_54	0.1875	0.20833333333333334	0.001
1_cell_neg_55	0.001	0.001	0.25
1_cell_neg_56	0.001	0.001	0.25
1_cell_neg_57	0.5	0.001	0.001
1_cell_neg_58	0.2916666666666667	0.25	0.001
1_cell_neg_59	0.001	0.001	0.25
1_cell_neg_60	0.625	0.001	0.001
1_cell_neg_61	0.5	0.625	0.001
1_cell_neg_62	0.001	0.001	0.25
1_cell_neg_63	0.125	0.125	0.001
1_cell_neg_64	0.125	0.001	0.001
1_cell_neg_65	0.001	0.001	0.25
1_cell_neg_66	0.125	0.25	0.001
1_cell_neg_67	0.15625	0.001	0.001
1_cell_neg_68	0.001	0.25	0.001
1_cell_neg_69	0.001	0.001	0.25
1_cell_neg_70	0.625	0.25	0.001
