PhraseIDs	Polarity
3_cell_neg_1	positive
3_cell_neg_2	negative
3_cell_neg_3	negative
3_cell_neg_4	negative
3_cell_neg_5	negative
3_cell_neg_6	negative
3_cell_neg_7	negative
3_cell_neg_8	negative
3_cell_neg_9	negative
3_cell_neg_10	negative
3_cell_neg_11	negative
3_cell_neg_12	negative
3_cell_neg_13	negative
3_cell_neg_14	negative
3_cell_neg_15	negative
3_cell_neg_16	negative
3_cell_neg_17	negative
3_cell_neg_18	negative
3_cell_neg_19	negative
3_cell_neg_20	negative
3_cell_neg_21	negative
3_cell_neg_22	negative
3_cell_neg_23	negative
3_cell_neg_24	negative
3_cell_neg_25	negative
3_cell_neg_26	negative
3_cell_neg_27	negative
3_cell_neg_28	negative
3_cell_neg_29	negative
3_cell_neg_30	negative
3_cell_neg_31	positive
3_cell_neg_32	negative
3_cell_neg_33	negative
3_cell_neg_34	positive
3_cell_neg_35	positive
3_cell_neg_36	positive
3_cell_neg_37	positive
3_cell_neg_38	negative
3_cell_neg_39	negative
3_cell_neg_40	negative
3_cell_neg_41	positive
3_cell_neg_42	positive
3_cell_neg_43	positive
3_cell_neg_44	positive
3_cell_neg_45	positive
3_cell_neg_46	positive
3_cell_neg_47	positive
3_cell_neg_48	positive
3_cell_neg_49	positive
3_cell_neg_50	positive
3_cell_neg_51	positive
3_cell_neg_52	negative
3_cell_neg_53	positive
3_cell_neg_54	negative
3_cell_neg_55	positive
3_cell_neg_56	positive
3_cell_neg_57	positive
3_cell_neg_58	positive
3_cell_neg_59	positive
3_cell_neg_60	negative
3_cell_neg_61	negative
3_cell_neg_62	negative
3_cell_neg_63	positive
3_cell_neg_64	positive
3_cell_neg_65	negative
3_cell_neg_66	negative
3_cell_neg_67	negative
3_cell_neg_68	negative
3_cell_neg_69	negative
3_cell_neg_70	negative
3_cell_neg_71	negative
3_cell_neg_72	negative
3_cell_neg_73	negative
3_cell_neg_74	negative
3_cell_neg_75	negative
3_cell_neg_76	negative
3_cell_neg_77	negative
3_cell_neg_78	negative
3_cell_neg_79	negative
3_cell_neg_80	negative
3_cell_neg_81	negative
3_cell_neg_82	negative
3_cell_neg_83	negative
3_cell_neg_84	negative
3_cell_neg_85	negative
3_cell_neg_86	negative
3_cell_neg_87	negative
3_cell_neg_88	negative
3_cell_neg_89	negative
3_cell_neg_90	negative
3_cell_neg_91	negative
3_cell_neg_92	positive
3_cell_neg_93	negative
3_cell_neg_94	negative
10_cell_pos_1	positive
10_cell_pos_2	positive
10_cell_pos_3	negative
10_cell_pos_4	negative
10_cell_pos_5	negative
10_cell_pos_6	negative
10_cell_pos_7	positive
10_cell_pos_8	positive
10_cell_pos_9	positive
10_cell_pos_10	positive
10_cell_pos_11	positive
10_cell_pos_12	positive
10_cell_pos_13	negative
10_cell_pos_14	positive
10_cell_pos_15	positive
10_cell_pos_16	positive
10_cell_pos_17	positive
10_cell_pos_18	positive
10_cell_pos_19	positive
10_cell_pos_20	positive
10_cell_pos_21	negative
10_cell_pos_22	negative
10_cell_pos_23	positive
10_cell_pos_24	positive
10_cell_pos_25	positive
10_cell_pos_26	positive
10_cell_pos_27	negative
10_cell_pos_28	negative
10_cell_pos_29	positive
10_cell_pos_30	positive
10_cell_pos_31	negative
10_cell_pos_32	positive
10_cell_pos_33	positive
10_cell_pos_34	positive
10_cell_pos_35	positive
10_cell_pos_36	positive
10_cell_pos_37	negative
10_cell_pos_38	positive
10_cell_pos_39	positive
10_cell_pos_40	negative
10_cell_pos_41	negative
10_cell_pos_42	negative
10_cell_pos_43	negative
10_cell_pos_44	negative
10_cell_pos_45	negative
10_cell_pos_46	positive
10_cell_pos_47	positive
10_cell_pos_48	positive
10_cell_pos_49	positive
10_cell_pos_50	positive
10_cell_pos_51	positive
10_cell_pos_52	positive
10_cell_pos_53	negative
10_cell_pos_54	negative
10_cell_pos_55	negative
10_cell_pos_56	negative
10_cell_pos_57	positive
10_cell_pos_58	positive
10_cell_pos_59	negative
10_cell_pos_60	negative
10_cell_pos_61	positive
10_cell_pos_62	positive
10_cell_pos_63	negative
10_cell_pos_64	negative
10_cell_pos_65	negative
10_cell_pos_66	negative
10_cell_pos_67	negative
10_cell_pos_68	positive
10_cell_pos_69	positive
10_cell_pos_70	positive
10_cell_pos_71	positive
10_cell_pos_72	positive
10_cell_pos_73	positive
10_cell_pos_74	positive
10_cell_pos_75	positive
10_cell_pos_76	positive
10_cell_pos_77	positive
10_cell_pos_78	positive
10_cell_pos_79	positive
10_cell_pos_80	positive
10_cell_pos_81	positive
10_cell_pos_82	positive
10_cell_pos_83	negative
10_cell_pos_84	negative
10_cell_pos_85	positive
10_cell_pos_86	positive
10_cell_pos_87	positive
16_kitchen_pos_1	positive
16_kitchen_pos_2	positive
16_kitchen_pos_3	positive
16_kitchen_pos_4	positive
16_kitchen_pos_5	positive
16_kitchen_pos_6	positive
16_kitchen_pos_7	positive
16_kitchen_pos_8	positive
16_kitchen_pos_9	positive
16_kitchen_pos_10	positive
16_kitchen_pos_11	positive
16_kitchen_pos_12	positive
16_kitchen_pos_13	positive
16_kitchen_pos_14	positive
16_kitchen_pos_15	positive
16_kitchen_pos_16	positive
16_kitchen_pos_17	positive
16_kitchen_pos_18	positive
16_kitchen_pos_19	positive
16_kitchen_pos_20	positive
16_kitchen_pos_21	positive
16_kitchen_pos_22	positive
16_kitchen_pos_23	positive
16_kitchen_pos_24	positive
16_kitchen_pos_25	positive
16_kitchen_pos_26	positive
16_kitchen_pos_27	positive
16_kitchen_pos_28	positive
16_kitchen_pos_29	positive
16_kitchen_pos_30	positive
16_kitchen_pos_31	positive
16_kitchen_pos_32	positive
16_kitchen_pos_33	positive
16_kitchen_pos_34	positive
16_kitchen_pos_35	positive
16_kitchen_pos_36	positive
16_kitchen_pos_37	positive
16_kitchen_pos_38	positive
16_kitchen_pos_39	positive
16_kitchen_pos_40	positive
16_kitchen_pos_41	positive
16_kitchen_pos_42	positive
16_kitchen_pos_43	negative
16_kitchen_pos_44	negative
16_kitchen_pos_45	negative
16_kitchen_pos_46	negative
16_kitchen_pos_47	positive
16_kitchen_pos_48	positive
16_kitchen_pos_49	positive
19_kitchen_neg_1	positive
19_kitchen_neg_2	negative
19_kitchen_neg_3	positive
19_kitchen_neg_4	positive
19_kitchen_neg_5	negative
19_kitchen_neg_6	negative
19_kitchen_neg_7	negative
19_kitchen_neg_8	negative
19_kitchen_neg_9	negative
19_kitchen_neg_10	negative
19_kitchen_neg_11	negative
19_kitchen_neg_12	negative
