18_gourmet_pos_1	0.20833333333333334	0.25
18_gourmet_pos_2	0.125	0.25
18_gourmet_pos_3	0.375	0.25
18_gourmet_pos_4	0.125	0.16666666666666666
18_gourmet_pos_5	0.125	0.375
18_gourmet_pos_6	0.001	0.001
18_gourmet_pos_7	0.001	0.001
18_gourmet_pos_8	0.001	0.125
18_gourmet_pos_9	0.125	0.001
18_gourmet_pos_10	0.001	0.001
18_gourmet_pos_11	0.125	0.20833333333333334
18_gourmet_pos_12	0.375	0.25
18_gourmet_pos_13	0.3125	0.25
18_gourmet_pos_14	0.001	0.25
18_gourmet_pos_15	0.375	0.25
18_gourmet_pos_16	0.625	0.25
18_gourmet_pos_17	0.125	0.25
18_gourmet_pos_18	0.25	0.001
18_gourmet_pos_19	0.16666666666666666	0.20833333333333334
18_gourmet_pos_20	0.125	0.16666666666666666
18_gourmet_pos_21	0.001	0.001
18_gourmet_pos_22	0.25	0.625
18_gourmet_pos_23	0.4375	0.25
18_gourmet_pos_24	0.001	0.001
18_gourmet_pos_25	0.001	0.001
18_gourmet_pos_26	0.28125	0.25
18_gourmet_pos_27	0.125	0.375
18_gourmet_pos_28	0.25	0.001
18_gourmet_pos_29	0.001	0.001
18_gourmet_pos_30	0.1875	0.001
18_gourmet_pos_31	0.001	0.001
18_gourmet_pos_32	0.125	0.25
18_gourmet_pos_33	0.001	0.001
18_gourmet_pos_34	0.001	0.25
18_gourmet_pos_35	0.125	0.125
18_gourmet_pos_36	0.125	0.1875
18_gourmet_pos_37	0.001	0.125
18_gourmet_pos_38	0.25	0.5
18_gourmet_pos_39	0.001	0.001
18_gourmet_pos_40	0.125	0.25
18_gourmet_pos_41	0.001	0.001
18_gourmet_pos_42	0.125	0.1875
18_gourmet_pos_43	0.001	0.001
18_gourmet_pos_44	0.001	0.125
