2_gourmet_neg_1	2_gourmet_neg_0
2_gourmet_neg_2	2_gourmet_neg_1
2_gourmet_neg_3	2_gourmet_neg_2
2_gourmet_neg_4	2_gourmet_neg_3
2_gourmet_neg_5	2_gourmet_neg_4
2_gourmet_neg_6	2_gourmet_neg_5
2_gourmet_neg_7	2_gourmet_neg_6
2_gourmet_neg_8	2_gourmet_neg_7
2_gourmet_neg_9	2_gourmet_neg_8
2_gourmet_neg_10	2_gourmet_neg_9
2_gourmet_neg_11	2_gourmet_neg_10
2_gourmet_neg_12	2_gourmet_neg_11
2_gourmet_neg_13	2_gourmet_neg_12
2_gourmet_neg_14	2_gourmet_neg_13
2_gourmet_neg_15	2_gourmet_neg_14
2_gourmet_neg_16	2_gourmet_neg_15
2_gourmet_neg_17	2_gourmet_neg_16
2_gourmet_neg_18	2_gourmet_neg_17
2_gourmet_neg_19	2_gourmet_neg_18
2_gourmet_neg_20	2_gourmet_neg_19
2_gourmet_neg_21	2_gourmet_neg_20
2_gourmet_neg_22	2_gourmet_neg_21
2_gourmet_neg_23	2_gourmet_neg_22
2_gourmet_neg_24	2_gourmet_neg_23
2_gourmet_neg_25	2_gourmet_neg_24
2_gourmet_neg_26	2_gourmet_neg_25
2_gourmet_neg_27	2_gourmet_neg_26
2_gourmet_neg_28	2_gourmet_neg_27
2_gourmet_neg_29	2_gourmet_neg_28
2_gourmet_neg_30	2_gourmet_neg_29
