18_cell_pos_1	18_cell_pos_0
18_cell_pos_2	18_cell_pos_1
18_cell_pos_3	18_cell_pos_2
18_cell_pos_4	18_cell_pos_3
18_cell_pos_5	18_cell_pos_4
18_cell_pos_6	18_cell_pos_5
18_cell_pos_7	18_cell_pos_6
18_cell_pos_8	18_cell_pos_7
18_cell_pos_9	18_cell_pos_8
18_cell_pos_10	18_cell_pos_9
18_cell_pos_11	18_cell_pos_10
18_cell_pos_12	18_cell_pos_11
18_cell_pos_13	18_cell_pos_12
18_cell_pos_14	18_cell_pos_13
18_cell_pos_15	18_cell_pos_14
18_cell_pos_16	18_cell_pos_15
18_cell_pos_17	18_cell_pos_16
18_cell_pos_18	18_cell_pos_17
18_cell_pos_19	18_cell_pos_18
18_cell_pos_20	18_cell_pos_19
18_cell_pos_21	18_cell_pos_20
18_cell_pos_22	18_cell_pos_21
18_cell_pos_23	18_cell_pos_22
18_cell_pos_24	18_cell_pos_23
18_cell_pos_25	18_cell_pos_24
18_cell_pos_26	18_cell_pos_25
18_cell_pos_27	18_cell_pos_26
18_cell_pos_28	18_cell_pos_27
18_cell_pos_29	18_cell_pos_28
18_cell_pos_30	18_cell_pos_29
18_cell_pos_31	18_cell_pos_30
18_cell_pos_32	18_cell_pos_31
18_cell_pos_33	18_cell_pos_32
18_cell_pos_34	18_cell_pos_33
18_cell_pos_35	18_cell_pos_34
18_cell_pos_36	18_cell_pos_35
18_cell_pos_37	18_cell_pos_36
18_cell_pos_38	18_cell_pos_37
18_cell_pos_39	18_cell_pos_38
18_cell_pos_40	18_cell_pos_39
18_cell_pos_41	18_cell_pos_40
18_cell_pos_42	18_cell_pos_41
18_cell_pos_43	18_cell_pos_42
18_cell_pos_44	18_cell_pos_43
18_cell_pos_45	18_cell_pos_44
18_cell_pos_46	18_cell_pos_45
18_cell_pos_47	18_cell_pos_46
18_cell_pos_48	18_cell_pos_47
18_cell_pos_49	18_cell_pos_48
18_cell_pos_50	18_cell_pos_49
18_cell_pos_51	18_cell_pos_50
18_cell_pos_52	18_cell_pos_51
18_cell_pos_53	18_cell_pos_52
18_cell_pos_54	18_cell_pos_53
18_cell_pos_55	18_cell_pos_54
18_cell_pos_56	18_cell_pos_55
18_cell_pos_57	18_cell_pos_56
18_cell_pos_58	18_cell_pos_57
18_cell_pos_59	18_cell_pos_58
18_cell_pos_60	18_cell_pos_59
18_cell_pos_61	18_cell_pos_60
18_cell_pos_62	18_cell_pos_61
18_cell_pos_63	18_cell_pos_62
18_cell_pos_64	18_cell_pos_63
18_cell_pos_65	18_cell_pos_64
18_cell_pos_66	18_cell_pos_65
18_cell_pos_67	18_cell_pos_66
