19_cell_neg_1	19_cell_neg_2
19_cell_neg_2	19_cell_neg_3
19_cell_neg_3	19_cell_neg_4
19_cell_neg_4	19_cell_neg_5
19_cell_neg_6	19_cell_neg_7
19_cell_neg_7	19_cell_neg_8
19_cell_neg_8	19_cell_neg_9
19_cell_neg_9	19_cell_neg_10
19_cell_neg_10	19_cell_neg_11
19_cell_neg_11	19_cell_neg_12
19_cell_neg_12	19_cell_neg_13
19_cell_neg_13	19_cell_neg_14
19_cell_neg_14	19_cell_neg_15
19_cell_neg_15	19_cell_neg_16
19_cell_neg_16	19_cell_neg_17
19_cell_neg_17	19_cell_neg_18
19_cell_neg_18	19_cell_neg_19
19_cell_neg_19	19_cell_neg_20
19_cell_neg_20	19_cell_neg_21
19_cell_neg_21	19_cell_neg_22
19_cell_neg_22	19_cell_neg_23
19_cell_neg_23	19_cell_neg_24
19_cell_neg_24	19_cell_neg_25
19_cell_neg_25	19_cell_neg_26
19_cell_neg_26	19_cell_neg_27
19_cell_neg_27	19_cell_neg_28
19_cell_neg_28	19_cell_neg_29
19_cell_neg_29	19_cell_neg_30
19_cell_neg_30	19_cell_neg_31
19_cell_neg_31	19_cell_neg_32
19_cell_neg_32	19_cell_neg_33
19_cell_neg_33	19_cell_neg_34
19_cell_neg_34	19_cell_neg_35
19_cell_neg_35	19_cell_neg_36
19_cell_neg_36	19_cell_neg_37
