14_kitchen_pos_1	14_kitchen_pos_2
14_kitchen_pos_2	14_kitchen_pos_3
14_kitchen_pos_3	14_kitchen_pos_4
14_kitchen_pos_4	14_kitchen_pos_5
14_kitchen_pos_5	14_kitchen_pos_6
14_kitchen_pos_6	14_kitchen_pos_7
14_kitchen_pos_7	14_kitchen_pos_8
14_kitchen_pos_8	14_kitchen_pos_9
14_kitchen_pos_9	14_kitchen_pos_10
14_kitchen_pos_10	14_kitchen_pos_11
14_kitchen_pos_11	14_kitchen_pos_12
14_kitchen_pos_12	14_kitchen_pos_13
14_kitchen_pos_13	14_kitchen_pos_14
14_kitchen_pos_14	14_kitchen_pos_15
14_kitchen_pos_15	14_kitchen_pos_16
14_kitchen_pos_16	14_kitchen_pos_17
14_kitchen_pos_17	14_kitchen_pos_18
14_kitchen_pos_18	14_kitchen_pos_19
14_kitchen_pos_19	14_kitchen_pos_20
14_kitchen_pos_20	14_kitchen_pos_21
14_kitchen_pos_21	14_kitchen_pos_22
14_kitchen_pos_22	14_kitchen_pos_23
14_kitchen_pos_23	14_kitchen_pos_24
14_kitchen_pos_24	14_kitchen_pos_25
14_kitchen_pos_25	14_kitchen_pos_26
14_kitchen_pos_26	14_kitchen_pos_27
14_kitchen_pos_27	14_kitchen_pos_28
14_kitchen_pos_28	14_kitchen_pos_29
14_kitchen_pos_29	14_kitchen_pos_30
14_kitchen_pos_30	14_kitchen_pos_31
14_kitchen_pos_31	14_kitchen_pos_32
14_kitchen_pos_32	14_kitchen_pos_33
14_kitchen_pos_33	14_kitchen_pos_34
14_kitchen_pos_34	14_kitchen_pos_35
14_kitchen_pos_35	14_kitchen_pos_36
