5_cell_neg_1	5_cell_neg_2
5_cell_neg_2	5_cell_neg_3
5_cell_neg_3	5_cell_neg_4
5_cell_neg_4	5_cell_neg_5
5_cell_neg_5	5_cell_neg_6
5_cell_neg_6	5_cell_neg_7
5_cell_neg_7	5_cell_neg_8
5_cell_neg_8	5_cell_neg_9
5_cell_neg_9	5_cell_neg_10
5_cell_neg_10	5_cell_neg_11
5_cell_neg_11	5_cell_neg_12
5_cell_neg_12	5_cell_neg_13
5_cell_neg_13	5_cell_neg_14
5_cell_neg_14	5_cell_neg_15
5_cell_neg_15	5_cell_neg_16
5_cell_neg_16	5_cell_neg_17
5_cell_neg_17	5_cell_neg_18
5_cell_neg_18	5_cell_neg_19
5_cell_neg_19	5_cell_neg_20
5_cell_neg_20	5_cell_neg_21
5_cell_neg_21	5_cell_neg_22
5_cell_neg_22	5_cell_neg_23
5_cell_neg_23	5_cell_neg_24
5_cell_neg_24	5_cell_neg_25
5_cell_neg_25	5_cell_neg_26
5_cell_neg_26	5_cell_neg_27
5_cell_neg_27	5_cell_neg_28
5_cell_neg_28	5_cell_neg_29
5_cell_neg_29	5_cell_neg_30
5_cell_neg_30	5_cell_neg_31
5_cell_neg_31	5_cell_neg_32
5_cell_neg_32	5_cell_neg_33
5_cell_neg_33	5_cell_neg_34
5_cell_neg_34	5_cell_neg_35
5_cell_neg_35	5_cell_neg_36
5_cell_neg_36	5_cell_neg_37
5_cell_neg_37	5_cell_neg_38
5_cell_neg_38	5_cell_neg_39
5_cell_neg_39	5_cell_neg_40
5_cell_neg_40	5_cell_neg_41
5_cell_neg_41	5_cell_neg_42
5_cell_neg_42	5_cell_neg_43
5_cell_neg_43	5_cell_neg_44
5_cell_neg_44	5_cell_neg_45
5_cell_neg_45	5_cell_neg_46
5_cell_neg_46	5_cell_neg_47
5_cell_neg_47	5_cell_neg_48
5_cell_neg_48	5_cell_neg_49
5_cell_neg_49	5_cell_neg_50
5_cell_neg_50	5_cell_neg_51
5_cell_neg_51	5_cell_neg_52
5_cell_neg_52	5_cell_neg_53
5_cell_neg_53	5_cell_neg_54
5_cell_neg_54	5_cell_neg_55
5_cell_neg_55	5_cell_neg_56
5_cell_neg_56	5_cell_neg_57
5_cell_neg_57	5_cell_neg_58
5_cell_neg_58	5_cell_neg_59
5_cell_neg_59	5_cell_neg_60
5_cell_neg_60	5_cell_neg_61
5_cell_neg_61	5_cell_neg_62
5_cell_neg_62	5_cell_neg_63
5_cell_neg_63	5_cell_neg_64
5_cell_neg_64	5_cell_neg_65
5_cell_neg_65	5_cell_neg_66
5_cell_neg_66	5_cell_neg_67
5_cell_neg_67	5_cell_neg_68
5_cell_neg_68	5_cell_neg_69
5_cell_neg_69	5_cell_neg_70
5_cell_neg_70	5_cell_neg_71
5_cell_neg_71	5_cell_neg_72
5_cell_neg_72	5_cell_neg_73
5_cell_neg_73	5_cell_neg_74
5_cell_neg_74	5_cell_neg_75
5_cell_neg_75	5_cell_neg_76
