7_kitchen_pos_1	7_kitchen_pos_0
7_kitchen_pos_2	7_kitchen_pos_1
7_kitchen_pos_3	7_kitchen_pos_2
7_kitchen_pos_4	7_kitchen_pos_3
7_kitchen_pos_5	7_kitchen_pos_4
7_kitchen_pos_6	7_kitchen_pos_5
7_kitchen_pos_7	7_kitchen_pos_6
7_kitchen_pos_8	7_kitchen_pos_7
7_kitchen_pos_9	7_kitchen_pos_8
7_kitchen_pos_10	7_kitchen_pos_9
7_kitchen_pos_11	7_kitchen_pos_10
7_kitchen_pos_12	7_kitchen_pos_11
7_kitchen_pos_13	7_kitchen_pos_12
7_kitchen_pos_14	7_kitchen_pos_13
7_kitchen_pos_15	7_kitchen_pos_14
7_kitchen_pos_16	7_kitchen_pos_15
7_kitchen_pos_17	7_kitchen_pos_16
7_kitchen_pos_18	7_kitchen_pos_17
7_kitchen_pos_19	7_kitchen_pos_18
7_kitchen_pos_20	7_kitchen_pos_19
7_kitchen_pos_21	7_kitchen_pos_20
7_kitchen_pos_22	7_kitchen_pos_21
7_kitchen_pos_23	7_kitchen_pos_22
7_kitchen_pos_24	7_kitchen_pos_23
7_kitchen_pos_25	7_kitchen_pos_24
7_kitchen_pos_26	7_kitchen_pos_25
7_kitchen_pos_27	7_kitchen_pos_26
7_kitchen_pos_28	7_kitchen_pos_27
7_kitchen_pos_29	7_kitchen_pos_28
7_kitchen_pos_30	7_kitchen_pos_29
7_kitchen_pos_31	7_kitchen_pos_30
7_kitchen_pos_32	7_kitchen_pos_31
7_kitchen_pos_33	7_kitchen_pos_32
7_kitchen_pos_34	7_kitchen_pos_33
7_kitchen_pos_35	7_kitchen_pos_34
7_kitchen_pos_36	7_kitchen_pos_35
7_kitchen_pos_37	7_kitchen_pos_36
7_kitchen_pos_38	7_kitchen_pos_37
7_kitchen_pos_39	7_kitchen_pos_38
7_kitchen_pos_40	7_kitchen_pos_39
7_kitchen_pos_41	7_kitchen_pos_40
7_kitchen_pos_42	7_kitchen_pos_41
7_kitchen_pos_43	7_kitchen_pos_42
7_kitchen_pos_44	7_kitchen_pos_43
7_kitchen_pos_45	7_kitchen_pos_44
7_kitchen_pos_46	7_kitchen_pos_45
7_kitchen_pos_47	7_kitchen_pos_46
7_kitchen_pos_48	7_kitchen_pos_47
7_kitchen_pos_49	7_kitchen_pos_48
7_kitchen_pos_50	7_kitchen_pos_49
7_kitchen_pos_51	7_kitchen_pos_50
7_kitchen_pos_52	7_kitchen_pos_51
7_kitchen_pos_53	7_kitchen_pos_52
7_kitchen_pos_54	7_kitchen_pos_53
7_kitchen_pos_55	7_kitchen_pos_54
7_kitchen_pos_56	7_kitchen_pos_55
7_kitchen_pos_57	7_kitchen_pos_56
7_kitchen_pos_58	7_kitchen_pos_57
7_kitchen_pos_59	7_kitchen_pos_58
7_kitchen_pos_60	7_kitchen_pos_59
7_kitchen_pos_61	7_kitchen_pos_60
7_kitchen_pos_62	7_kitchen_pos_61
7_kitchen_pos_63	7_kitchen_pos_62
7_kitchen_pos_64	7_kitchen_pos_63
7_kitchen_pos_65	7_kitchen_pos_64
