18_gourmet_neg_1	18_gourmet_neg_0
18_gourmet_neg_2	18_gourmet_neg_1
18_gourmet_neg_3	18_gourmet_neg_2
18_gourmet_neg_4	18_gourmet_neg_3
18_gourmet_neg_5	18_gourmet_neg_4
18_gourmet_neg_6	18_gourmet_neg_5
18_gourmet_neg_7	18_gourmet_neg_6
18_gourmet_neg_8	18_gourmet_neg_7
18_gourmet_neg_9	18_gourmet_neg_8
18_gourmet_neg_10	18_gourmet_neg_9
18_gourmet_neg_11	18_gourmet_neg_10
18_gourmet_neg_12	18_gourmet_neg_11
18_gourmet_neg_13	18_gourmet_neg_12
18_gourmet_neg_14	18_gourmet_neg_13
18_gourmet_neg_15	18_gourmet_neg_14
18_gourmet_neg_16	18_gourmet_neg_15
18_gourmet_neg_17	18_gourmet_neg_16
18_gourmet_neg_18	18_gourmet_neg_17
18_gourmet_neg_19	18_gourmet_neg_18
18_gourmet_neg_20	18_gourmet_neg_19
18_gourmet_neg_21	18_gourmet_neg_20
18_gourmet_neg_22	18_gourmet_neg_21
18_gourmet_neg_23	18_gourmet_neg_22
18_gourmet_neg_24	18_gourmet_neg_23
18_gourmet_neg_25	18_gourmet_neg_24
18_gourmet_neg_26	18_gourmet_neg_25
