11_cell_neg_5	11_cell_neg_6
11_cell_neg_6	11_cell_neg_7
11_cell_neg_33	11_cell_neg_34
11_cell_neg_34	11_cell_neg_35
11_cell_neg_35	11_cell_neg_36
11_cell_neg_36	11_cell_neg_37
11_cell_neg_37	11_cell_neg_38
11_cell_neg_40	11_cell_neg_41
11_cell_neg_41	11_cell_neg_42
11_cell_neg_42	11_cell_neg_43
11_cell_neg_43	11_cell_neg_44
11_cell_neg_44	11_cell_neg_45
11_cell_neg_45	11_cell_neg_46
13_cell_neg_3	13_cell_neg_4
13_cell_neg_4	13_cell_neg_5
13_cell_neg_5	13_cell_neg_6
13_cell_neg_6	13_cell_neg_7
13_cell_neg_7	13_cell_neg_8
13_cell_neg_8	13_cell_neg_9
13_cell_neg_23	13_cell_neg_24
13_cell_neg_24	13_cell_neg_25
13_cell_neg_30	13_cell_neg_31
13_cell_neg_31	13_cell_neg_32
13_cell_neg_32	13_cell_neg_33
13_cell_neg_33	13_cell_neg_34
13_cell_neg_34	13_cell_neg_35
13_cell_neg_35	13_cell_neg_36
13_cell_neg_36	13_cell_neg_37
13_cell_neg_37	13_cell_neg_38
13_cell_neg_38	13_cell_neg_39
13_cell_neg_39	13_cell_neg_40
13_cell_neg_40	13_cell_neg_41
13_cell_neg_41	13_cell_neg_42
13_cell_neg_42	13_cell_neg_43
13_cell_neg_43	13_cell_neg_44
13_cell_neg_44	13_cell_neg_45
13_cell_neg_45	13_cell_neg_46
19_cell_pos_1	19_cell_pos_2
19_cell_pos_2	19_cell_pos_3
19_cell_pos_3	19_cell_pos_4
19_cell_pos_10	19_cell_pos_11
19_cell_pos_11	19_cell_pos_12
19_cell_pos_12	19_cell_pos_13
19_cell_pos_13	19_cell_pos_14
19_cell_pos_14	19_cell_pos_15
19_cell_pos_15	19_cell_pos_16
19_cell_pos_16	19_cell_pos_17
19_cell_pos_17	19_cell_pos_18
19_cell_pos_18	19_cell_pos_19
19_cell_pos_19	19_cell_pos_20
19_cell_pos_20	19_cell_pos_21
19_cell_pos_21	19_cell_pos_22
19_cell_pos_22	19_cell_pos_23
19_cell_pos_23	19_cell_pos_24
19_cell_pos_24	19_cell_pos_25
19_cell_pos_25	19_cell_pos_26
19_cell_pos_26	19_cell_pos_27
19_cell_pos_27	19_cell_pos_28
19_cell_pos_28	19_cell_pos_29
19_cell_pos_29	19_cell_pos_30
19_cell_pos_30	19_cell_pos_31
19_cell_pos_31	19_cell_pos_32
19_cell_pos_32	19_cell_pos_33
19_cell_pos_33	19_cell_pos_34
19_cell_pos_34	19_cell_pos_35
19_cell_pos_35	19_cell_pos_36
19_cell_pos_36	19_cell_pos_37
19_cell_pos_37	19_cell_pos_38
19_cell_pos_38	19_cell_pos_39
19_cell_pos_39	19_cell_pos_40
19_cell_pos_40	19_cell_pos_41
19_cell_pos_41	19_cell_pos_42
19_cell_pos_42	19_cell_pos_43
19_cell_pos_43	19_cell_pos_44
19_cell_pos_44	19_cell_pos_45
19_cell_pos_45	19_cell_pos_46
19_cell_pos_46	19_cell_pos_47
19_cell_pos_47	19_cell_pos_48
19_cell_pos_48	19_cell_pos_49
19_cell_pos_49	19_cell_pos_50
19_cell_pos_50	19_cell_pos_51
19_cell_pos_51	19_cell_pos_52
19_cell_pos_52	19_cell_pos_53
19_cell_pos_53	19_cell_pos_54
19_cell_pos_54	19_cell_pos_55
19_cell_pos_55	19_cell_pos_56
19_cell_pos_56	19_cell_pos_57
19_cell_pos_57	19_cell_pos_58
19_cell_pos_58	19_cell_pos_59
19_cell_pos_59	19_cell_pos_60
19_cell_pos_60	19_cell_pos_61
19_cell_pos_61	19_cell_pos_62
19_cell_pos_62	19_cell_pos_63
19_cell_pos_63	19_cell_pos_64
19_cell_pos_64	19_cell_pos_65
19_cell_pos_65	19_cell_pos_66
19_cell_pos_66	19_cell_pos_67
6_cell_pos_2	6_cell_pos_3
6_cell_pos_29	6_cell_pos_30
6_cell_pos_30	6_cell_pos_31
6_cell_pos_31	6_cell_pos_32
6_cell_pos_36	6_cell_pos_37
6_cell_pos_46	6_cell_pos_47
6_cell_pos_47	6_cell_pos_48
6_cell_pos_58	6_cell_pos_59
6_cell_pos_63	6_cell_pos_64
6_cell_pos_64	6_cell_pos_65
6_cell_pos_76	6_cell_pos_77
6_cell_pos_77	6_cell_pos_78
6_cell_pos_78	6_cell_pos_79
6_cell_pos_87	6_cell_pos_88
6_cell_pos_88	6_cell_pos_89
2_gourmet_neg_3	2_gourmet_neg_4
2_gourmet_neg_4	2_gourmet_neg_5
2_gourmet_neg_5	2_gourmet_neg_6
2_gourmet_neg_18	2_gourmet_neg_19
2_gourmet_neg_19	2_gourmet_neg_20
2_gourmet_neg_22	2_gourmet_neg_23
2_gourmet_neg_28	2_gourmet_neg_29
2_gourmet_neg_29	2_gourmet_neg_30
6_gourmet_neg_28	6_gourmet_neg_29
6_gourmet_neg_29	6_gourmet_neg_30
10_gourmet_pos_1	10_gourmet_pos_2
10_gourmet_pos_2	10_gourmet_pos_3
10_gourmet_pos_3	10_gourmet_pos_4
10_gourmet_pos_4	10_gourmet_pos_5
10_gourmet_pos_5	10_gourmet_pos_6
10_gourmet_pos_8	10_gourmet_pos_9
10_gourmet_pos_9	10_gourmet_pos_10
10_gourmet_pos_10	10_gourmet_pos_11
10_gourmet_pos_11	10_gourmet_pos_12
10_gourmet_pos_12	10_gourmet_pos_13
10_gourmet_pos_13	10_gourmet_pos_14
10_gourmet_pos_14	10_gourmet_pos_15
10_gourmet_pos_15	10_gourmet_pos_16
10_gourmet_pos_16	10_gourmet_pos_17
10_gourmet_pos_17	10_gourmet_pos_18
10_gourmet_pos_18	10_gourmet_pos_19
10_gourmet_pos_19	10_gourmet_pos_20
10_gourmet_pos_20	10_gourmet_pos_21
10_gourmet_pos_21	10_gourmet_pos_22
10_gourmet_pos_22	10_gourmet_pos_23
10_gourmet_pos_23	10_gourmet_pos_24
10_gourmet_pos_24	10_gourmet_pos_25
10_gourmet_pos_25	10_gourmet_pos_26
10_gourmet_pos_26	10_gourmet_pos_27
10_gourmet_pos_27	10_gourmet_pos_28
10_gourmet_pos_28	10_gourmet_pos_29
10_gourmet_pos_29	10_gourmet_pos_30
10_gourmet_pos_30	10_gourmet_pos_31
10_gourmet_pos_31	10_gourmet_pos_32
10_gourmet_pos_32	10_gourmet_pos_33
10_gourmet_pos_33	10_gourmet_pos_34
10_gourmet_pos_34	10_gourmet_pos_35
10_gourmet_pos_35	10_gourmet_pos_36
10_gourmet_pos_36	10_gourmet_pos_37
10_gourmet_pos_37	10_gourmet_pos_38
10_gourmet_pos_38	10_gourmet_pos_39
10_gourmet_pos_39	10_gourmet_pos_40
10_gourmet_pos_40	10_gourmet_pos_41
10_gourmet_pos_41	10_gourmet_pos_42
10_gourmet_pos_42	10_gourmet_pos_43
10_gourmet_pos_43	10_gourmet_pos_44
