PhraseID	Polarity
3_cell_neg_1	0
3_cell_neg_2	0
3_cell_neg_3	0
3_cell_neg_4	-1
3_cell_neg_5	1
3_cell_neg_6	1
3_cell_neg_7	1
3_cell_neg_8	1
3_cell_neg_9	0
3_cell_neg_10	-1
3_cell_neg_11	0
3_cell_neg_12	1
3_cell_neg_13	1
3_cell_neg_14	0
3_cell_neg_15	0
3_cell_neg_16	-1
3_cell_neg_17	-1
3_cell_neg_18	-1
3_cell_neg_19	1
3_cell_neg_20	1
3_cell_neg_21	0
3_cell_neg_22	1
3_cell_neg_23	0
3_cell_neg_24	0
3_cell_neg_25	-1
3_cell_neg_26	1
3_cell_neg_27	0
3_cell_neg_28	-1
3_cell_neg_29	0
3_cell_neg_30	0
3_cell_neg_31	-1
3_cell_neg_32	-1
3_cell_neg_33	0
3_cell_neg_34	1
3_cell_neg_35	0
3_cell_neg_36	0
3_cell_neg_37	0
3_cell_neg_38	1
3_cell_neg_39	0
3_cell_neg_40	1
3_cell_neg_41	0
3_cell_neg_42	0
3_cell_neg_43	1
3_cell_neg_44	1
3_cell_neg_45	0
3_cell_neg_46	-1
3_cell_neg_47	0
3_cell_neg_48	-1
3_cell_neg_49	0
3_cell_neg_50	0
3_cell_neg_51	-1
3_cell_neg_52	0
3_cell_neg_53	-1
3_cell_neg_54	0
3_cell_neg_55	0
3_cell_neg_56	0
3_cell_neg_57	0
3_cell_neg_58	0
3_cell_neg_59	-1
3_cell_neg_60	-1
3_cell_neg_61	1
3_cell_neg_62	-1
3_cell_neg_63	-1
3_cell_neg_64	1
3_cell_neg_65	0
3_cell_neg_66	0
3_cell_neg_67	0
3_cell_neg_68	1
3_cell_neg_69	1
3_cell_neg_70	1
3_cell_neg_71	1
3_cell_neg_72	0
3_cell_neg_73	-1
3_cell_neg_74	0
3_cell_neg_75	1
3_cell_neg_76	1
3_cell_neg_77	1
3_cell_neg_78	1
3_cell_neg_79	-1
3_cell_neg_80	1
3_cell_neg_81	0
3_cell_neg_82	1
3_cell_neg_83	0
3_cell_neg_84	1
3_cell_neg_85	1
3_cell_neg_86	1
3_cell_neg_87	1
3_cell_neg_88	0
3_cell_neg_89	1
3_cell_neg_90	0
3_cell_neg_91	-1
3_cell_neg_92	1
3_cell_neg_93	-1
3_cell_neg_94	-1
10_cell_pos_1	-1
10_cell_pos_2	1
