16_kitchen_neg_1	16_kitchen_neg_0
16_kitchen_neg_2	16_kitchen_neg_1
16_kitchen_neg_3	16_kitchen_neg_2
16_kitchen_neg_4	16_kitchen_neg_3
16_kitchen_neg_5	16_kitchen_neg_4
16_kitchen_neg_6	16_kitchen_neg_5
16_kitchen_neg_7	16_kitchen_neg_6
16_kitchen_neg_8	16_kitchen_neg_7
16_kitchen_neg_9	16_kitchen_neg_8
16_kitchen_neg_10	16_kitchen_neg_9
16_kitchen_neg_11	16_kitchen_neg_10
16_kitchen_neg_12	16_kitchen_neg_11
16_kitchen_neg_13	16_kitchen_neg_12
16_kitchen_neg_14	16_kitchen_neg_13
16_kitchen_neg_15	16_kitchen_neg_14
16_kitchen_neg_16	16_kitchen_neg_15
16_kitchen_neg_17	16_kitchen_neg_16
16_kitchen_neg_18	16_kitchen_neg_17
16_kitchen_neg_19	16_kitchen_neg_18
16_kitchen_neg_20	16_kitchen_neg_19
16_kitchen_neg_21	16_kitchen_neg_20
16_kitchen_neg_22	16_kitchen_neg_21
16_kitchen_neg_23	16_kitchen_neg_22
16_kitchen_neg_24	16_kitchen_neg_23
16_kitchen_neg_25	16_kitchen_neg_24
16_kitchen_neg_26	16_kitchen_neg_25
16_kitchen_neg_27	16_kitchen_neg_26
16_kitchen_neg_28	16_kitchen_neg_27
16_kitchen_neg_29	16_kitchen_neg_28
16_kitchen_neg_30	16_kitchen_neg_29
16_kitchen_neg_31	16_kitchen_neg_30
16_kitchen_neg_32	16_kitchen_neg_31
16_kitchen_neg_33	16_kitchen_neg_32
16_kitchen_neg_34	16_kitchen_neg_33
16_kitchen_neg_35	16_kitchen_neg_34
16_kitchen_neg_36	16_kitchen_neg_35
16_kitchen_neg_37	16_kitchen_neg_36
16_kitchen_neg_38	16_kitchen_neg_37
16_kitchen_neg_39	16_kitchen_neg_38
16_kitchen_neg_40	16_kitchen_neg_39
16_kitchen_neg_41	16_kitchen_neg_40
