PhraseIDs	Contrast
20_cell_neg_1	False
20_cell_neg_2	False
20_cell_neg_3	False
20_cell_neg_4	False
20_cell_neg_5	False
20_cell_neg_6	False
20_cell_neg_7	False
20_cell_neg_8	False
20_cell_neg_9	False
20_cell_neg_10	False
20_cell_neg_11	False
20_cell_neg_12	False
20_cell_neg_13	False
20_cell_neg_14	False
20_cell_neg_15	False
20_cell_neg_16	False
20_cell_neg_17	False
20_cell_neg_18	False
20_cell_neg_19	False
20_cell_neg_20	False
20_cell_neg_21	False
20_cell_neg_22	False
20_cell_neg_23	False
20_cell_neg_24	False
20_cell_neg_25	False
20_cell_neg_26	False
20_cell_neg_27	False
20_cell_neg_28	False
20_cell_neg_29	True
20_cell_neg_30	False
20_cell_neg_31	False
20_cell_neg_32	False
20_cell_neg_33	True
20_cell_neg_34	False
20_cell_neg_35	False
5_cell_pos_1	False
5_cell_pos_2	False
5_cell_pos_3	False
5_cell_pos_4	False
5_cell_pos_5	False
5_cell_pos_6	False
5_cell_pos_7	False
5_cell_pos_8	False
5_cell_pos_9	False
5_cell_pos_10	False
5_cell_pos_11	False
5_cell_pos_12	False
5_cell_pos_13	False
5_cell_pos_14	False
5_cell_pos_15	False
5_cell_pos_16	False
5_cell_pos_17	False
5_cell_pos_18	False
5_cell_pos_19	False
5_cell_pos_20	False
5_cell_pos_21	False
5_cell_pos_22	False
5_cell_pos_23	False
5_cell_pos_24	False
5_cell_pos_25	False
5_cell_pos_26	False
5_cell_pos_27	False
5_cell_pos_28	False
5_cell_pos_29	False
5_cell_pos_30	False
5_cell_pos_31	False
5_cell_pos_32	False
5_cell_pos_33	True
5_cell_pos_34	False
5_cell_pos_35	False
5_cell_pos_36	False
5_cell_pos_37	False
5_cell_pos_38	False
5_cell_pos_39	False
5_cell_pos_40	False
5_cell_pos_41	False
5_cell_pos_42	False
5_cell_pos_43	False
5_cell_pos_44	False
5_cell_pos_45	False
5_cell_pos_46	False
5_cell_pos_47	False
5_cell_pos_48	False
5_cell_pos_49	False
5_cell_pos_50	False
5_cell_pos_51	False
5_cell_pos_52	False
5_cell_pos_53	True
5_cell_pos_54	False
5_cell_pos_55	False
5_cell_pos_56	False
5_cell_pos_57	False
5_cell_pos_58	False
5_cell_pos_59	False
5_cell_pos_60	False
5_cell_pos_61	False
5_cell_pos_62	False
5_cell_pos_63	False
5_cell_pos_64	False
5_cell_pos_65	True
5_cell_pos_66	False
5_cell_pos_67	False
5_cell_pos_68	False
5_cell_pos_69	False
5_cell_pos_70	False
5_cell_pos_71	False
5_cell_pos_72	False
5_cell_pos_73	False
5_cell_pos_74	False
5_cell_pos_75	False
5_cell_pos_76	False
5_cell_pos_77	False
5_cell_pos_78	False
5_cell_pos_79	False
5_cell_pos_80	False
5_cell_pos_81	True
5_cell_pos_82	False
5_cell_pos_83	False
5_cell_pos_84	False
5_cell_pos_85	False
5_cell_pos_86	False
5_cell_pos_87	False
5_cell_pos_88	False
5_cell_pos_89	False
5_cell_pos_90	False
5_cell_pos_91	False
5_cell_pos_92	False
5_cell_pos_93	False
5_cell_pos_94	False
5_cell_pos_95	False
5_cell_pos_96	False
5_cell_pos_97	False
5_cell_pos_98	False
5_cell_pos_99	False
5_cell_pos_100	False
5_cell_pos_101	False
5_cell_pos_102	False
5_cell_pos_103	False
5_cell_pos_104	False
5_cell_pos_105	False
5_cell_pos_106	False
5_cell_pos_107	False
5_cell_pos_108	False
5_cell_pos_109	False
5_cell_pos_110	False
5_cell_pos_111	False
5_cell_pos_112	False
5_cell_pos_113	False
5_cell_pos_114	False
5_cell_pos_115	False
5_cell_pos_116	False
5_cell_pos_117	False
5_cell_pos_118	False
5_cell_pos_119	False
5_cell_pos_120	False
5_cell_pos_121	True
5_cell_pos_122	False
5_cell_pos_123	False
5_cell_pos_124	False
5_cell_pos_125	False
5_cell_pos_126	True
5_cell_pos_127	False
5_cell_pos_128	False
5_cell_pos_129	False
5_cell_pos_130	False
5_cell_pos_131	False
5_cell_pos_132	False
5_cell_pos_133	False
5_cell_pos_134	False
5_cell_pos_135	False
5_cell_pos_136	False
5_cell_pos_137	False
5_cell_pos_138	False
5_cell_pos_139	False
5_cell_pos_140	False
11_kitchen_pos_1	True
11_kitchen_pos_2	False
11_kitchen_pos_3	False
11_kitchen_pos_4	False
11_kitchen_pos_5	False
11_kitchen_pos_6	False
11_kitchen_pos_7	False
11_kitchen_pos_8	False
11_kitchen_pos_9	False
11_kitchen_pos_10	False
11_kitchen_pos_11	False
11_kitchen_pos_12	False
11_kitchen_pos_13	False
11_kitchen_pos_14	False
11_kitchen_pos_15	False
11_kitchen_pos_16	True
11_kitchen_pos_17	False
11_kitchen_pos_18	False
11_kitchen_pos_19	False
11_kitchen_pos_20	False
11_kitchen_pos_21	False
11_kitchen_pos_22	False
11_kitchen_pos_23	False
11_kitchen_pos_24	False
11_kitchen_pos_25	False
11_kitchen_pos_26	False
11_kitchen_pos_27	False
11_kitchen_pos_28	False
11_kitchen_pos_29	False
11_kitchen_pos_30	False
11_kitchen_pos_31	False
11_kitchen_pos_32	False
11_kitchen_pos_33	False
11_kitchen_pos_34	False
11_kitchen_pos_35	False
11_kitchen_pos_36	False
11_kitchen_pos_37	False
11_kitchen_pos_38	False
11_kitchen_pos_39	False
11_kitchen_pos_40	False
11_kitchen_pos_41	False
11_kitchen_pos_42	False
11_kitchen_pos_43	False
11_kitchen_pos_44	False
11_kitchen_pos_45	False
11_kitchen_pos_46	False
11_kitchen_pos_47	False
11_kitchen_pos_48	False
11_kitchen_pos_49	False
11_kitchen_pos_50	False
11_kitchen_pos_51	False
11_kitchen_pos_52	False
11_kitchen_pos_53	False
11_kitchen_pos_54	False
11_kitchen_pos_55	False
11_kitchen_pos_56	False
11_kitchen_pos_57	False
11_kitchen_pos_58	False
11_kitchen_pos_59	False
11_kitchen_pos_60	False
11_kitchen_pos_61	False
11_kitchen_pos_62	False
11_kitchen_pos_63	False
11_kitchen_pos_64	False
11_kitchen_pos_65	False
11_kitchen_pos_66	False
11_kitchen_pos_67	False
7_kitchen_neg_1	False
7_kitchen_neg_2	False
7_kitchen_neg_3	False
7_kitchen_neg_4	False
7_kitchen_neg_5	False
7_kitchen_neg_6	False
7_kitchen_neg_7	False
7_kitchen_neg_8	False
7_kitchen_neg_9	False
7_kitchen_neg_10	False
7_kitchen_neg_11	False
7_kitchen_neg_12	False
7_kitchen_neg_13	False
7_kitchen_neg_14	False
7_kitchen_neg_15	False
