20_cell_neg_1	20_cell_neg_0
20_cell_neg_2	20_cell_neg_1
20_cell_neg_3	20_cell_neg_2
20_cell_neg_4	20_cell_neg_3
20_cell_neg_5	20_cell_neg_4
20_cell_neg_6	20_cell_neg_5
20_cell_neg_7	20_cell_neg_6
20_cell_neg_8	20_cell_neg_7
20_cell_neg_9	20_cell_neg_8
20_cell_neg_10	20_cell_neg_9
20_cell_neg_11	20_cell_neg_10
20_cell_neg_12	20_cell_neg_11
20_cell_neg_13	20_cell_neg_12
20_cell_neg_14	20_cell_neg_13
20_cell_neg_15	20_cell_neg_14
20_cell_neg_16	20_cell_neg_15
20_cell_neg_17	20_cell_neg_16
20_cell_neg_18	20_cell_neg_17
20_cell_neg_19	20_cell_neg_18
20_cell_neg_20	20_cell_neg_19
20_cell_neg_21	20_cell_neg_20
20_cell_neg_22	20_cell_neg_21
20_cell_neg_23	20_cell_neg_22
20_cell_neg_24	20_cell_neg_23
20_cell_neg_25	20_cell_neg_24
20_cell_neg_26	20_cell_neg_25
20_cell_neg_27	20_cell_neg_26
20_cell_neg_28	20_cell_neg_27
20_cell_neg_29	20_cell_neg_28
20_cell_neg_30	20_cell_neg_29
20_cell_neg_31	20_cell_neg_30
20_cell_neg_32	20_cell_neg_31
20_cell_neg_33	20_cell_neg_32
20_cell_neg_34	20_cell_neg_33
20_cell_neg_35	20_cell_neg_34
