17_cell_neg_1	17_cell_neg_0
17_cell_neg_2	17_cell_neg_1
17_cell_neg_3	17_cell_neg_2
17_cell_neg_4	17_cell_neg_3
17_cell_neg_5	17_cell_neg_4
17_cell_neg_6	17_cell_neg_5
17_cell_neg_7	17_cell_neg_6
17_cell_neg_8	17_cell_neg_7
17_cell_neg_9	17_cell_neg_8
17_cell_neg_10	17_cell_neg_9
17_cell_neg_11	17_cell_neg_10
17_cell_neg_12	17_cell_neg_11
17_cell_neg_13	17_cell_neg_12
17_cell_neg_14	17_cell_neg_13
17_cell_neg_15	17_cell_neg_14
17_cell_neg_16	17_cell_neg_15
17_cell_neg_17	17_cell_neg_16
17_cell_neg_18	17_cell_neg_17
17_cell_neg_19	17_cell_neg_18
17_cell_neg_20	17_cell_neg_19
17_cell_neg_21	17_cell_neg_20
17_cell_neg_22	17_cell_neg_21
17_cell_neg_23	17_cell_neg_22
17_cell_neg_24	17_cell_neg_23
17_cell_neg_25	17_cell_neg_24
17_cell_neg_26	17_cell_neg_25
17_cell_neg_27	17_cell_neg_26
17_cell_neg_28	17_cell_neg_27
17_cell_neg_29	17_cell_neg_28
17_cell_neg_30	17_cell_neg_29
17_cell_neg_31	17_cell_neg_30
17_cell_neg_32	17_cell_neg_31
17_cell_neg_33	17_cell_neg_32
17_cell_neg_34	17_cell_neg_33
17_cell_neg_35	17_cell_neg_34
17_cell_neg_36	17_cell_neg_35
17_cell_neg_37	17_cell_neg_36
17_cell_neg_38	17_cell_neg_37
17_cell_neg_39	17_cell_neg_38
17_cell_neg_40	17_cell_neg_39
17_cell_neg_41	17_cell_neg_40
17_cell_neg_42	17_cell_neg_41
17_cell_neg_43	17_cell_neg_42
17_cell_neg_44	17_cell_neg_43
17_cell_neg_45	17_cell_neg_44
17_cell_neg_46	17_cell_neg_45
17_cell_neg_47	17_cell_neg_46
17_cell_neg_48	17_cell_neg_47
