10_cell_neg_3	10_cell_neg_4
10_cell_neg_4	10_cell_neg_5
10_cell_neg_21	10_cell_neg_22
10_cell_neg_22	10_cell_neg_23
10_cell_neg_28	10_cell_neg_29
10_cell_neg_29	10_cell_neg_30
10_cell_neg_30	10_cell_neg_31
10_cell_neg_31	10_cell_neg_32
10_cell_neg_32	10_cell_neg_33
10_cell_neg_33	10_cell_neg_34
10_cell_neg_34	10_cell_neg_35
10_cell_neg_35	10_cell_neg_36
10_cell_neg_36	10_cell_neg_37
10_cell_neg_37	10_cell_neg_38
10_cell_neg_38	10_cell_neg_39
10_cell_neg_39	10_cell_neg_40
10_cell_neg_40	10_cell_neg_41
10_cell_neg_41	10_cell_neg_42
6_cell_neg_12	6_cell_neg_13
6_cell_neg_13	6_cell_neg_14
6_cell_neg_14	6_cell_neg_15
6_cell_neg_15	6_cell_neg_16
6_cell_neg_16	6_cell_neg_17
6_cell_neg_22	6_cell_neg_23
6_cell_neg_23	6_cell_neg_24
6_cell_neg_24	6_cell_neg_25
6_cell_neg_25	6_cell_neg_26
6_cell_neg_26	6_cell_neg_27
6_cell_neg_27	6_cell_neg_28
6_cell_neg_28	6_cell_neg_29
6_cell_neg_29	6_cell_neg_30
6_cell_neg_44	6_cell_neg_45
6_cell_neg_45	6_cell_neg_46
6_cell_neg_46	6_cell_neg_47
6_cell_neg_47	6_cell_neg_48
6_cell_neg_48	6_cell_neg_49
6_cell_neg_49	6_cell_neg_50
6_cell_neg_50	6_cell_neg_51
6_cell_neg_51	6_cell_neg_52
6_cell_neg_52	6_cell_neg_53
6_cell_neg_53	6_cell_neg_54
6_cell_neg_54	6_cell_neg_55
6_cell_neg_55	6_cell_neg_56
6_cell_neg_56	6_cell_neg_57
6_cell_neg_57	6_cell_neg_58
6_cell_neg_58	6_cell_neg_59
6_cell_neg_59	6_cell_neg_60
6_cell_neg_60	6_cell_neg_61
6_cell_neg_61	6_cell_neg_62
6_cell_neg_70	6_cell_neg_71
6_cell_neg_71	6_cell_neg_72
14_cell_pos_13	14_cell_pos_14
14_cell_pos_14	14_cell_pos_15
14_cell_pos_15	14_cell_pos_16
14_cell_pos_16	14_cell_pos_17
14_cell_pos_17	14_cell_pos_18
14_cell_pos_29	14_cell_pos_30
14_cell_pos_34	14_cell_pos_35
14_cell_pos_35	14_cell_pos_36
14_cell_pos_40	14_cell_pos_41
14_cell_pos_76	14_cell_pos_77
2_cell_pos_7	2_cell_pos_8
2_cell_pos_8	2_cell_pos_9
2_cell_pos_9	2_cell_pos_10
2_cell_pos_10	2_cell_pos_11
2_cell_pos_11	2_cell_pos_12
2_cell_pos_12	2_cell_pos_13
2_cell_pos_13	2_cell_pos_14
2_cell_pos_14	2_cell_pos_15
2_cell_pos_15	2_cell_pos_16
2_cell_pos_16	2_cell_pos_17
2_cell_pos_17	2_cell_pos_18
2_cell_pos_18	2_cell_pos_19
2_cell_pos_19	2_cell_pos_20
2_cell_pos_20	2_cell_pos_21
2_cell_pos_21	2_cell_pos_22
2_cell_pos_24	2_cell_pos_25
2_cell_pos_25	2_cell_pos_26
2_cell_pos_26	2_cell_pos_27
2_cell_pos_27	2_cell_pos_28
2_cell_pos_28	2_cell_pos_29
2_cell_pos_32	2_cell_pos_33
2_cell_pos_33	2_cell_pos_34
2_cell_pos_34	2_cell_pos_35
2_cell_pos_54	2_cell_pos_55
2_cell_pos_55	2_cell_pos_56
2_cell_pos_65	2_cell_pos_66
2_cell_pos_66	2_cell_pos_67
2_cell_pos_67	2_cell_pos_68
2_cell_pos_68	2_cell_pos_69
2_cell_pos_69	2_cell_pos_70
2_cell_pos_70	2_cell_pos_71
2_cell_pos_71	2_cell_pos_72
2_cell_pos_72	2_cell_pos_73
2_cell_pos_73	2_cell_pos_74
2_cell_pos_74	2_cell_pos_75
2_cell_pos_75	2_cell_pos_76
2_cell_pos_76	2_cell_pos_77
2_cell_pos_77	2_cell_pos_78
2_cell_pos_78	2_cell_pos_79
2_cell_pos_79	2_cell_pos_80
2_cell_pos_80	2_cell_pos_81
2_cell_pos_81	2_cell_pos_82
2_cell_pos_82	2_cell_pos_83
2_cell_pos_83	2_cell_pos_84
2_cell_pos_84	2_cell_pos_85
2_cell_pos_85	2_cell_pos_86
2_cell_pos_86	2_cell_pos_87
2_cell_pos_87	2_cell_pos_88
2_cell_pos_88	2_cell_pos_89
2_cell_pos_89	2_cell_pos_90
2_cell_pos_90	2_cell_pos_91
2_cell_pos_91	2_cell_pos_92
2_cell_pos_92	2_cell_pos_93
2_cell_pos_93	2_cell_pos_94
2_cell_pos_94	2_cell_pos_95
2_cell_pos_95	2_cell_pos_96
2_cell_pos_96	2_cell_pos_97
2_cell_pos_97	2_cell_pos_98
2_cell_pos_98	2_cell_pos_99
2_cell_pos_99	2_cell_pos_100
2_cell_pos_100	2_cell_pos_101
2_cell_pos_101	2_cell_pos_102
2_cell_pos_102	2_cell_pos_103
2_cell_pos_103	2_cell_pos_104
2_cell_pos_104	2_cell_pos_105
2_cell_pos_105	2_cell_pos_106
2_cell_pos_106	2_cell_pos_107
2_cell_pos_107	2_cell_pos_108
2_cell_pos_108	2_cell_pos_109
2_cell_pos_109	2_cell_pos_110
2_cell_pos_110	2_cell_pos_111
2_cell_pos_111	2_cell_pos_112
2_cell_pos_112	2_cell_pos_113
2_cell_pos_113	2_cell_pos_114
2_cell_pos_114	2_cell_pos_115
2_cell_pos_115	2_cell_pos_116
2_cell_pos_116	2_cell_pos_117
2_cell_pos_117	2_cell_pos_118
2_cell_pos_118	2_cell_pos_119
2_cell_pos_119	2_cell_pos_120
2_cell_pos_120	2_cell_pos_121
2_cell_pos_121	2_cell_pos_122
2_cell_pos_122	2_cell_pos_123
2_cell_pos_123	2_cell_pos_124
2_cell_pos_124	2_cell_pos_125
2_cell_pos_125	2_cell_pos_126
2_cell_pos_126	2_cell_pos_127
2_cell_pos_127	2_cell_pos_128
2_cell_pos_128	2_cell_pos_129
2_cell_pos_129	2_cell_pos_130
2_cell_pos_130	2_cell_pos_131
2_cell_pos_131	2_cell_pos_132
2_cell_pos_132	2_cell_pos_133
2_cell_pos_133	2_cell_pos_134
2_cell_pos_134	2_cell_pos_135
2_cell_pos_135	2_cell_pos_136
2_cell_pos_136	2_cell_pos_137
2_cell_pos_137	2_cell_pos_138
2_cell_pos_138	2_cell_pos_139
2_cell_pos_139	2_cell_pos_140
2_cell_pos_140	2_cell_pos_141
2_cell_pos_141	2_cell_pos_142
2_cell_pos_142	2_cell_pos_143
13_gourmet_neg_15	13_gourmet_neg_16
13_gourmet_neg_16	13_gourmet_neg_17
13_gourmet_neg_17	13_gourmet_neg_18
13_gourmet_neg_20	13_gourmet_neg_21
7_gourmet_neg_4	7_gourmet_neg_5
7_gourmet_neg_9	7_gourmet_neg_10
7_gourmet_neg_10	7_gourmet_neg_11
7_gourmet_neg_11	7_gourmet_neg_12
7_gourmet_neg_12	7_gourmet_neg_13
7_gourmet_neg_13	7_gourmet_neg_14
7_gourmet_neg_14	7_gourmet_neg_15
7_gourmet_neg_15	7_gourmet_neg_16
7_gourmet_neg_16	7_gourmet_neg_17
7_gourmet_neg_17	7_gourmet_neg_18
7_gourmet_neg_20	7_gourmet_neg_21
7_gourmet_neg_21	7_gourmet_neg_22
7_gourmet_neg_22	7_gourmet_neg_23
13_gourmet_pos_3	13_gourmet_pos_4
13_gourmet_pos_4	13_gourmet_pos_5
13_gourmet_pos_9	13_gourmet_pos_10
13_gourmet_pos_10	13_gourmet_pos_11
13_gourmet_pos_11	13_gourmet_pos_12
13_gourmet_pos_22	13_gourmet_pos_23
13_gourmet_pos_23	13_gourmet_pos_24
13_gourmet_pos_28	13_gourmet_pos_29
13_gourmet_pos_29	13_gourmet_pos_30
13_gourmet_pos_30	13_gourmet_pos_31
13_gourmet_pos_31	13_gourmet_pos_32
13_gourmet_pos_32	13_gourmet_pos_33
13_gourmet_pos_33	13_gourmet_pos_34
13_gourmet_pos_34	13_gourmet_pos_35
13_gourmet_pos_35	13_gourmet_pos_36
13_gourmet_pos_36	13_gourmet_pos_37
13_gourmet_pos_37	13_gourmet_pos_38
13_gourmet_pos_38	13_gourmet_pos_39
13_gourmet_pos_39	13_gourmet_pos_40
13_gourmet_pos_40	13_gourmet_pos_41
13_gourmet_pos_41	13_gourmet_pos_42
13_gourmet_pos_42	13_gourmet_pos_43
13_gourmet_pos_43	13_gourmet_pos_44
13_gourmet_pos_44	13_gourmet_pos_45
13_gourmet_pos_45	13_gourmet_pos_46
13_gourmet_pos_46	13_gourmet_pos_47
13_gourmet_pos_47	13_gourmet_pos_48
14_gourmet_pos_1	14_gourmet_pos_2
14_gourmet_pos_5	14_gourmet_pos_6
14_gourmet_pos_11	14_gourmet_pos_12
14_gourmet_pos_12	14_gourmet_pos_13
14_gourmet_pos_13	14_gourmet_pos_14
14_gourmet_pos_26	14_gourmet_pos_27
14_gourmet_pos_27	14_gourmet_pos_28
14_gourmet_pos_38	14_gourmet_pos_39
14_gourmet_pos_39	14_gourmet_pos_40
14_gourmet_pos_42	14_gourmet_pos_43
14_gourmet_pos_45	14_gourmet_pos_46
14_gourmet_pos_46	14_gourmet_pos_47
14_gourmet_pos_47	14_gourmet_pos_48
14_gourmet_pos_48	14_gourmet_pos_49
10_kitchen_neg_26	10_kitchen_neg_27
10_kitchen_neg_27	10_kitchen_neg_28
10_kitchen_neg_28	10_kitchen_neg_29
10_kitchen_neg_34	10_kitchen_neg_35
20_kitchen_neg_1	20_kitchen_neg_2
20_kitchen_neg_2	20_kitchen_neg_3
20_kitchen_neg_3	20_kitchen_neg_4
20_kitchen_neg_4	20_kitchen_neg_5
20_kitchen_neg_5	20_kitchen_neg_6
20_kitchen_neg_6	20_kitchen_neg_7
20_kitchen_neg_7	20_kitchen_neg_8
20_kitchen_neg_8	20_kitchen_neg_9
20_kitchen_neg_9	20_kitchen_neg_10
20_kitchen_neg_10	20_kitchen_neg_11
