6_gourmet_pos_1	6_gourmet_pos_2
6_gourmet_pos_2	6_gourmet_pos_3
6_gourmet_pos_3	6_gourmet_pos_4
6_gourmet_pos_4	6_gourmet_pos_5
6_gourmet_pos_5	6_gourmet_pos_6
6_gourmet_pos_6	6_gourmet_pos_7
6_gourmet_pos_7	6_gourmet_pos_8
6_gourmet_pos_8	6_gourmet_pos_9
6_gourmet_pos_9	6_gourmet_pos_10
6_gourmet_pos_10	6_gourmet_pos_11
6_gourmet_pos_11	6_gourmet_pos_12
6_gourmet_pos_12	6_gourmet_pos_13
6_gourmet_pos_13	6_gourmet_pos_14
6_gourmet_pos_14	6_gourmet_pos_15
6_gourmet_pos_15	6_gourmet_pos_16
6_gourmet_pos_16	6_gourmet_pos_17
6_gourmet_pos_17	6_gourmet_pos_18
6_gourmet_pos_18	6_gourmet_pos_19
6_gourmet_pos_19	6_gourmet_pos_20
6_gourmet_pos_20	6_gourmet_pos_21
6_gourmet_pos_21	6_gourmet_pos_22
6_gourmet_pos_22	6_gourmet_pos_23
6_gourmet_pos_23	6_gourmet_pos_24
6_gourmet_pos_24	6_gourmet_pos_25
6_gourmet_pos_25	6_gourmet_pos_26
6_gourmet_pos_26	6_gourmet_pos_27
6_gourmet_pos_27	6_gourmet_pos_28
6_gourmet_pos_28	6_gourmet_pos_29
6_gourmet_pos_29	6_gourmet_pos_30
6_gourmet_pos_30	6_gourmet_pos_31
6_gourmet_pos_31	6_gourmet_pos_32
6_gourmet_pos_32	6_gourmet_pos_33
6_gourmet_pos_33	6_gourmet_pos_34
6_gourmet_pos_34	6_gourmet_pos_35
6_gourmet_pos_35	6_gourmet_pos_36
6_gourmet_pos_37	6_gourmet_pos_38
6_gourmet_pos_38	6_gourmet_pos_39
6_gourmet_pos_39	6_gourmet_pos_40
