17_cell_pos_1	17_cell_pos_0
17_cell_pos_2	17_cell_pos_1
17_cell_pos_3	17_cell_pos_2
17_cell_pos_4	17_cell_pos_3
17_cell_pos_5	17_cell_pos_4
17_cell_pos_6	17_cell_pos_5
17_cell_pos_7	17_cell_pos_6
17_cell_pos_8	17_cell_pos_7
17_cell_pos_9	17_cell_pos_8
17_cell_pos_10	17_cell_pos_9
17_cell_pos_11	17_cell_pos_10
17_cell_pos_12	17_cell_pos_11
17_cell_pos_13	17_cell_pos_12
17_cell_pos_14	17_cell_pos_13
17_cell_pos_15	17_cell_pos_14
17_cell_pos_16	17_cell_pos_15
17_cell_pos_17	17_cell_pos_16
17_cell_pos_18	17_cell_pos_17
17_cell_pos_19	17_cell_pos_18
17_cell_pos_20	17_cell_pos_19
17_cell_pos_21	17_cell_pos_20
17_cell_pos_22	17_cell_pos_21
17_cell_pos_23	17_cell_pos_22
17_cell_pos_24	17_cell_pos_23
17_cell_pos_25	17_cell_pos_24
17_cell_pos_26	17_cell_pos_25
17_cell_pos_27	17_cell_pos_26
17_cell_pos_28	17_cell_pos_27
17_cell_pos_29	17_cell_pos_28
17_cell_pos_30	17_cell_pos_29
17_cell_pos_31	17_cell_pos_30
17_cell_pos_32	17_cell_pos_31
17_cell_pos_33	17_cell_pos_32
17_cell_pos_34	17_cell_pos_33
17_cell_pos_35	17_cell_pos_34
17_cell_pos_36	17_cell_pos_35
17_cell_pos_37	17_cell_pos_36
17_cell_pos_38	17_cell_pos_37
17_cell_pos_39	17_cell_pos_38
17_cell_pos_40	17_cell_pos_39
17_cell_pos_41	17_cell_pos_40
17_cell_pos_42	17_cell_pos_41
17_cell_pos_43	17_cell_pos_42
17_cell_pos_44	17_cell_pos_43
17_cell_pos_45	17_cell_pos_44
17_cell_pos_46	17_cell_pos_45
17_cell_pos_47	17_cell_pos_46
17_cell_pos_48	17_cell_pos_47
17_cell_pos_49	17_cell_pos_48
17_cell_pos_50	17_cell_pos_49
17_cell_pos_51	17_cell_pos_50
17_cell_pos_52	17_cell_pos_51
17_cell_pos_53	17_cell_pos_52
17_cell_pos_54	17_cell_pos_53
17_cell_pos_55	17_cell_pos_54
17_cell_pos_56	17_cell_pos_55
17_cell_pos_57	17_cell_pos_56
17_cell_pos_58	17_cell_pos_57
17_cell_pos_59	17_cell_pos_58
17_cell_pos_60	17_cell_pos_59
17_cell_pos_61	17_cell_pos_60
17_cell_pos_62	17_cell_pos_61
17_cell_pos_63	17_cell_pos_62
17_cell_pos_64	17_cell_pos_63
17_cell_pos_65	17_cell_pos_64
17_cell_pos_66	17_cell_pos_65
17_cell_pos_67	17_cell_pos_66
17_cell_pos_68	17_cell_pos_67
17_cell_pos_69	17_cell_pos_68
17_cell_pos_70	17_cell_pos_69
17_cell_pos_71	17_cell_pos_70
17_cell_pos_72	17_cell_pos_71
17_cell_pos_73	17_cell_pos_72
17_cell_pos_74	17_cell_pos_73
