4_cell_pos_1	positive	False	4_cell_pos_0	There are many good reviews on 8525 positive features and most are fairly accurate .
4_cell_pos_2	positive	False	4_cell_pos_1	Lots of good features in the 8525 .
4_cell_pos_3	negative	False	4_cell_pos_2	My intent is to document some
4_cell_pos_4	negative	False	4_cell_pos_3	of the shortcomings of the 8525
4_cell_pos_5	negative	False	4_cell_pos_4	and Windows Mobile OS in the hope that MS and HTC will heed and correct in the future .
4_cell_pos_6	positive	False	4_cell_pos_5	I am a business user
4_cell_pos_7	positive	False	4_cell_pos_6	who wanted to combine my HP IPAQ 1945 and my Motorola V550 Cell phone into one device .
4_cell_pos_8	positive	False	4_cell_pos_7	I use a Motorola H700 headset with my old devices and the 8525 .
4_cell_pos_9	negative	False	4_cell_pos_8	My overall assessment is ;
4_cell_pos_10	negative	False	4_cell_pos_9	Replacing my two 3 year
4_cell_pos_11	negative	False	4_cell_pos_10	old devices resulted in me accepting some compromises
4_cell_pos_12	negative	False	4_cell_pos_11	that I do n't think are necessary in terms of functionality and ease of use .
4_cell_pos_13	positive	False	4_cell_pos_12	All the features I describe below were in the earlier Windows Mobile OS
4_cell_pos_14	positive	False	4_cell_pos_13	used by my IPAQ 1945 or my Motorola flip phone .
4_cell_pos_15	positive	False	4_cell_pos_14	If readers find that there is a way to perform any of the deficiencies
4_cell_pos_16	positive	False	4_cell_pos_15	I describe please let me know .
4_cell_pos_17	positive	False	4_cell_pos_16	My suggestions in rough order of priority :
4_cell_pos_18	negative	False	4_cell_pos_17	1 -RRB- Blue tooth headsets .
4_cell_pos_19	negative	False	4_cell_pos_18	Blue tooth audio should always come through the blue tooth headset regardless of the PDA volume setting .
4_cell_pos_20	negative	False	4_cell_pos_19	To hear my voice commands repeated ,
4_cell_pos_21	negative	False	4_cell_pos_20	I have to turn on the annoying sound of the PDA ,
4_cell_pos_22	negative	True	4_cell_pos_21	so when I voice dial via my Blue tooth headset ,
4_cell_pos_23	negative	False	4_cell_pos_22	I can hear my voice commands
4_cell_pos_24	negative	False	4_cell_pos_23	repeated back .
4_cell_pos_25	positive	False	4_cell_pos_24	I am
4_cell_pos_26	positive	False	4_cell_pos_25	referring to the standard voice dial
4_cell_pos_27	positive	False	4_cell_pos_26	that comes with the 8525 .
4_cell_pos_28	positive	False	4_cell_pos_27	One quick solution would be to tie BT headset to the phone volume setting rather than the PDA .
4_cell_pos_29	positive	False	4_cell_pos_28	Even nicer would be an upgrade
4_cell_pos_30	positive	False	4_cell_pos_29	"that allows full audio with the "" VoiceCommand "" software"
4_cell_pos_31	positive	False	4_cell_pos_30	-LRB- this is documented in many other reviews -RRB- .
4_cell_pos_32	positive	False	4_cell_pos_31	Another nice feature of my Motorola cell phone was as soon as the BT was detected the phone volume
4_cell_pos_33	positive	False	4_cell_pos_32	changed from vibrate
4_cell_pos_34	positive	False	4_cell_pos_33	to audio if it was set to vibrate .
4_cell_pos_35	negative	False	4_cell_pos_34	It changed back to the original audio
4_cell_pos_36	negative	False	4_cell_pos_35	setting after turning off the BT headset .
4_cell_pos_37	negative	True	4_cell_pos_36	1a -RRB- If I request voice dial via my blue tooth headset the screen should ALWAYS display the voice dial page .
4_cell_pos_38	negative	False	4_cell_pos_37	"Instead the initial "" Owner Info "" page stays up"
4_cell_pos_39	negative	False	4_cell_pos_38	and you ca n't see the name on the screen unless you reach down
4_cell_pos_40	negative	False	4_cell_pos_39	and tap the screen .
4_cell_pos_41	negative	False	4_cell_pos_40	Not desirable
4_cell_pos_42	negative	False	4_cell_pos_41	when driving .
4_cell_pos_43	negative	False	4_cell_pos_42	If you did n't set the PDA to its annoying noise level you ca n't hear the name
4_cell_pos_44	negative	False	4_cell_pos_43	you requested
4_cell_pos_45	positive	False	4_cell_pos_44	either .
4_cell_pos_46	negative	False	4_cell_pos_45	2 -RRB- Need
4_cell_pos_47	negative	False	4_cell_pos_46	to be able to control the PDA and phone volume independently for Audio , Vibrate or OFF .
4_cell_pos_48	negative	False	4_cell_pos_47	For example need to be able to tie turn up the phone volume while keeping the PDA volume setting on OFF or vibrate .
4_cell_pos_49	negative	False	4_cell_pos_48	3 -RRB- Need
4_cell_pos_50	negative	False	4_cell_pos_49	to be able
4_cell_pos_51	negative	False	4_cell_pos_50	to program how long the display stays on .
4_cell_pos_52	negative	False	4_cell_pos_51	I am constantly groping to find the power button on the side to keep the display on as it turns off
4_cell_pos_53	negative	False	4_cell_pos_52	when I need
4_cell_pos_54	negative	False	4_cell_pos_53	to see something .
