2_cell_neg_4	2_cell_neg_5
2_cell_neg_5	2_cell_neg_6
2_cell_neg_19	2_cell_neg_20
2_cell_neg_44	2_cell_neg_45
2_cell_neg_72	2_cell_neg_73
2_cell_neg_86	2_cell_neg_87
2_cell_neg_87	2_cell_neg_88
2_cell_neg_89	2_cell_neg_90
9_cell_neg_25	9_cell_neg_26
9_cell_neg_49	9_cell_neg_50
9_cell_neg_64	9_cell_neg_65
11_cell_pos_12	11_cell_pos_13
11_cell_pos_22	11_cell_pos_23
11_cell_pos_36	11_cell_pos_37
15_cell_pos_50	15_cell_pos_51
15_cell_pos_80	15_cell_pos_81
18_gourmet_pos_18	18_gourmet_pos_19
11_kitchen_neg_2	11_kitchen_neg_3
11_kitchen_neg_17	11_kitchen_neg_18
11_kitchen_neg_48	11_kitchen_neg_49
16_kitchen_neg_5	16_kitchen_neg_6
