6_cell_pos_1	6_cell_pos_0
6_cell_pos_2	6_cell_pos_1
6_cell_pos_3	6_cell_pos_2
6_cell_pos_4	6_cell_pos_3
6_cell_pos_5	6_cell_pos_4
6_cell_pos_6	6_cell_pos_5
6_cell_pos_7	6_cell_pos_6
6_cell_pos_8	6_cell_pos_7
6_cell_pos_9	6_cell_pos_8
6_cell_pos_10	6_cell_pos_9
6_cell_pos_11	6_cell_pos_10
6_cell_pos_12	6_cell_pos_11
6_cell_pos_13	6_cell_pos_12
6_cell_pos_14	6_cell_pos_13
6_cell_pos_15	6_cell_pos_14
6_cell_pos_16	6_cell_pos_15
6_cell_pos_17	6_cell_pos_16
6_cell_pos_18	6_cell_pos_17
6_cell_pos_19	6_cell_pos_18
6_cell_pos_20	6_cell_pos_19
6_cell_pos_21	6_cell_pos_20
6_cell_pos_22	6_cell_pos_21
6_cell_pos_23	6_cell_pos_22
6_cell_pos_24	6_cell_pos_23
6_cell_pos_25	6_cell_pos_24
6_cell_pos_26	6_cell_pos_25
6_cell_pos_27	6_cell_pos_26
6_cell_pos_28	6_cell_pos_27
6_cell_pos_29	6_cell_pos_28
6_cell_pos_30	6_cell_pos_29
6_cell_pos_31	6_cell_pos_30
6_cell_pos_32	6_cell_pos_31
6_cell_pos_33	6_cell_pos_32
6_cell_pos_34	6_cell_pos_33
6_cell_pos_35	6_cell_pos_34
6_cell_pos_36	6_cell_pos_35
6_cell_pos_37	6_cell_pos_36
6_cell_pos_38	6_cell_pos_37
6_cell_pos_39	6_cell_pos_38
6_cell_pos_40	6_cell_pos_39
6_cell_pos_41	6_cell_pos_40
6_cell_pos_42	6_cell_pos_41
6_cell_pos_43	6_cell_pos_42
6_cell_pos_44	6_cell_pos_43
6_cell_pos_45	6_cell_pos_44
6_cell_pos_46	6_cell_pos_45
6_cell_pos_47	6_cell_pos_46
6_cell_pos_48	6_cell_pos_47
6_cell_pos_49	6_cell_pos_48
6_cell_pos_50	6_cell_pos_49
6_cell_pos_51	6_cell_pos_50
6_cell_pos_52	6_cell_pos_51
6_cell_pos_53	6_cell_pos_52
6_cell_pos_54	6_cell_pos_53
6_cell_pos_55	6_cell_pos_54
6_cell_pos_56	6_cell_pos_55
6_cell_pos_57	6_cell_pos_56
6_cell_pos_58	6_cell_pos_57
6_cell_pos_59	6_cell_pos_58
6_cell_pos_60	6_cell_pos_59
6_cell_pos_61	6_cell_pos_60
6_cell_pos_62	6_cell_pos_61
6_cell_pos_63	6_cell_pos_62
6_cell_pos_64	6_cell_pos_63
6_cell_pos_65	6_cell_pos_64
6_cell_pos_66	6_cell_pos_65
6_cell_pos_67	6_cell_pos_66
6_cell_pos_68	6_cell_pos_67
6_cell_pos_69	6_cell_pos_68
6_cell_pos_70	6_cell_pos_69
6_cell_pos_71	6_cell_pos_70
6_cell_pos_72	6_cell_pos_71
6_cell_pos_73	6_cell_pos_72
6_cell_pos_74	6_cell_pos_73
6_cell_pos_75	6_cell_pos_74
6_cell_pos_76	6_cell_pos_75
6_cell_pos_77	6_cell_pos_76
6_cell_pos_78	6_cell_pos_77
6_cell_pos_79	6_cell_pos_78
6_cell_pos_80	6_cell_pos_79
6_cell_pos_81	6_cell_pos_80
6_cell_pos_82	6_cell_pos_81
6_cell_pos_83	6_cell_pos_82
6_cell_pos_84	6_cell_pos_83
6_cell_pos_85	6_cell_pos_84
6_cell_pos_86	6_cell_pos_85
6_cell_pos_87	6_cell_pos_86
6_cell_pos_88	6_cell_pos_87
6_cell_pos_89	6_cell_pos_88
6_cell_pos_90	6_cell_pos_89
6_cell_pos_91	6_cell_pos_90
6_cell_pos_92	6_cell_pos_91
6_cell_pos_93	6_cell_pos_92
6_cell_pos_94	6_cell_pos_93
6_cell_pos_95	6_cell_pos_94
