4_gourmet_neg_1	4_gourmet_neg_0
4_gourmet_neg_2	4_gourmet_neg_1
4_gourmet_neg_3	4_gourmet_neg_2
4_gourmet_neg_4	4_gourmet_neg_3
4_gourmet_neg_5	4_gourmet_neg_4
4_gourmet_neg_6	4_gourmet_neg_5
4_gourmet_neg_7	4_gourmet_neg_6
4_gourmet_neg_8	4_gourmet_neg_7
4_gourmet_neg_9	4_gourmet_neg_8
4_gourmet_neg_10	4_gourmet_neg_9
4_gourmet_neg_11	4_gourmet_neg_10
4_gourmet_neg_12	4_gourmet_neg_11
4_gourmet_neg_13	4_gourmet_neg_12
4_gourmet_neg_14	4_gourmet_neg_13
4_gourmet_neg_15	4_gourmet_neg_14
4_gourmet_neg_16	4_gourmet_neg_15
4_gourmet_neg_17	4_gourmet_neg_16
4_gourmet_neg_18	4_gourmet_neg_17
4_gourmet_neg_19	4_gourmet_neg_18
4_gourmet_neg_20	4_gourmet_neg_19
4_gourmet_neg_21	4_gourmet_neg_20
4_gourmet_neg_22	4_gourmet_neg_21
4_gourmet_neg_23	4_gourmet_neg_22
4_gourmet_neg_24	4_gourmet_neg_23
4_gourmet_neg_25	4_gourmet_neg_24
4_gourmet_neg_26	4_gourmet_neg_25
4_gourmet_neg_27	4_gourmet_neg_26
4_gourmet_neg_28	4_gourmet_neg_27
4_gourmet_neg_29	4_gourmet_neg_28
4_gourmet_neg_30	4_gourmet_neg_29
4_gourmet_neg_31	4_gourmet_neg_30
4_gourmet_neg_32	4_gourmet_neg_31
4_gourmet_neg_33	4_gourmet_neg_32
4_gourmet_neg_34	4_gourmet_neg_33
4_gourmet_neg_35	4_gourmet_neg_34
4_gourmet_neg_36	4_gourmet_neg_35
4_gourmet_neg_37	4_gourmet_neg_36
4_gourmet_neg_38	4_gourmet_neg_37
