8_gourmet_pos_1	8_gourmet_pos_0
8_gourmet_pos_2	8_gourmet_pos_1
8_gourmet_pos_3	8_gourmet_pos_2
8_gourmet_pos_4	8_gourmet_pos_3
8_gourmet_pos_5	8_gourmet_pos_4
8_gourmet_pos_6	8_gourmet_pos_5
8_gourmet_pos_7	8_gourmet_pos_6
8_gourmet_pos_8	8_gourmet_pos_7
8_gourmet_pos_9	8_gourmet_pos_8
8_gourmet_pos_10	8_gourmet_pos_9
8_gourmet_pos_11	8_gourmet_pos_10
8_gourmet_pos_12	8_gourmet_pos_11
8_gourmet_pos_13	8_gourmet_pos_12
8_gourmet_pos_14	8_gourmet_pos_13
8_gourmet_pos_15	8_gourmet_pos_14
8_gourmet_pos_16	8_gourmet_pos_15
8_gourmet_pos_17	8_gourmet_pos_16
8_gourmet_pos_18	8_gourmet_pos_17
8_gourmet_pos_19	8_gourmet_pos_18
8_gourmet_pos_20	8_gourmet_pos_19
8_gourmet_pos_21	8_gourmet_pos_20
8_gourmet_pos_22	8_gourmet_pos_21
8_gourmet_pos_23	8_gourmet_pos_22
8_gourmet_pos_24	8_gourmet_pos_23
8_gourmet_pos_25	8_gourmet_pos_24
8_gourmet_pos_26	8_gourmet_pos_25
8_gourmet_pos_27	8_gourmet_pos_26
8_gourmet_pos_28	8_gourmet_pos_27
8_gourmet_pos_29	8_gourmet_pos_28
8_gourmet_pos_30	8_gourmet_pos_29
8_gourmet_pos_31	8_gourmet_pos_30
8_gourmet_pos_32	8_gourmet_pos_31
8_gourmet_pos_33	8_gourmet_pos_32
8_gourmet_pos_34	8_gourmet_pos_33
8_gourmet_pos_35	8_gourmet_pos_34
8_gourmet_pos_36	8_gourmet_pos_35
8_gourmet_pos_37	8_gourmet_pos_36
8_gourmet_pos_38	8_gourmet_pos_37
8_gourmet_pos_39	8_gourmet_pos_38
8_gourmet_pos_40	8_gourmet_pos_39
8_gourmet_pos_41	8_gourmet_pos_40
8_gourmet_pos_42	8_gourmet_pos_41
8_gourmet_pos_43	8_gourmet_pos_42
8_gourmet_pos_44	8_gourmet_pos_43
8_gourmet_pos_45	8_gourmet_pos_44
8_gourmet_pos_46	8_gourmet_pos_45
8_gourmet_pos_47	8_gourmet_pos_46
8_gourmet_pos_48	8_gourmet_pos_47
8_gourmet_pos_49	8_gourmet_pos_48
8_gourmet_pos_50	8_gourmet_pos_49
8_gourmet_pos_51	8_gourmet_pos_50
8_gourmet_pos_52	8_gourmet_pos_51
8_gourmet_pos_53	8_gourmet_pos_52
8_gourmet_pos_54	8_gourmet_pos_53
8_gourmet_pos_55	8_gourmet_pos_54
8_gourmet_pos_56	8_gourmet_pos_55
8_gourmet_pos_57	8_gourmet_pos_56
8_gourmet_pos_58	8_gourmet_pos_57
8_gourmet_pos_59	8_gourmet_pos_58
8_gourmet_pos_60	8_gourmet_pos_59
8_gourmet_pos_61	8_gourmet_pos_60
8_gourmet_pos_62	8_gourmet_pos_61
