3_gourmet_neg_1	3_gourmet_neg_0
3_gourmet_neg_2	3_gourmet_neg_1
3_gourmet_neg_3	3_gourmet_neg_2
3_gourmet_neg_4	3_gourmet_neg_3
3_gourmet_neg_5	3_gourmet_neg_4
3_gourmet_neg_6	3_gourmet_neg_5
3_gourmet_neg_7	3_gourmet_neg_6
3_gourmet_neg_8	3_gourmet_neg_7
3_gourmet_neg_9	3_gourmet_neg_8
3_gourmet_neg_10	3_gourmet_neg_9
3_gourmet_neg_11	3_gourmet_neg_10
3_gourmet_neg_12	3_gourmet_neg_11
3_gourmet_neg_13	3_gourmet_neg_12
3_gourmet_neg_14	3_gourmet_neg_13
3_gourmet_neg_15	3_gourmet_neg_14
3_gourmet_neg_16	3_gourmet_neg_15
3_gourmet_neg_17	3_gourmet_neg_16
3_gourmet_neg_18	3_gourmet_neg_17
3_gourmet_neg_19	3_gourmet_neg_18
3_gourmet_neg_20	3_gourmet_neg_19
3_gourmet_neg_21	3_gourmet_neg_20
3_gourmet_neg_22	3_gourmet_neg_21
3_gourmet_neg_23	3_gourmet_neg_22
3_gourmet_neg_24	3_gourmet_neg_23
3_gourmet_neg_25	3_gourmet_neg_24
3_gourmet_neg_26	3_gourmet_neg_25
3_gourmet_neg_27	3_gourmet_neg_26
3_gourmet_neg_28	3_gourmet_neg_27
3_gourmet_neg_29	3_gourmet_neg_28
3_gourmet_neg_30	3_gourmet_neg_29
3_gourmet_neg_31	3_gourmet_neg_30
3_gourmet_neg_32	3_gourmet_neg_31
3_gourmet_neg_33	3_gourmet_neg_32
3_gourmet_neg_34	3_gourmet_neg_33
3_gourmet_neg_35	3_gourmet_neg_34
3_gourmet_neg_36	3_gourmet_neg_35
3_gourmet_neg_37	3_gourmet_neg_36
3_gourmet_neg_38	3_gourmet_neg_37
3_gourmet_neg_39	3_gourmet_neg_38
3_gourmet_neg_40	3_gourmet_neg_39
3_gourmet_neg_41	3_gourmet_neg_40
3_gourmet_neg_42	3_gourmet_neg_41
3_gourmet_neg_43	3_gourmet_neg_42
3_gourmet_neg_44	3_gourmet_neg_43
3_gourmet_neg_45	3_gourmet_neg_44
3_gourmet_neg_46	3_gourmet_neg_45
3_gourmet_neg_47	3_gourmet_neg_46
3_gourmet_neg_48	3_gourmet_neg_47
3_gourmet_neg_49	3_gourmet_neg_48
3_gourmet_neg_50	3_gourmet_neg_49
3_gourmet_neg_51	3_gourmet_neg_50
3_gourmet_neg_52	3_gourmet_neg_51
3_gourmet_neg_53	3_gourmet_neg_52
3_gourmet_neg_54	3_gourmet_neg_53
3_gourmet_neg_55	3_gourmet_neg_54
3_gourmet_neg_56	3_gourmet_neg_55
3_gourmet_neg_57	3_gourmet_neg_56
