6_gourmet_neg_1	6_gourmet_neg_2
6_gourmet_neg_2	6_gourmet_neg_3
6_gourmet_neg_3	6_gourmet_neg_4
6_gourmet_neg_4	6_gourmet_neg_5
6_gourmet_neg_5	6_gourmet_neg_6
6_gourmet_neg_6	6_gourmet_neg_7
6_gourmet_neg_7	6_gourmet_neg_8
6_gourmet_neg_8	6_gourmet_neg_9
6_gourmet_neg_9	6_gourmet_neg_10
6_gourmet_neg_10	6_gourmet_neg_11
6_gourmet_neg_11	6_gourmet_neg_12
6_gourmet_neg_13	6_gourmet_neg_14
6_gourmet_neg_14	6_gourmet_neg_15
6_gourmet_neg_15	6_gourmet_neg_16
6_gourmet_neg_16	6_gourmet_neg_17
6_gourmet_neg_17	6_gourmet_neg_18
6_gourmet_neg_18	6_gourmet_neg_19
6_gourmet_neg_19	6_gourmet_neg_20
6_gourmet_neg_20	6_gourmet_neg_21
6_gourmet_neg_21	6_gourmet_neg_22
6_gourmet_neg_22	6_gourmet_neg_23
6_gourmet_neg_23	6_gourmet_neg_24
6_gourmet_neg_24	6_gourmet_neg_25
6_gourmet_neg_25	6_gourmet_neg_26
6_gourmet_neg_26	6_gourmet_neg_27
6_gourmet_neg_27	6_gourmet_neg_28
6_gourmet_neg_28	6_gourmet_neg_29
6_gourmet_neg_29	6_gourmet_neg_30
6_gourmet_neg_30	6_gourmet_neg_31
6_gourmet_neg_31	6_gourmet_neg_32
6_gourmet_neg_32	6_gourmet_neg_33
6_gourmet_neg_33	6_gourmet_neg_34
