14_cell_neg_20	14_cell_neg_21
14_cell_neg_21	14_cell_neg_22
14_cell_neg_22	14_cell_neg_23
14_cell_neg_23	14_cell_neg_24
14_cell_neg_24	14_cell_neg_25
14_cell_neg_25	14_cell_neg_26
14_cell_neg_26	14_cell_neg_27
14_cell_neg_27	14_cell_neg_28
14_cell_neg_28	14_cell_neg_29
14_cell_neg_29	14_cell_neg_30
14_cell_neg_30	14_cell_neg_31
14_cell_neg_31	14_cell_neg_32
14_cell_neg_32	14_cell_neg_33
14_cell_neg_33	14_cell_neg_34
14_cell_neg_34	14_cell_neg_35
14_cell_neg_35	14_cell_neg_36
14_cell_neg_36	14_cell_neg_37
14_cell_neg_37	14_cell_neg_38
14_cell_neg_38	14_cell_neg_39
14_cell_neg_47	14_cell_neg_48
14_cell_neg_48	14_cell_neg_49
4_cell_neg_13	4_cell_neg_14
4_cell_neg_60	4_cell_neg_61
3_cell_pos_16	3_cell_pos_17
3_cell_pos_23	3_cell_pos_24
3_cell_pos_24	3_cell_pos_25
3_cell_pos_61	3_cell_pos_62
3_cell_pos_76	3_cell_pos_77
3_cell_pos_89	3_cell_pos_90
3_cell_pos_90	3_cell_pos_91
3_cell_pos_91	3_cell_pos_92
8_cell_pos_5	8_cell_pos_6
8_cell_pos_6	8_cell_pos_7
8_cell_pos_7	8_cell_pos_8
8_cell_pos_36	8_cell_pos_37
8_cell_pos_37	8_cell_pos_38
8_cell_pos_38	8_cell_pos_39
8_cell_pos_39	8_cell_pos_40
8_cell_pos_40	8_cell_pos_41
8_cell_pos_41	8_cell_pos_42
8_cell_pos_42	8_cell_pos_43
8_cell_pos_43	8_cell_pos_44
8_cell_pos_44	8_cell_pos_45
8_cell_pos_45	8_cell_pos_46
8_cell_pos_46	8_cell_pos_47
8_cell_pos_47	8_cell_pos_48
8_cell_pos_50	8_cell_pos_51
8_cell_pos_51	8_cell_pos_52
8_cell_pos_52	8_cell_pos_53
8_cell_pos_53	8_cell_pos_54
8_cell_pos_54	8_cell_pos_55
8_cell_pos_55	8_cell_pos_56
8_cell_pos_56	8_cell_pos_57
8_cell_pos_57	8_cell_pos_58
8_cell_pos_58	8_cell_pos_59
8_cell_pos_59	8_cell_pos_60
8_cell_pos_60	8_cell_pos_61
8_cell_pos_61	8_cell_pos_62
8_cell_pos_62	8_cell_pos_63
8_cell_pos_63	8_cell_pos_64
8_cell_pos_64	8_cell_pos_65
8_cell_pos_65	8_cell_pos_66
8_cell_pos_66	8_cell_pos_67
