1_gourmet_neg_1	1_gourmet_neg_0
1_gourmet_neg_2	1_gourmet_neg_1
1_gourmet_neg_3	1_gourmet_neg_2
1_gourmet_neg_4	1_gourmet_neg_3
1_gourmet_neg_5	1_gourmet_neg_4
1_gourmet_neg_6	1_gourmet_neg_5
1_gourmet_neg_7	1_gourmet_neg_6
1_gourmet_neg_8	1_gourmet_neg_7
1_gourmet_neg_9	1_gourmet_neg_8
1_gourmet_neg_10	1_gourmet_neg_9
1_gourmet_neg_11	1_gourmet_neg_10
1_gourmet_neg_12	1_gourmet_neg_11
1_gourmet_neg_13	1_gourmet_neg_12
1_gourmet_neg_14	1_gourmet_neg_13
1_gourmet_neg_15	1_gourmet_neg_14
1_gourmet_neg_16	1_gourmet_neg_15
1_gourmet_neg_17	1_gourmet_neg_16
1_gourmet_neg_18	1_gourmet_neg_17
1_gourmet_neg_19	1_gourmet_neg_18
1_gourmet_neg_20	1_gourmet_neg_19
1_gourmet_neg_21	1_gourmet_neg_20
1_gourmet_neg_22	1_gourmet_neg_21
1_gourmet_neg_23	1_gourmet_neg_22
1_gourmet_neg_24	1_gourmet_neg_23
1_gourmet_neg_25	1_gourmet_neg_24
1_gourmet_neg_26	1_gourmet_neg_25
1_gourmet_neg_27	1_gourmet_neg_26
1_gourmet_neg_28	1_gourmet_neg_27
1_gourmet_neg_29	1_gourmet_neg_28
1_gourmet_neg_30	1_gourmet_neg_29
1_gourmet_neg_31	1_gourmet_neg_30
1_gourmet_neg_32	1_gourmet_neg_31
1_gourmet_neg_33	1_gourmet_neg_32
1_gourmet_neg_34	1_gourmet_neg_33
1_gourmet_neg_35	1_gourmet_neg_34
1_gourmet_neg_36	1_gourmet_neg_35
1_gourmet_neg_37	1_gourmet_neg_36
1_gourmet_neg_38	1_gourmet_neg_37
1_gourmet_neg_39	1_gourmet_neg_38
1_gourmet_neg_40	1_gourmet_neg_39
1_gourmet_neg_41	1_gourmet_neg_40
1_gourmet_neg_42	1_gourmet_neg_41
1_gourmet_neg_43	1_gourmet_neg_42
1_gourmet_neg_44	1_gourmet_neg_43
1_gourmet_neg_45	1_gourmet_neg_44
1_gourmet_neg_46	1_gourmet_neg_45
1_gourmet_neg_47	1_gourmet_neg_46
1_gourmet_neg_48	1_gourmet_neg_47
1_gourmet_neg_49	1_gourmet_neg_48
1_gourmet_neg_50	1_gourmet_neg_49
1_gourmet_neg_51	1_gourmet_neg_50
1_gourmet_neg_52	1_gourmet_neg_51
1_gourmet_neg_53	1_gourmet_neg_52
1_gourmet_neg_54	1_gourmet_neg_53
1_gourmet_neg_55	1_gourmet_neg_54
1_gourmet_neg_56	1_gourmet_neg_55
1_gourmet_neg_57	1_gourmet_neg_56
1_gourmet_neg_58	1_gourmet_neg_57
1_gourmet_neg_59	1_gourmet_neg_58
1_gourmet_neg_60	1_gourmet_neg_59
1_gourmet_neg_61	1_gourmet_neg_60
1_gourmet_neg_62	1_gourmet_neg_61
1_gourmet_neg_63	1_gourmet_neg_62
1_gourmet_neg_64	1_gourmet_neg_63
1_gourmet_neg_65	1_gourmet_neg_64
1_gourmet_neg_66	1_gourmet_neg_65
1_gourmet_neg_67	1_gourmet_neg_66
1_gourmet_neg_68	1_gourmet_neg_67
1_gourmet_neg_69	1_gourmet_neg_68
1_gourmet_neg_70	1_gourmet_neg_69
1_gourmet_neg_71	1_gourmet_neg_70
1_gourmet_neg_72	1_gourmet_neg_71
1_gourmet_neg_73	1_gourmet_neg_72
1_gourmet_neg_74	1_gourmet_neg_73
1_gourmet_neg_75	1_gourmet_neg_74
1_gourmet_neg_76	1_gourmet_neg_75
1_gourmet_neg_77	1_gourmet_neg_76
1_gourmet_neg_78	1_gourmet_neg_77
1_gourmet_neg_79	1_gourmet_neg_78
1_gourmet_neg_80	1_gourmet_neg_79
1_gourmet_neg_81	1_gourmet_neg_80
1_gourmet_neg_82	1_gourmet_neg_81
1_gourmet_neg_83	1_gourmet_neg_82
1_gourmet_neg_84	1_gourmet_neg_83
1_gourmet_neg_85	1_gourmet_neg_84
1_gourmet_neg_86	1_gourmet_neg_85
1_gourmet_neg_87	1_gourmet_neg_86
1_gourmet_neg_88	1_gourmet_neg_87
1_gourmet_neg_89	1_gourmet_neg_88
1_gourmet_neg_90	1_gourmet_neg_89
1_gourmet_neg_91	1_gourmet_neg_90
1_gourmet_neg_92	1_gourmet_neg_91
1_gourmet_neg_93	1_gourmet_neg_92
1_gourmet_neg_94	1_gourmet_neg_93
1_gourmet_neg_95	1_gourmet_neg_94
1_gourmet_neg_96	1_gourmet_neg_95
1_gourmet_neg_97	1_gourmet_neg_96
1_gourmet_neg_98	1_gourmet_neg_97
1_gourmet_neg_99	1_gourmet_neg_98
1_gourmet_neg_100	1_gourmet_neg_99
1_gourmet_neg_101	1_gourmet_neg_100
