2_cell_neg_21	2_cell_neg_22
2_cell_neg_22	2_cell_neg_23
2_cell_neg_23	2_cell_neg_24
2_cell_neg_24	2_cell_neg_25
2_cell_neg_29	2_cell_neg_30
2_cell_neg_30	2_cell_neg_31
2_cell_neg_31	2_cell_neg_32
2_cell_neg_63	2_cell_neg_64
2_cell_neg_91	2_cell_neg_92
2_cell_neg_92	2_cell_neg_93
2_cell_neg_93	2_cell_neg_94
2_cell_neg_94	2_cell_neg_95
2_cell_neg_95	2_cell_neg_96
9_cell_neg_3	9_cell_neg_4
11_cell_pos_17	11_cell_pos_18
11_cell_pos_18	11_cell_pos_19
11_cell_pos_23	11_cell_pos_24
11_cell_pos_24	11_cell_pos_25
11_cell_pos_25	11_cell_pos_26
11_cell_pos_26	11_cell_pos_27
11_cell_pos_27	11_cell_pos_28
11_cell_pos_28	11_cell_pos_29
11_cell_pos_29	11_cell_pos_30
11_cell_pos_30	11_cell_pos_31
11_cell_pos_31	11_cell_pos_32
11_cell_pos_32	11_cell_pos_33
11_cell_pos_33	11_cell_pos_34
11_cell_pos_34	11_cell_pos_35
11_cell_pos_35	11_cell_pos_36
11_cell_pos_36	11_cell_pos_37
11_cell_pos_37	11_cell_pos_38
11_cell_pos_55	11_cell_pos_56
11_cell_pos_58	11_cell_pos_59
11_cell_pos_59	11_cell_pos_60
11_cell_pos_60	11_cell_pos_61
11_cell_pos_65	11_cell_pos_66
11_cell_pos_66	11_cell_pos_67
11_cell_pos_67	11_cell_pos_68
11_cell_pos_68	11_cell_pos_69
11_cell_pos_69	11_cell_pos_70
11_cell_pos_70	11_cell_pos_71
15_cell_pos_1	15_cell_pos_2
15_cell_pos_2	15_cell_pos_3
15_cell_pos_10	15_cell_pos_11
15_cell_pos_11	15_cell_pos_12
15_cell_pos_12	15_cell_pos_13
15_cell_pos_13	15_cell_pos_14
15_cell_pos_14	15_cell_pos_15
15_cell_pos_15	15_cell_pos_16
15_cell_pos_16	15_cell_pos_17
15_cell_pos_17	15_cell_pos_18
15_cell_pos_18	15_cell_pos_19
15_cell_pos_19	15_cell_pos_20
15_cell_pos_20	15_cell_pos_21
15_cell_pos_21	15_cell_pos_22
15_cell_pos_22	15_cell_pos_23
15_cell_pos_23	15_cell_pos_24
15_cell_pos_24	15_cell_pos_25
15_cell_pos_25	15_cell_pos_26
15_cell_pos_26	15_cell_pos_27
15_cell_pos_27	15_cell_pos_28
15_cell_pos_28	15_cell_pos_29
15_cell_pos_29	15_cell_pos_30
15_cell_pos_30	15_cell_pos_31
15_cell_pos_31	15_cell_pos_32
15_cell_pos_52	15_cell_pos_53
15_cell_pos_53	15_cell_pos_54
15_cell_pos_54	15_cell_pos_55
15_cell_pos_55	15_cell_pos_56
15_cell_pos_56	15_cell_pos_57
15_cell_pos_57	15_cell_pos_58
15_cell_pos_58	15_cell_pos_59
15_cell_pos_59	15_cell_pos_60
15_cell_pos_60	15_cell_pos_61
15_cell_pos_61	15_cell_pos_62
15_cell_pos_62	15_cell_pos_63
15_cell_pos_63	15_cell_pos_64
15_cell_pos_64	15_cell_pos_65
15_cell_pos_65	15_cell_pos_66
15_cell_pos_66	15_cell_pos_67
15_cell_pos_67	15_cell_pos_68
15_cell_pos_68	15_cell_pos_69
15_cell_pos_69	15_cell_pos_70
15_cell_pos_70	15_cell_pos_71
15_cell_pos_71	15_cell_pos_72
15_cell_pos_72	15_cell_pos_73
