13_kitchen_neg_1	13_kitchen_neg_0
13_kitchen_neg_2	13_kitchen_neg_1
13_kitchen_neg_3	13_kitchen_neg_2
13_kitchen_neg_4	13_kitchen_neg_3
13_kitchen_neg_5	13_kitchen_neg_4
13_kitchen_neg_6	13_kitchen_neg_5
13_kitchen_neg_7	13_kitchen_neg_6
13_kitchen_neg_8	13_kitchen_neg_7
13_kitchen_neg_9	13_kitchen_neg_8
13_kitchen_neg_10	13_kitchen_neg_9
13_kitchen_neg_11	13_kitchen_neg_10
13_kitchen_neg_12	13_kitchen_neg_11
13_kitchen_neg_13	13_kitchen_neg_12
13_kitchen_neg_14	13_kitchen_neg_13
13_kitchen_neg_15	13_kitchen_neg_14
13_kitchen_neg_16	13_kitchen_neg_15
13_kitchen_neg_17	13_kitchen_neg_16
13_kitchen_neg_18	13_kitchen_neg_17
13_kitchen_neg_19	13_kitchen_neg_18
13_kitchen_neg_20	13_kitchen_neg_19
13_kitchen_neg_21	13_kitchen_neg_20
13_kitchen_neg_22	13_kitchen_neg_21
13_kitchen_neg_23	13_kitchen_neg_22
13_kitchen_neg_24	13_kitchen_neg_23
13_kitchen_neg_25	13_kitchen_neg_24
13_kitchen_neg_26	13_kitchen_neg_25
13_kitchen_neg_27	13_kitchen_neg_26
13_kitchen_neg_28	13_kitchen_neg_27
13_kitchen_neg_29	13_kitchen_neg_28
13_kitchen_neg_30	13_kitchen_neg_29
13_kitchen_neg_31	13_kitchen_neg_30
