13_cell_neg_1	13_cell_neg_0
13_cell_neg_2	13_cell_neg_1
13_cell_neg_3	13_cell_neg_2
13_cell_neg_4	13_cell_neg_3
13_cell_neg_5	13_cell_neg_4
13_cell_neg_6	13_cell_neg_5
13_cell_neg_7	13_cell_neg_6
13_cell_neg_8	13_cell_neg_7
13_cell_neg_9	13_cell_neg_8
13_cell_neg_10	13_cell_neg_9
13_cell_neg_11	13_cell_neg_10
13_cell_neg_12	13_cell_neg_11
13_cell_neg_13	13_cell_neg_12
13_cell_neg_14	13_cell_neg_13
13_cell_neg_15	13_cell_neg_14
13_cell_neg_16	13_cell_neg_15
13_cell_neg_17	13_cell_neg_16
13_cell_neg_18	13_cell_neg_17
13_cell_neg_19	13_cell_neg_18
13_cell_neg_20	13_cell_neg_19
13_cell_neg_21	13_cell_neg_20
13_cell_neg_22	13_cell_neg_21
13_cell_neg_23	13_cell_neg_22
13_cell_neg_24	13_cell_neg_23
13_cell_neg_25	13_cell_neg_24
13_cell_neg_26	13_cell_neg_25
13_cell_neg_27	13_cell_neg_26
13_cell_neg_28	13_cell_neg_27
13_cell_neg_29	13_cell_neg_28
13_cell_neg_30	13_cell_neg_29
13_cell_neg_31	13_cell_neg_30
13_cell_neg_32	13_cell_neg_31
13_cell_neg_33	13_cell_neg_32
13_cell_neg_34	13_cell_neg_33
13_cell_neg_35	13_cell_neg_34
13_cell_neg_36	13_cell_neg_35
13_cell_neg_37	13_cell_neg_36
13_cell_neg_38	13_cell_neg_37
13_cell_neg_39	13_cell_neg_38
13_cell_neg_40	13_cell_neg_39
13_cell_neg_41	13_cell_neg_40
13_cell_neg_42	13_cell_neg_41
13_cell_neg_43	13_cell_neg_42
13_cell_neg_44	13_cell_neg_43
13_cell_neg_45	13_cell_neg_44
