10_cell_pos_1	positive
10_cell_pos_2	positive
10_cell_pos_3	negative
10_cell_pos_4	negative
10_cell_pos_5	negative
10_cell_pos_6	negative
10_cell_pos_7	positive
10_cell_pos_8	positive
10_cell_pos_9	positive
10_cell_pos_10	positive
10_cell_pos_11	positive
10_cell_pos_12	positive
10_cell_pos_13	negative
10_cell_pos_14	positive
10_cell_pos_15	positive
10_cell_pos_16	positive
10_cell_pos_17	positive
10_cell_pos_18	positive
10_cell_pos_19	positive
10_cell_pos_20	positive
10_cell_pos_21	negative
10_cell_pos_22	negative
10_cell_pos_23	positive
10_cell_pos_24	positive
10_cell_pos_25	positive
10_cell_pos_26	positive
10_cell_pos_27	negative
10_cell_pos_28	negative
10_cell_pos_29	positive
10_cell_pos_30	positive
10_cell_pos_31	negative
10_cell_pos_32	positive
10_cell_pos_33	positive
10_cell_pos_34	positive
10_cell_pos_35	positive
10_cell_pos_36	positive
10_cell_pos_37	negative
10_cell_pos_38	positive
10_cell_pos_39	positive
10_cell_pos_40	negative
10_cell_pos_41	negative
10_cell_pos_42	negative
10_cell_pos_43	negative
10_cell_pos_44	negative
10_cell_pos_45	negative
10_cell_pos_46	positive
10_cell_pos_47	positive
10_cell_pos_48	positive
10_cell_pos_49	positive
10_cell_pos_50	positive
10_cell_pos_51	positive
10_cell_pos_52	positive
10_cell_pos_53	negative
10_cell_pos_54	negative
10_cell_pos_55	negative
10_cell_pos_56	negative
10_cell_pos_57	positive
10_cell_pos_58	positive
10_cell_pos_59	negative
10_cell_pos_60	negative
10_cell_pos_61	positive
10_cell_pos_62	positive
10_cell_pos_63	negative
10_cell_pos_64	negative
10_cell_pos_65	negative
10_cell_pos_66	negative
10_cell_pos_67	negative
10_cell_pos_68	positive
10_cell_pos_69	positive
10_cell_pos_70	positive
10_cell_pos_71	positive
10_cell_pos_72	positive
10_cell_pos_73	positive
10_cell_pos_74	positive
10_cell_pos_75	positive
10_cell_pos_76	positive
10_cell_pos_77	positive
10_cell_pos_78	positive
10_cell_pos_79	negative
10_cell_pos_80	positive
10_cell_pos_81	positive
10_cell_pos_82	positive
10_cell_pos_83	negative
10_cell_pos_84	negative
10_cell_pos_85	positive
10_cell_pos_86	positive
10_cell_pos_87	positive
