2_kitchen_neg_1	2_kitchen_neg_0
2_kitchen_neg_2	2_kitchen_neg_1
2_kitchen_neg_3	2_kitchen_neg_2
2_kitchen_neg_4	2_kitchen_neg_3
2_kitchen_neg_5	2_kitchen_neg_4
2_kitchen_neg_6	2_kitchen_neg_5
2_kitchen_neg_7	2_kitchen_neg_6
2_kitchen_neg_8	2_kitchen_neg_7
2_kitchen_neg_9	2_kitchen_neg_8
2_kitchen_neg_10	2_kitchen_neg_9
2_kitchen_neg_11	2_kitchen_neg_10
2_kitchen_neg_12	2_kitchen_neg_11
2_kitchen_neg_13	2_kitchen_neg_12
2_kitchen_neg_14	2_kitchen_neg_13
2_kitchen_neg_15	2_kitchen_neg_14
2_kitchen_neg_16	2_kitchen_neg_15
2_kitchen_neg_17	2_kitchen_neg_16
2_kitchen_neg_18	2_kitchen_neg_17
2_kitchen_neg_19	2_kitchen_neg_18
2_kitchen_neg_20	2_kitchen_neg_19
2_kitchen_neg_21	2_kitchen_neg_20
2_kitchen_neg_22	2_kitchen_neg_21
2_kitchen_neg_23	2_kitchen_neg_22
2_kitchen_neg_24	2_kitchen_neg_23
2_kitchen_neg_25	2_kitchen_neg_24
2_kitchen_neg_26	2_kitchen_neg_25
2_kitchen_neg_27	2_kitchen_neg_26
2_kitchen_neg_28	2_kitchen_neg_27
2_kitchen_neg_29	2_kitchen_neg_28
2_kitchen_neg_30	2_kitchen_neg_29
2_kitchen_neg_31	2_kitchen_neg_30
2_kitchen_neg_32	2_kitchen_neg_31
2_kitchen_neg_33	2_kitchen_neg_32
2_kitchen_neg_34	2_kitchen_neg_33
2_kitchen_neg_35	2_kitchen_neg_34
2_kitchen_neg_36	2_kitchen_neg_35
2_kitchen_neg_37	2_kitchen_neg_36
2_kitchen_neg_38	2_kitchen_neg_37
2_kitchen_neg_39	2_kitchen_neg_38
2_kitchen_neg_40	2_kitchen_neg_39
2_kitchen_neg_41	2_kitchen_neg_40
2_kitchen_neg_42	2_kitchen_neg_41
2_kitchen_neg_43	2_kitchen_neg_42
2_kitchen_neg_44	2_kitchen_neg_43
2_kitchen_neg_45	2_kitchen_neg_44
2_kitchen_neg_46	2_kitchen_neg_45
2_kitchen_neg_47	2_kitchen_neg_46
2_kitchen_neg_48	2_kitchen_neg_47
2_kitchen_neg_49	2_kitchen_neg_48
2_kitchen_neg_50	2_kitchen_neg_49
2_kitchen_neg_51	2_kitchen_neg_50
2_kitchen_neg_52	2_kitchen_neg_51
2_kitchen_neg_53	2_kitchen_neg_52
2_kitchen_neg_54	2_kitchen_neg_53
2_kitchen_neg_55	2_kitchen_neg_54
2_kitchen_neg_56	2_kitchen_neg_55
2_kitchen_neg_57	2_kitchen_neg_56
2_kitchen_neg_58	2_kitchen_neg_57
2_kitchen_neg_59	2_kitchen_neg_58
2_kitchen_neg_60	2_kitchen_neg_59
2_kitchen_neg_61	2_kitchen_neg_60
2_kitchen_neg_62	2_kitchen_neg_61
2_kitchen_neg_63	2_kitchen_neg_62
2_kitchen_neg_64	2_kitchen_neg_63
2_kitchen_neg_65	2_kitchen_neg_64
2_kitchen_neg_66	2_kitchen_neg_65
2_kitchen_neg_67	2_kitchen_neg_66
2_kitchen_neg_68	2_kitchen_neg_67
2_kitchen_neg_69	2_kitchen_neg_68
2_kitchen_neg_70	2_kitchen_neg_69
2_kitchen_neg_71	2_kitchen_neg_70
2_kitchen_neg_72	2_kitchen_neg_71
2_kitchen_neg_73	2_kitchen_neg_72
2_kitchen_neg_74	2_kitchen_neg_73
2_kitchen_neg_75	2_kitchen_neg_74
2_kitchen_neg_76	2_kitchen_neg_75
2_kitchen_neg_77	2_kitchen_neg_76
2_kitchen_neg_78	2_kitchen_neg_77
2_kitchen_neg_79	2_kitchen_neg_78
2_kitchen_neg_80	2_kitchen_neg_79
2_kitchen_neg_81	2_kitchen_neg_80
2_kitchen_neg_82	2_kitchen_neg_81
2_kitchen_neg_83	2_kitchen_neg_82
2_kitchen_neg_84	2_kitchen_neg_83
2_kitchen_neg_85	2_kitchen_neg_84
2_kitchen_neg_86	2_kitchen_neg_85
2_kitchen_neg_87	2_kitchen_neg_86
2_kitchen_neg_88	2_kitchen_neg_87
2_kitchen_neg_89	2_kitchen_neg_88
2_kitchen_neg_90	2_kitchen_neg_89
2_kitchen_neg_91	2_kitchen_neg_90
2_kitchen_neg_92	2_kitchen_neg_91
2_kitchen_neg_93	2_kitchen_neg_92
2_kitchen_neg_94	2_kitchen_neg_93
2_kitchen_neg_95	2_kitchen_neg_94
2_kitchen_neg_96	2_kitchen_neg_95
2_kitchen_neg_97	2_kitchen_neg_96
2_kitchen_neg_98	2_kitchen_neg_97
2_kitchen_neg_99	2_kitchen_neg_98
2_kitchen_neg_100	2_kitchen_neg_99
2_kitchen_neg_101	2_kitchen_neg_100
2_kitchen_neg_102	2_kitchen_neg_101
2_kitchen_neg_103	2_kitchen_neg_102
2_kitchen_neg_104	2_kitchen_neg_103
2_kitchen_neg_105	2_kitchen_neg_104
2_kitchen_neg_106	2_kitchen_neg_105
2_kitchen_neg_107	2_kitchen_neg_106
2_kitchen_neg_108	2_kitchen_neg_107
2_kitchen_neg_109	2_kitchen_neg_108
2_kitchen_neg_110	2_kitchen_neg_109
2_kitchen_neg_111	2_kitchen_neg_110
2_kitchen_neg_112	2_kitchen_neg_111
2_kitchen_neg_113	2_kitchen_neg_112
2_kitchen_neg_114	2_kitchen_neg_113
2_kitchen_neg_115	2_kitchen_neg_114
2_kitchen_neg_116	2_kitchen_neg_115
2_kitchen_neg_117	2_kitchen_neg_116
2_kitchen_neg_118	2_kitchen_neg_117
2_kitchen_neg_119	2_kitchen_neg_118
2_kitchen_neg_120	2_kitchen_neg_119
2_kitchen_neg_121	2_kitchen_neg_120
2_kitchen_neg_122	2_kitchen_neg_121
2_kitchen_neg_123	2_kitchen_neg_122
2_kitchen_neg_124	2_kitchen_neg_123
2_kitchen_neg_125	2_kitchen_neg_124
