PhraseIDs	Contrast
13_cell_neg_1	False
13_cell_neg_2	False
13_cell_neg_3	False
13_cell_neg_4	False
13_cell_neg_5	False
13_cell_neg_6	False
13_cell_neg_7	False
13_cell_neg_8	False
13_cell_neg_9	False
13_cell_neg_10	False
13_cell_neg_11	False
13_cell_neg_12	False
13_cell_neg_13	False
13_cell_neg_14	False
13_cell_neg_15	False
13_cell_neg_16	False
13_cell_neg_17	False
13_cell_neg_18	False
13_cell_neg_19	False
13_cell_neg_20	False
13_cell_neg_21	False
13_cell_neg_22	False
13_cell_neg_23	False
13_cell_neg_24	False
13_cell_neg_25	False
13_cell_neg_26	False
13_cell_neg_27	False
13_cell_neg_28	False
13_cell_neg_29	False
13_cell_neg_30	False
13_cell_neg_31	False
13_cell_neg_32	False
13_cell_neg_33	True
13_cell_neg_34	False
13_cell_neg_35	False
13_cell_neg_36	False
13_cell_neg_37	False
13_cell_neg_38	False
13_cell_neg_39	False
13_cell_neg_40	False
13_cell_neg_41	False
13_cell_neg_42	False
13_cell_neg_43	False
13_cell_neg_44	False
13_cell_neg_45	False
6_cell_pos_1	False
6_cell_pos_2	False
6_cell_pos_3	False
6_cell_pos_4	False
6_cell_pos_5	False
6_cell_pos_6	False
6_cell_pos_7	False
6_cell_pos_8	False
6_cell_pos_9	False
6_cell_pos_10	False
6_cell_pos_11	False
6_cell_pos_12	False
6_cell_pos_13	False
6_cell_pos_14	False
6_cell_pos_15	False
6_cell_pos_16	False
6_cell_pos_17	True
6_cell_pos_18	False
6_cell_pos_19	False
6_cell_pos_20	True
6_cell_pos_21	False
6_cell_pos_22	False
6_cell_pos_23	False
6_cell_pos_24	False
6_cell_pos_25	True
6_cell_pos_26	False
6_cell_pos_27	False
6_cell_pos_28	False
6_cell_pos_29	False
6_cell_pos_30	False
6_cell_pos_31	False
6_cell_pos_32	False
6_cell_pos_33	False
6_cell_pos_34	False
6_cell_pos_35	False
6_cell_pos_36	False
6_cell_pos_37	False
6_cell_pos_38	True
6_cell_pos_39	False
6_cell_pos_40	False
6_cell_pos_41	False
6_cell_pos_42	True
6_cell_pos_43	False
6_cell_pos_44	False
6_cell_pos_45	False
6_cell_pos_46	False
6_cell_pos_47	False
6_cell_pos_48	False
6_cell_pos_49	False
6_cell_pos_50	False
6_cell_pos_51	False
6_cell_pos_52	False
6_cell_pos_53	False
6_cell_pos_54	False
6_cell_pos_55	False
6_cell_pos_56	False
6_cell_pos_57	False
6_cell_pos_58	False
6_cell_pos_59	False
6_cell_pos_60	False
6_cell_pos_61	False
6_cell_pos_62	False
6_cell_pos_63	False
6_cell_pos_64	False
6_cell_pos_65	False
6_cell_pos_66	False
6_cell_pos_67	False
6_cell_pos_68	False
6_cell_pos_69	False
6_cell_pos_70	False
6_cell_pos_71	False
6_cell_pos_72	True
6_cell_pos_73	False
6_cell_pos_74	False
6_cell_pos_75	False
6_cell_pos_76	False
6_cell_pos_77	False
6_cell_pos_78	False
6_cell_pos_79	False
6_cell_pos_80	True
6_cell_pos_81	False
6_cell_pos_82	False
6_cell_pos_83	False
6_cell_pos_84	False
6_cell_pos_85	False
6_cell_pos_86	False
6_cell_pos_87	False
6_cell_pos_88	False
6_cell_pos_89	False
6_cell_pos_90	True
6_cell_pos_91	False
6_cell_pos_92	False
6_cell_pos_93	False
6_cell_pos_94	False
6_cell_pos_95	False
1_kitchen_pos_1	False
1_kitchen_pos_2	False
1_kitchen_pos_3	False
1_kitchen_pos_4	False
1_kitchen_pos_5	False
1_kitchen_pos_6	False
1_kitchen_pos_7	False
1_kitchen_pos_8	False
1_kitchen_pos_9	False
1_kitchen_pos_10	False
1_kitchen_pos_11	False
1_kitchen_pos_12	False
1_kitchen_pos_13	False
1_kitchen_pos_14	False
1_kitchen_pos_15	False
1_kitchen_pos_16	False
1_kitchen_pos_17	False
1_kitchen_pos_18	False
1_kitchen_pos_19	False
1_kitchen_pos_20	False
1_kitchen_pos_21	False
1_kitchen_pos_22	False
1_kitchen_pos_23	False
1_kitchen_pos_24	False
1_kitchen_pos_25	False
1_kitchen_pos_26	False
1_kitchen_pos_27	False
1_kitchen_pos_28	False
1_kitchen_pos_29	False
1_kitchen_pos_30	False
1_kitchen_pos_31	False
1_kitchen_pos_32	False
1_kitchen_pos_33	False
1_kitchen_pos_34	False
1_kitchen_pos_35	False
1_kitchen_pos_36	True
1_kitchen_pos_37	False
1_kitchen_pos_38	False
1_kitchen_pos_39	False
1_kitchen_pos_40	False
1_kitchen_pos_41	False
1_kitchen_pos_42	False
1_kitchen_pos_43	False
1_kitchen_pos_44	False
1_kitchen_pos_45	True
1_kitchen_pos_46	False
1_kitchen_pos_47	False
1_kitchen_pos_48	False
1_kitchen_pos_49	True
1_kitchen_pos_50	False
1_kitchen_pos_51	False
1_kitchen_pos_52	False
1_kitchen_pos_53	False
1_kitchen_pos_54	False
1_kitchen_pos_55	False
1_kitchen_pos_56	False
1_kitchen_pos_57	False
1_kitchen_pos_58	False
1_kitchen_pos_59	False
1_kitchen_pos_60	False
1_kitchen_pos_61	False
1_kitchen_pos_62	False
1_kitchen_pos_63	False
1_kitchen_pos_64	False
1_kitchen_pos_65	False
1_kitchen_pos_66	False
1_kitchen_pos_67	False
1_kitchen_pos_68	False
1_kitchen_pos_69	False
1_kitchen_pos_70	False
1_kitchen_pos_71	False
1_kitchen_pos_72	False
1_kitchen_pos_73	False
1_kitchen_pos_74	False
1_kitchen_pos_75	False
1_kitchen_pos_76	False
1_kitchen_pos_77	False
1_kitchen_pos_78	False
1_kitchen_pos_79	False
1_kitchen_pos_80	False
1_kitchen_pos_81	False
1_kitchen_pos_82	False
1_kitchen_pos_83	False
1_kitchen_pos_84	False
1_kitchen_pos_85	False
1_kitchen_pos_86	False
1_kitchen_pos_87	False
1_kitchen_pos_88	False
1_kitchen_pos_89	False
1_kitchen_pos_90	False
1_kitchen_pos_91	False
1_kitchen_pos_92	False
1_kitchen_pos_93	False
1_kitchen_pos_94	False
1_kitchen_pos_95	False
1_kitchen_pos_96	False
1_kitchen_pos_97	False
1_kitchen_pos_98	False
1_kitchen_pos_99	False
1_kitchen_pos_100	False
1_kitchen_pos_101	False
1_kitchen_pos_102	False
1_kitchen_pos_103	False
1_kitchen_pos_104	False
1_kitchen_pos_105	False
1_kitchen_pos_106	False
1_kitchen_pos_107	False
1_kitchen_pos_108	False
1_kitchen_pos_109	False
1_kitchen_pos_110	False
1_kitchen_pos_111	False
1_kitchen_pos_112	False
1_kitchen_pos_113	False
1_kitchen_pos_114	True
1_kitchen_pos_115	False
1_kitchen_pos_116	False
1_kitchen_pos_117	False
1_kitchen_pos_118	False
1_kitchen_pos_119	False
1_kitchen_pos_120	False
1_kitchen_pos_121	False
1_kitchen_pos_122	False
1_kitchen_pos_123	False
1_kitchen_pos_124	False
1_kitchen_pos_125	False
1_kitchen_pos_126	False
1_kitchen_pos_127	False
1_kitchen_pos_128	False
1_kitchen_pos_129	False
1_kitchen_pos_130	False
1_kitchen_pos_131	False
1_kitchen_pos_132	False
1_kitchen_pos_133	False
1_kitchen_pos_134	False
1_kitchen_pos_135	False
1_kitchen_pos_136	False
1_kitchen_pos_137	False
1_kitchen_pos_138	False
1_kitchen_pos_139	False
1_kitchen_pos_140	False
1_kitchen_pos_141	False
1_kitchen_pos_142	False
1_kitchen_pos_143	False
1_kitchen_pos_144	False
1_kitchen_pos_145	False
1_kitchen_pos_146	False
1_kitchen_pos_147	False
1_kitchen_pos_148	False
1_kitchen_pos_149	False
1_kitchen_pos_150	False
1_kitchen_pos_151	False
1_kitchen_pos_152	True
1_kitchen_pos_153	True
1_kitchen_pos_154	False
1_kitchen_pos_155	False
1_kitchen_pos_156	False
1_kitchen_pos_157	False
1_kitchen_pos_158	False
1_kitchen_pos_159	False
1_kitchen_pos_160	False
1_kitchen_pos_161	False
1_kitchen_pos_162	False
1_kitchen_pos_163	False
1_kitchen_pos_164	False
1_kitchen_pos_165	False
1_kitchen_pos_166	False
1_kitchen_pos_167	True
1_kitchen_pos_168	True
4_kitchen_neg_1	False
4_kitchen_neg_2	False
4_kitchen_neg_3	False
4_kitchen_neg_4	False
4_kitchen_neg_5	True
4_kitchen_neg_6	True
4_kitchen_neg_7	False
4_kitchen_neg_8	False
4_kitchen_neg_9	False
4_kitchen_neg_10	False
4_kitchen_neg_11	False
4_kitchen_neg_12	False
4_kitchen_neg_13	False
4_kitchen_neg_14	False
4_kitchen_neg_15	False
4_kitchen_neg_16	False
4_kitchen_neg_17	False
4_kitchen_neg_18	False
4_kitchen_neg_19	False
4_kitchen_neg_20	False
4_kitchen_neg_21	False
4_kitchen_neg_22	False
4_kitchen_neg_23	False
4_kitchen_neg_24	False
4_kitchen_neg_25	False
4_kitchen_neg_26	False
4_kitchen_neg_27	False
4_kitchen_neg_28	False
4_kitchen_neg_29	False
4_kitchen_neg_30	False
4_kitchen_neg_31	False
4_kitchen_neg_32	False
4_kitchen_neg_33	False
4_kitchen_neg_34	False
4_kitchen_neg_35	False
4_kitchen_neg_36	False
4_kitchen_neg_37	False
4_kitchen_neg_38	False
4_kitchen_neg_39	False
4_kitchen_neg_40	False
4_kitchen_neg_41	False
4_kitchen_neg_42	False
4_kitchen_neg_43	False
4_kitchen_neg_44	False
4_kitchen_neg_45	False
4_kitchen_neg_46	False
4_kitchen_neg_47	False
9_gourmet_pos_1	False
9_gourmet_pos_2	False
9_gourmet_pos_3	False
9_gourmet_pos_4	False
9_gourmet_pos_5	False
9_gourmet_pos_6	False
9_gourmet_pos_7	False
9_gourmet_pos_8	False
9_gourmet_pos_9	False
9_gourmet_pos_10	False
9_gourmet_pos_11	False
9_gourmet_pos_12	False
9_gourmet_pos_13	False
9_gourmet_pos_14	False
9_gourmet_pos_15	False
9_gourmet_pos_16	False
9_gourmet_pos_17	False
9_gourmet_pos_18	False
9_gourmet_pos_19	False
9_gourmet_pos_20	False
9_gourmet_pos_21	False
9_gourmet_pos_22	False
9_gourmet_pos_23	False
9_gourmet_pos_24	False
9_gourmet_pos_25	False
9_gourmet_pos_26	False
9_gourmet_pos_27	False
9_gourmet_pos_28	False
9_gourmet_pos_29	False
9_gourmet_pos_30	False
9_gourmet_pos_31	False
9_gourmet_pos_32	False
9_gourmet_pos_33	False
9_gourmet_pos_34	False
9_gourmet_pos_35	False
9_gourmet_pos_36	False
9_gourmet_pos_37	False
9_gourmet_pos_38	False
9_gourmet_pos_39	False
9_gourmet_pos_40	False
9_gourmet_pos_41	False
9_gourmet_pos_42	False
9_gourmet_pos_43	False
9_gourmet_pos_44	False
9_gourmet_pos_45	False
9_gourmet_pos_46	False
9_gourmet_pos_47	False
9_gourmet_pos_48	False
9_gourmet_pos_49	False
9_gourmet_pos_50	False
9_gourmet_pos_51	False
9_gourmet_pos_52	False
9_gourmet_pos_53	False
9_gourmet_pos_54	False
9_gourmet_pos_55	False
9_gourmet_pos_56	False
9_gourmet_pos_57	False
9_gourmet_pos_58	False
9_gourmet_pos_59	False
9_gourmet_pos_60	False
9_gourmet_pos_61	False
9_gourmet_pos_62	False
9_gourmet_pos_63	False
9_gourmet_pos_64	False
9_gourmet_pos_65	False
9_gourmet_pos_66	False
9_gourmet_pos_67	False
9_gourmet_pos_68	False
9_gourmet_pos_69	False
9_gourmet_pos_70	False
9_gourmet_pos_71	False
9_gourmet_pos_72	False
6_gourmet_neg_1	False
6_gourmet_neg_2	False
