20_gourmet_pos_1	1.0
20_gourmet_pos_2	0.2
20_gourmet_pos_3	1.0
20_gourmet_pos_4	0.2
20_gourmet_pos_5	0.001
20_gourmet_pos_6	0.001
20_gourmet_pos_7	0.001
20_gourmet_pos_8	0.001
20_gourmet_pos_9	0.001
20_gourmet_pos_10	0.2
20_gourmet_pos_11	0.2
20_gourmet_pos_12	0.001
20_gourmet_pos_13	0.001
20_gourmet_pos_14	0.001
20_gourmet_pos_15	0.001
20_gourmet_pos_16	0.001
20_gourmet_pos_17	0.001
20_gourmet_pos_18	0.001
20_gourmet_pos_19	0.001
20_gourmet_pos_20	0.001
20_gourmet_pos_21	0.6
20_gourmet_pos_22	0.001
20_gourmet_pos_23	0.001
20_gourmet_pos_24	0.001
20_gourmet_pos_25	0.001
20_gourmet_pos_26	0.2
20_gourmet_pos_27	0.001
20_gourmet_pos_28	0.30000000000000004
20_gourmet_pos_29	0.4
20_gourmet_pos_30	0.001
20_gourmet_pos_31	0.001
20_gourmet_pos_32	0.7
20_gourmet_pos_33	0.001
20_gourmet_pos_34	1.0
20_gourmet_pos_35	0.001
20_gourmet_pos_36	0.001
20_gourmet_pos_37	0.001
20_gourmet_pos_38	0.001
20_gourmet_pos_39	0.6
20_gourmet_pos_40	0.001
20_gourmet_pos_41	0.001
20_gourmet_pos_42	0.001
20_gourmet_pos_43	0.001
20_gourmet_pos_44	0.001
20_gourmet_pos_45	0.001
20_gourmet_pos_46	0.001
20_gourmet_pos_47	0.001
